sector,top_error_rows,unique_codes,mean_abs_error,max_abs_error,sign_mismatch_share,mean_actual_return
Thực phẩm và đồ uống,38,10,0.05085876356042712,0.0717529056128114,0.5789473684210527,0.02378301219524519
Bất động sản,37,10,0.04800853310489154,0.0699082698265555,0.3783783783783784,0.02847301718351002
Ngân hàng,35,10,0.050160432483659936,0.07944489049259561,0.6,0.027448620860065706
Dịch vụ tài chính,26,7,0.049435329255804634,0.10066646756604311,0.4230769230769231,0.01853598840534685
Xây dựng và Vật liệu,19,7,0.052597693356131556,0.08326386139378882,0.5789473684210527,0.027525533186761934
Dầu khí,14,2,0.04502410721657461,0.0670756465988233,0.5,0.009490933269262314
"Điện, nước & xăng dầu khí đốt",13,5,0.047086153244331026,0.0682905865251086,0.3076923076923077,0.009027872950984868
Công nghệ Thông tin,12,2,0.05602357874643827,0.0709616828244178,0.6666666666666666,0.022402672407527736
Hàng & Dịch vụ Công nghiệp,11,4,0.04648661352654344,0.06658230710308999,0.36363636363636365,0.0296805385838855
Tài nguyên Cơ bản,9,4,0.050708214926999014,0.0664192073745653,0.6666666666666666,0.028121084388759363
Hóa chất,8,3,0.0457138781630419,0.0685113331419415,0.625,0.024344530655071098
Bán lẻ,6,2,0.049324229427535636,0.0705894123530015,0.8333333333333334,0.018065481136242515
Bảo hiểm,5,1,0.05090199667029074,0.0612658510799519,0.8,0.010952937602996819
Du lịch và Giải trí,3,2,0.03772634193834767,0.042079643462784505,0.6666666666666666,-0.0126416571438312
Y tế,2,1,0.057980807905551046,0.07060055027250199,0.5,0.011788299307227149
Hàng cá nhân & Gia dụng,2,1,0.052023970150912605,0.0709932432509958,1.0,0.051361057907342904
