code,split,Date,actual_date,actual_aligned,base_prediction,actual_return,predicted_return,error,abs_error,actual_abs_return,pred_abs_return,sign_mismatch,feature_sector,feature_exchange,feature_close,feature_adjust,feature_volume_match,feature_volume_ratio_20,feature_intraday_return,feature_gap_open,feature_close_position,feature_momentum_20,feature_volatility_20,feature_bb_width,feature_macd_hist,feature_sector_momentum_rank,feature_alpha_sector,feature_target_next_return,rank_abs_error_in_day
PLX,train,2017-10-31,2017-11-01,-0.0661583319306373,0.000917314668186,-0.0661583319306373,0.000917314668186,-0.0670756465988233,0.0670756465988233,0.0661583319306373,0.000917314668186,True,Dầu khí,HOSE,44880,44880.0,205440,0.7322093340295215,-0.0127584689837219,0.0,0.2162162162162162,0.0167648391481649,0.0096389218473752,0.0515121735149655,83.18218992771506,6.0,-0.016766485015786,-0.0064616755793226,1.0
DIG,train,2017-10-31,2017-11-01,-0.06687892973423,-9.981334733311088e-05,-0.06687892973423,-9.981334733311088e-05,-0.06677911638689689,0.06677911638689689,0.06687892973423,9.981334733311088e-05,False,Bất động sản,HOSE,7280,8529.3837890625,243740,0.2703375670395352,0.0,0.0,0.4444444444444444,0.0,0.0125633146612,0.0506497299061445,-29.0820787594325,7.0,0.0013898053366713,-0.0063291088515355,2.0
HAG,train,2017-10-31,2017-11-01,-0.0693069323897361,-0.0032841453794389,-0.0693069323897361,-0.0032841453794389,-0.06602278701029721,0.06602278701029721,0.0693069323897361,0.0032841453794389,False,Thực phẩm và đồ uống,HOSE,8020,8020.0,8138180,3.641192529053841,0.0469973890339425,-0.0116129032258064,0.8017817371937639,-0.0278787878787878,0.0178346647587101,0.1308276757814474,-23.529646481833765,13.0,0.0408262031571215,0.0074812967581048,3.0
VPB,train,2017-10-31,2017-11-01,-0.0651906505227088,0.0005960044218227,-0.0651906505227088,0.0005960044218227,-0.0657866549445315,0.0657866549445315,0.0651906505227088,0.0005960044218227,True,Ngân hàng,HOSE,8189,8189.0,1027260,0.7619359846494295,-0.0109903381642512,0.0,0.0642857142857142,0.1021534320323014,0.0114121523649016,0.1619912960232971,-4.584248479119651,5.0,-0.0028491877566111,-0.0072047869092685,4.0
VHC,train,2017-10-31,2017-11-01,-0.0608695782721042,-0.0014396016485989,-0.0608695782721042,-0.0014396016485989,-0.0594299766235053,0.0594299766235053,0.0608695782721042,0.0014396016485989,False,Thực phẩm và đồ uống,HOSE,14880,17815.9765625,66380,1.4460455946584758,-0.0126078301260783,0.0107310529845741,0.5681818181818182,-0.0620000816476538,0.0185360620246274,0.1524749018748376,-121.98892849149588,13.0,-0.0002474889915438,-0.0191897853269865,5.0
MWG,train,2017-10-31,2017-11-01,-0.0540725514292717,0.0006472284439951,-0.0540725514292717,0.0006472284439951,-0.054719779873266795,0.054719779873266795,0.0540725514292717,0.0006472284439951,True,Bán lẻ,HOSE,29590,29590.0,380140,0.6081456708375961,-0.0080455916862218,-0.0023411371237458,0.0,0.0886681383370124,0.0171839444506932,0.1532538200161533,-41.769522948607346,1.0,0.0051761487958932,-0.0125042244001352,6.0
GMD,train,2017-10-31,2017-11-01,-0.0502194054424762,2.451081672916189e-05,-0.0502194054424762,2.451081672916189e-05,-0.050243916259205365,0.050243916259205365,0.0502194054424762,2.451081672916189e-05,True,Hàng & Dịch vụ Công nghiệp,HOSE,20760,20760.0,379640,0.5895955732187812,-0.0100143061516452,0.0057553956834532,0.0714285714285714,-0.0777432252332296,0.0125614594753103,0.1195109038026154,-187.94174533554764,15.0,-0.0087816873949232,-0.0120423892100193,7.0
REE,train,2017-10-31,2017-11-01,-0.0504452101886272,-0.001652878941968,-0.0504452101886272,-0.001652878941968,-0.0487923312466592,0.0487923312466592,0.0504452101886272,0.001652878941968,False,"Điện, nước & xăng dầu khí đốt",HOSE,15830,18143.87890625,748370,0.7412447845089081,-0.0025204788909892,-0.0050156739811911,0.7419354838709677,-0.0058140032654137,0.0135840016775429,0.0565380063154035,13.493168660375543,4.0,-0.002263243926872,-0.0146199012967742,8.0
DCM,train,2017-10-31,2017-11-01,-0.0464135035872459,0.0012554611312225,-0.0464135035872459,0.0012554611312225,-0.0476689647184684,0.0476689647184684,0.0464135035872459,0.0012554611312225,True,Hóa chất,HOSE,7220,7220.0,2209260,1.527119951558184,-0.0386151797603195,-0.0039787798408488,0.0,-0.0802547770700636,0.0134571830696792,0.1059140207371703,-63.672868292800864,14.0,-0.0452390899614331,-0.0152354570637118,9.0
HSG,train,2017-10-31,2017-11-01,-0.0453752167522907,0.0009818160906434,-0.0453752167522907,0.0009818160906434,-0.0463570328429341,0.0463570328429341,0.0453752167522907,0.0009818160906434,True,Tài nguyên Cơ bản,HOSE,12000,12000.0,3735040,1.3006555965287667,0.0186757215619695,0.0,0.7127659574468085,-0.1792065663474692,0.0211841391845247,0.2781244762509128,-247.982811577909,16.0,0.0237335146255854,-0.045,10.0
