code,split,Date,actual_date,actual_aligned,base_prediction,actual_return,predicted_return,error,abs_error,actual_abs_return,pred_abs_return,sign_mismatch,feature_sector,feature_exchange,feature_close,feature_adjust,feature_volume_match,feature_volume_ratio_20,feature_intraday_return,feature_gap_open,feature_close_position,feature_momentum_20,feature_volatility_20,feature_bb_width,feature_macd_hist,feature_sector_momentum_rank,feature_alpha_sector,feature_target_next_return,rank_abs_error_in_day
KBC,train,2017-10-31,2017-11-01,-0.0447761192917823,-0.0019540844950824,-0.0447761192917823,-0.0019540844950824,-0.0428220347966999,0.0428220347966999,0.0447761192917823,0.0019540844950824,False,Bất động sản,HOSE,8990,8990.0,2542970,0.9277732922914372,0.0044692737430167,-0.0121412803532008,0.8,-0.0919191919191919,0.0185402649171503,0.1210901553387422,-1.9716943347145843,7.0,-0.0071090909105692,-0.0311457174638487,11.0
DXG,train,2017-10-31,2017-11-01,-0.04347825050354,-0.0012668239651247,-0.04347825050354,-0.0012668239651247,-0.042211426538415295,0.042211426538415295,0.04347825050354,0.0012668239651247,False,Bất động sản,HOSE,8430,9623.1279296875,3731770,1.0825188680134683,0.0205811138014528,0.0173666707722626,0.7446808510638298,-0.0510126026275384,0.0255338275588082,0.1790035654461385,-116.02285151917472,7.0,0.0435920493214666,-0.0336134777837775,12.0
KBC,train,2017-11-01,2017-11-02,0.0673076957464218,3.932573963538744e-05,0.0673076957464218,3.932573963538744e-05,0.06726837000678641,0.06726837000678641,0.0673076957464218,3.932573963538744e-05,False,Bất động sản,HOSE,8710,8710.0,2148740,0.7754763901302283,-0.0113507377979569,-0.0200222469410455,0.3928571428571428,-0.1263791374122367,0.0192259180543337,0.1165127135417346,-15.557346347756322,7.0,-0.0284081946501376,-0.044776119402985,1.0
VPB,train,2017-11-01,2017-11-02,0.0669736862182617,0.0005003737169317,0.0669736862182617,0.0005003737169317,0.06647331250133,0.06647331250133,0.0669736862182617,0.0005003737169317,False,Ngân hàng,HOSE,8130,8130.0,994020,0.7228968234632752,-0.0061124694376527,-0.0010990352912443,0.2,0.0942126514131898,0.0116865833893535,0.1450828037515605,-16.662965936811474,6.0,-0.0136995441011936,-0.065190651906519,2.0
DXG,train,2017-11-01,2017-11-02,0.0666666254401207,0.0013895619194954,0.0666666254401207,0.0013895619194954,0.0652770635206253,0.0652770635206253,0.0666666254401207,0.0013895619194954,False,Bất động sản,HOSE,8150,9299.6611328125,2131480,0.6202662965113149,-0.0411764705882352,0.0083036773428233,0.0,-0.1164633904206563,0.0245907890623227,0.198304788440442,-121.9981149301318,7.0,-0.0311227310020593,-0.0434782517382132,3.0
HSG,train,2017-11-01,2017-11-02,0.0667276084423065,0.0029051061719655,0.0667276084423065,0.0029051061719655,0.063822502270341,0.063822502270341,0.0667276084423065,0.0029051061719655,False,Tài nguyên Cơ bản,HOSE,11460,11460.0,4072790,1.3394403297567588,-0.0442035029190992,-0.0008333333333333,0.0769230769230769,-0.2230508474576271,0.0221141923028443,0.3187750879303982,-269.43734196060814,16.0,-0.0415395922504152,-0.0453752181500872,4.0
VSC,train,2017-11-01,2017-11-02,0.0629068091511726,0.0007458159816451,0.0629068091511726,0.0007458159816451,0.062160993169527494,0.062160993169527494,0.0629068091511726,0.0007458159816451,False,Hàng & Dịch vụ Công nghiệp,HOSE,6870,23521.646484375,67030,0.3819645273879906,-0.0458333333333332,0.0041841004184099,0.2083333333333333,-0.1247706654044497,0.0142368341963143,0.1636522749475019,-199.0138045983508,14.0,-0.0370169427550962,-0.0335429889505868,5.0
HAG,train,2017-11-01,2017-11-02,-0.0638297870755195,-0.0021479644346982,-0.0638297870755195,-0.0021479644346982,-0.0616818226408213,0.0616818226408213,0.0638297870755195,0.0021479644346982,False,Thực phẩm và đồ uống,HOSE,8080,8080.0,8659810,3.2956701517430615,0.0074812967581048,0.0,0.4736842105263157,-0.0357995226730309,0.017512103060562,0.1269670031292157,0.438164203037843,11.0,0.0123839789254554,-0.0693069306930692,6.0
VGC,train,2017-11-01,2017-11-02,0.0473537594079971,0.0025138617493212,0.0473537594079971,0.0025138617493212,0.044839897658675895,0.044839897658675895,0.0473537594079971,0.0025138617493212,False,Xây dựng và Vật liệu,HOSE,14830,14830.0,692925,1.3618364652411106,-0.0444587628865978,0.0,0.2247191011235955,-0.0326157860404435,0.0197416795788023,0.1266336849488883,-180.62149565960067,8.0,-0.0376143157185462,-0.0316925151719487,7.0
MWG,train,2017-11-01,2017-11-02,0.0459479019045829,0.0012283971300348,0.0459479019045829,0.0012283971300348,0.0447195047745481,0.0447195047745481,0.0459479019045829,0.0012283971300348,False,Bán lẻ,HOSE,29220,29220.0,613970,0.9594015791834062,-0.0158302458740317,0.0033795201081445,0.1454545454545454,0.075055187637969,0.0175753439373937,0.1418011165159997,-102.89516159895744,2.0,-0.00197788736625,-0.054072553045859,8.0
VHC,train,2017-11-01,2017-11-02,0.0393520668148994,-0.0008960960549302,0.0393520668148994,-0.0008960960549302,0.0402481628698296,0.0402481628698296,0.0393520668148994,0.0008960960549302,True,Thực phẩm và đồ uống,HOSE,14590,17474.091796875,35420,0.7831864766558689,-0.0108474576271186,-0.0087365591397849,0.6595744680851063,-0.0707070864448741,0.0188294715035132,0.1620334217873287,-122.26478092645024,11.0,-0.0172505567246461,-0.0608695797964284,9.0
PVD,train,2017-11-01,2017-11-02,0.0386100374162197,-0.0008667053189128,0.0386100374162197,-0.0008667053189128,0.0394767427351325,0.0394767427351325,0.0386100374162197,0.0008667053189128,True,Dầu khí,HOSE,10520,10520.0,7452410,3.0835602154897757,0.0364532019704433,0.0129740518962075,0.7049180327868853,0.1215351812366738,0.0182774154766577,0.1255598030653821,54.56683732118013,4.0,0.056361875180121,-0.0152091254752851,10.0
HPG,train,2017-11-01,2017-11-02,0.0402299277484416,0.0012983527267351,0.0402299277484416,0.0012983527267351,0.0389315750217065,0.0389315750217065,0.0402299277484416,0.0012983527267351,False,Tài nguyên Cơ bản,HOSE,6770,7056.0966796875,5695800,1.5564912623967226,-0.0300859598853868,-0.0056980056980057,0.0,-0.0996217147709185,0.0158611466627026,0.117036824439646,-67.06019761616105,16.0,-0.0283864614737524,-0.0252100805445424,11.0
NLG,train,2017-11-01,2017-11-02,0.0310880821198225,8.425764099229127e-05,0.0310880821198225,8.425764099229127e-05,0.031003824478830207,0.031003824478830207,0.0310880821198225,8.425764099229127e-05,False,Bất động sản,HOSE,13510,13510.0,636090,0.9840851391680088,0.0082089552238806,-0.0014903129657227,0.5238095238095238,0.0234848484848484,0.0152961983499257,0.0976569262377721,-17.302463914907314,7.0,0.0132291437404238,0.0,12.0
DBC,train,2017-11-02,2017-11-03,-0.0637450367212295,0.0013030569534748,-0.0637450367212295,0.0013030569534748,-0.0650480936747043,0.0650480936747043,0.0637450367212295,0.0013030569534748,True,Thực phẩm và đồ uống,HOSE,5620,7436.853515625,1871,0.0772570645205912,-0.0490693739424703,0.0516014234875443,0.0,-0.0805861000446949,0.0309696203543748,0.1266801144923632,-35.52605390002648,12.0,0.0081450532473153,0.0,1.0
CTD,train,2017-11-02,2017-11-03,0.0577778257429599,2.4440611014142632e-05,0.0577778257429599,2.4440611014142632e-05,0.05775338513194576,0.05775338513194576,0.0577778257429599,2.4440611014142632e-05,False,Xây dựng và Vật liệu,HOSE,139900,156965.84375,245180,2.3217583166826072,0.0181209518957863,0.0,0.8058252427184466,0.0970873680380184,0.0157621116829981,0.1230210583899672,1141.3944795682155,8.0,0.0287087423835442,-0.0044248280925767,2.0
PVT,train,2017-11-02,2017-11-03,0.0454545877873897,-0.0010946146212518,0.0454545877873897,-0.0010946146212518,0.0465492024086415,0.0465492024086415,0.0454545877873897,0.0010946146212518,True,Hàng & Dịch vụ Công nghiệp,HOSE,7070,8388.5263671875,179190,1.0555987558320372,-0.0056258790436005,-0.0042016806722688,0.7142857142857143,-0.0102739722081492,0.0081455235700274,0.0295423402006241,9.266126187562534,15.0,0.0256246267332882,-0.0103807388509998,3.0
SBT,train,2017-11-02,2017-11-03,-0.0477327033877372,-0.0024392714258283,-0.0477327033877372,-0.0024392714258283,-0.045293431961908895,0.045293431961908895,0.0477327033877372,0.0024392714258283,False,Thực phẩm và đồ uống,HOSE,14350,15447.59375,1263440,1.0590195703705194,0.0148514851485148,0.0,0.6829268292682927,-0.1603960799641788,0.0261459428222481,0.2523556452663886,36.990939154141415,12.0,0.024093989291885,-0.0117924540229769,4.0
PLX,train,2017-11-02,2017-11-03,-0.0417362265288829,0.0033473358489573,-0.0417362265288829,0.0033473358489573,-0.0450835623778402,0.0450835623778402,0.0417362265288829,0.0033473358489573,True,Dầu khí,HOSE,41640,41640.0,708070,2.3145820598397604,-0.0551395507147719,-0.0116618075801748,0.0,-0.0750777432252332,0.0172213498955532,0.0887456932690777,-190.6582353969672,4.0,-0.0509492059891687,0.0069644572526417,5.0
ANV,train,2017-11-02,2017-11-03,0.0439189709722995,-0.0003240761288907,0.0439189709722995,-0.0003240761288907,0.0442430471011902,0.0442430471011902,0.0439189709722995,0.0003240761288907,True,Thực phẩm và đồ uống,HOSE,3100,3895.160888671875,410940,1.1740706773748404,0.009771986970684,0.0,0.2727272727272727,-0.0219779701084551,0.0336028729980691,0.2291128200629054,-59.65581697661173,12.0,0.020771391909784,-0.0022472545342625,6.0
BMP,train,2017-11-02,2017-11-03,0.0429799444973468,-0.0011252746917307,0.0429799444973468,-0.0011252746917307,0.044105219189077505,0.044105219189077505,0.0429799444973468,0.0011252746917307,True,Xây dựng và Vật liệu,HOSE,35370,35370.0,317620,0.9775840789404838,0.0163793103448275,-0.0040068689181453,0.6705882352941176,-0.0131138392857143,0.0148536111353493,0.0787561210573542,-138.72017903501705,8.0,0.0222835212453426,-0.0132880972575628,7.0
SCS,train,2017-11-02,2017-11-03,0.0377274751663208,0.0003513879200909,0.0377274751663208,0.0003513879200909,0.0373760872462299,0.0373760872462299,0.0377274751663208,0.0003513879200909,False,Du lịch và Giải trí,HOSE,22520,22520.0,16640,0.2711221507937736,-0.0048608042421564,0.0,0.7115384615384616,0.1608247422680413,0.0157510513429214,0.2174897952548587,58.01926156651439,1.0,0.0118521969306857,0.0004440497335702,8.0
PTB,train,2017-11-02,2017-11-03,0.0350515469908714,-0.0014034326886758,0.0350515469908714,-0.0014034326886758,0.0364549796795472,0.0364549796795472,0.0350515469908714,0.0014034326886758,True,Tài nguyên Cơ bản,HOSE,33300,33300.0,121570,0.8135336886729637,-0.0228873239436619,0.0,0.0,-0.1435185185185185,0.01734724512578,0.2270143151160102,-298.195437619754,16.0,-0.0008039762705891,0.0195195195195194,9.0
VCI,train,2017-11-02,2017-11-03,0.0367411188781261,0.0011578029952943,0.0367411188781261,0.0011578029952943,0.035583315882831805,0.035583315882831805,0.0367411188781261,0.0011578029952943,False,Dịch vụ tài chính,HOSE,10580,9620.7880859375,85810,0.7295000786374051,-0.0121381886087768,0.0122873345935727,0.0,0.0610168702949671,0.0165323823815412,0.1247639918199002,-33.688256161186644,11.0,-0.0056119782673547,0.0,10.0
CMG,train,2017-11-02,2017-11-03,0.0396039076149463,0.0040444182232022,0.0396039076149463,0.0040444182232022,0.0355594893917441,0.0355594893917441,0.0396039076149463,0.0040444182232022,False,Công nghệ Thông tin,HOSE,7060,7734.81298828125,165480,1.7320131460509514,0.0261627906976744,0.007320644216691,0.5121951219512195,0.1941176302087417,0.0225392788431727,0.2157511122264827,78.09388323451546,2.0,0.0389843387976868,-0.0049260468015163,11.0
CTG,train,2017-11-02,2017-11-03,0.0346666574478149,-0.000172384257894,0.0346666574478149,-0.000172384257894,0.0348390417057089,0.0348390417057089,0.0346666574478149,0.000172384257894,True,Ngân hàng,HOSE,8470,8765.322265625,1511390,0.989630873230288,-0.0196759259259259,0.0034843205574912,0.0,-0.0211640240490508,0.0112221209787574,0.0564393388476144,-30.703681197871845,6.0,0.0018807351876198,0.0135135014689677,12.0
SBT,train,2017-11-08,2017-11-09,0.0698254331946373,-0.0007575138006359,0.0698254331946373,-0.0007575138006359,0.0705829469952732,0.0705829469952732,0.0698254331946373,0.0007575138006359,True,Thực phẩm và đồ uống,HOSE,13870,14937.5322265625,2240840,1.300048327424392,-0.0057347670250895,0.0028756290438534,0.25,-0.1632652692818363,0.0283668431468946,0.2391546007252425,58.88255941852913,13.0,-0.0044209110809816,-0.0219512470978586,1.0
VNM,train,2017-11-08,2017-11-09,0.0694030821323394,0.0001618161768419,0.0694030821323394,0.0001618161768419,0.0692412659554975,0.0692412659554975,0.0694030821323394,0.0001618161768419,False,Thực phẩm và đồ uống,HOSE,76130,76130.0,2431670,3.109047507629835,0.0154728558089902,0.0,0.8721804511278195,0.0787870199801614,0.0088403926545187,0.0998785103170691,453.8584458333804,13.0,0.0154745555507157,0.0144489688690399,2.0
CMG,train,2017-11-08,2017-11-09,-0.0617285147309303,0.0052085774950683,-0.0617285147309303,0.0052085774950683,-0.0669370922259986,0.0669370922259986,0.0617285147309303,0.0052085774950683,True,Công nghệ Thông tin,HOSE,8000,8763.5810546875,241850,1.854308190084799,0.0362694300518133,0.0131233595800523,0.875,0.3609467033856137,0.0251593739532994,0.3421365999808351,161.7996431200898,1.0,0.0150720579958358,0.0565218694599798,3.0
PVT,train,2017-11-08,2017-11-09,0.0671140551567077,0.0005317480536177,0.0671140551567077,0.0005317480536177,0.06658230710308999,0.06658230710308999,0.0671140551567077,0.0005317480536177,False,Hàng & Dịch vụ Công nghiệp,HOSE,7290,8649.7607421875,89200,0.5030878993824202,-0.0054570259208731,0.0054869684499314,0.3333333333333333,0.0275862853067083,0.0132551487189804,0.0556039943548295,37.19433420279546,14.0,0.0154647992521494,0.0,4.0
BMP,train,2017-11-08,2017-11-09,0.0452261306345462,-0.0001601501426193,0.0452261306345462,-0.0001601501426193,0.0453862807771655,0.0453862807771655,0.0452261306345462,0.0001601501426193,True,Xây dựng và Vật liệu,HOSE,36510,36510.0,285620,0.8022053485037642,0.0016460905349793,0.0,0.392156862745098,0.0267154105736782,0.0176020909846899,0.0804751375808143,75.61890503668991,8.0,-0.0001968038172003,0.0356066831005204,5.0
VHC,train,2017-11-08,2017-11-09,0.0464601851999759,0.0016928665572777,0.0464601851999759,0.0016928665572777,0.0447673186426982,0.0447673186426982,0.0464601851999759,0.0016928665572777,False,Thực phẩm và đồ uống,HOSE,13990,16752.3359375,206620,3.971704822866809,0.0,0.0,0.3409090909090909,-0.1215139562606498,0.0231690687317138,0.2048675933379471,-129.14092096460263,13.0,-0.0017175064592734,0.0249433497847082,6.0
VIC,train,2017-11-08,2017-11-09,-0.0379009209573268,0.0024899966083467,-0.0379009209573268,0.0024899966083467,-0.0403909175656735,0.0403909175656735,0.0379009209573268,0.0024899966083467,True,Bất động sản,HOSE,24060,24058.771484375,2031740,1.6645863502018527,0.0233943002977456,0.0320456540825284,0.9649122807017544,0.1930783178746664,0.0167763143825125,0.2065987721961042,216.23203995461552,9.0,0.0506506049052987,0.0473282751361392,7.0
CTG,train,2017-11-08,2017-11-09,0.0355330258607864,-0.00140322081279,0.0355330258607864,-0.00140322081279,0.0369362466735764,0.0369362466735764,0.0355330258607864,0.00140322081279,True,Ngân hàng,HOSE,9110,9428.64453125,4277710,2.3876132630359237,0.0259009009009008,-0.005599104143337,0.8518518518518519,0.052910114649687,0.0141893986201607,0.0742061765169965,36.49268503787246,7.0,0.0045481689584195,-0.0100503038239937,8.0
DIG,train,2017-11-08,2017-11-09,0.0343749113380909,-0.0010456877062097,0.0343749113380909,-0.0010456877062097,0.035420599044300595,0.035420599044300595,0.0343749113380909,0.0010456877062097,True,Bất động sản,HOSE,7000,8205.4833984375,430270,0.4670489360951531,0.0263929618768328,-0.0144508670520231,1.0,-0.0759878342574281,0.0202200277473269,0.1347938006300391,-66.64326096957724,9.0,0.0036124302235944,0.0526316541137279,9.0
SJS,train,2017-11-08,2017-11-09,-0.0232558231800794,0.0003057958965655,-0.0232558231800794,0.0003057958965655,-0.0235616190766449,0.0235616190766449,0.0232558231800794,0.0003057958965655,True,Bất động sản,HOSE,9760,10642.94140625,213360,0.8770411781027448,0.0061855670103092,0.0031023784901758,0.5714285714285714,-0.0565475597896254,0.0235238601717322,0.1909557095459746,-6.704747828407314,9.0,-0.0005102287585751,0.0173501143106511,10.0
STB,train,2017-11-08,2017-11-09,0.0224215239286422,-0.0009772684425115,0.0224215239286422,-0.0009772684425115,0.0233987923711537,0.0233987923711537,0.0224215239286422,0.0009772684425115,True,Ngân hàng,HOSE,11200,11200.0,1168460,0.6237616759130867,0.0,0.0,0.5,-0.03862660944206,0.0108619845988232,0.0579064857854344,2.3582231189204776,7.0,-0.0180159353944284,-0.0044642857142856,11.0
HAG,train,2017-11-08,2017-11-09,0.0191780813038349,-0.0007460136548615,0.0191780813038349,-0.0007460136548615,0.0199240949586964,0.0199240949586964,0.0191780813038349,0.0007460136548615,True,Thực phẩm và đồ uống,HOSE,7320,7320.0,2975850,0.8766118422796827,0.0096551724137932,-0.0068493150684931,1.0,-0.1201923076923077,0.028255349584462,0.2011591647524087,-53.52124121386629,13.0,0.001326633571168,-0.0027322404371584,12.0
VCG,train,2017-11-09,2017-11-10,0.0833333060145378,6.944462074898183e-05,0.0833333060145378,6.944462074898183e-05,0.08326386139378882,0.08326386139378882,0.0833333060145378,6.944462074898183e-05,False,Xây dựng và Vật liệu,HOSE,12310,13874.2197265625,4454172,1.9406985255857432,0.0458793542905693,0.005123825789923,0.6835443037974683,0.0747663530191755,0.0219368369868121,0.1036151135825277,36.83362718775176,8.0,0.0514621414000785,-0.0086956607427458,1.0
PNJ,train,2017-11-09,2017-11-10,0.0697205439209938,-0.001272699330002,0.0697205439209938,-0.001272699330002,0.0709932432509958,0.0709932432509958,0.0697205439209938,0.001272699330002,True,Hàng cá nhân & Gia dụng,HOSE,34540,34540.0,298600,1.2696603892321234,0.0031948881789136,0.0090855803048066,0.4032258064516129,0.0129032258064516,0.0140134136690565,0.0694185647054329,90.74455238688388,10.0,0.0102852446049881,0.0049218297625941,2.0
BMP,train,2017-11-09,2017-11-10,0.0690789446234703,-0.0010972098680213,0.0690789446234703,-0.0010972098680213,0.0701761544914916,0.0701761544914916,0.0690789446234703,0.0010972098680213,True,Xây dựng và Vật liệu,HOSE,37810,37810.0,755360,2.0003177797786136,0.0308069792802616,0.0046562585592988,0.84,0.0413109336271,0.0187178330503712,0.0912071751656066,186.14056575349656,8.0,0.0350127957633287,0.0452261306532664,3.0
TCH,train,2017-11-09,2017-11-10,0.0694864317774772,-0.0004218380490783,0.0694864317774772,-0.0004218380490783,0.0699082698265555,0.0699082698265555,0.0694864317774772,0.0004218380490783,True,Bất động sản,HOSE,7670,13295.4677734375,1601610,1.137557597549607,0.0065616797900263,0.0,0.391304347826087,-0.003030256430535,0.0156122460594874,0.0780801697034914,47.71905271686472,9.0,-0.0055900920451513,0.0060790070394494,4.0
CMG,train,2017-11-09,2017-11-10,0.0679825320839881,0.0051782624796032,0.0679825320839881,0.0051782624796032,0.0628042696043849,0.0628042696043849,0.0679825320839881,0.0051782624796032,False,Công nghệ Thông tin,HOSE,8450,9258.9150390625,232490,1.6800049137741038,0.0496894409937889,0.00625,0.8,0.4464287076416957,0.0261732297195993,0.4013808715916047,203.62384645419064,1.0,0.0640691818110372,-0.0617285135557168,5.0
VNM,train,2017-11-09,2017-11-10,0.0617508180439472,9.224403038388118e-05,0.0617508180439472,9.224403038388118e-05,0.06165857401356332,0.06165857401356332,0.0617508180439472,9.224403038388118e-05,False,Thực phẩm và đồ uống,HOSE,77230,77230.0,2051860,2.372529963617569,0.0144489688690399,0.0,0.864406779661017,0.0982650739476678,0.0089645822230063,0.1140885948637966,527.4345228658418,13.0,0.0124094166910933,0.069403081704001,6.0
VND,train,2017-11-09,2017-11-10,0.0535714216530323,-0.0035339256282895,0.0535714216530323,-0.0035339256282895,0.0571053472813218,0.0571053472813218,0.0535714216530323,0.0035339256282895,True,Dịch vụ tài chính,HOSE,2780,8906.3115234375,423400,1.1841187139139542,0.0183150183150182,0.0,0.8888888888888888,-0.0572791963112582,0.0155255381524236,0.1330903738748529,-0.3658143099459039,11.0,0.01107623567134,-0.007595013323921,7.0
PLX,train,2017-11-09,2017-11-10,-0.0446848534047603,-0.0033356181811541,-0.0446848534047603,-0.0033356181811541,-0.0413492352236062,0.0413492352236062,0.0446848534047603,0.0033356181811541,False,Dầu khí,HOSE,42670,42670.0,399080,1.1310701349643175,0.023016063294174,0.0,0.8979591836734694,-0.0443449048152295,0.0211437307536337,0.1784779033616908,-266.6112132201606,3.0,0.023016063294174,-0.0035153503632529,8.0
HCM,train,2017-11-09,2017-11-10,0.0409640669822692,-0.0002545282186474,0.0409640669822692,-0.0002545282186474,0.0412185952009166,0.0412185952009166,0.0409640669822692,0.0002545282186474,True,Dịch vụ tài chính,HOSE,6360,19969.009765625,253960,0.7073523308702082,0.0047393364928909,0.0031695721077653,0.4,-0.0209789680789097,0.0207182148315049,0.1415019902314401,58.757537811154734,11.0,6.142632256822544e-05,-0.0119049703285354,9.0
PVD,train,2017-11-09,2017-11-10,0.0417391322553157,0.0035050173755735,0.0417391322553157,0.0035050173755735,0.038234114879742195,0.038234114879742195,0.0417391322553157,0.0035050173755735,False,Dầu khí,HOSE,11300,11300.0,3824550,1.0829204066030524,0.0116383169203222,-0.011504424778761,1.0,0.1907270811380399,0.0216240883656506,0.2300553318608366,143.83679439912726,3.0,-0.023016063294174,0.0176991150442478,10.0
VIC,train,2017-11-09,2017-11-10,0.039393987506628,0.002879599109292,0.039393987506628,0.002879599109292,0.036514388397336,0.036514388397336,0.039393987506628,0.002879599109292,False,Bất động sản,HOSE,25200,25197.431640625,1902810,1.5007192814756627,0.0161290322580645,0.0307564422277639,0.5315315315315315,0.2472727870383484,0.0187247169515283,0.2632418002419515,322.70787918871235,9.0,0.0393685491372319,-0.0379009207365117,11.0
SSI,train,2017-11-09,2017-11-10,0.0321888923645019,-0.0022947364486753,0.0321888923645019,-0.0022947364486753,0.034483628813177195,0.034483628813177195,0.0321888923645019,0.0022947364486753,True,Dịch vụ tài chính,HOSE,7130,11830.1015625,2422140,0.8638147449147718,0.0084865629420085,0.0042613636363635,0.6,-0.0410676946763689,0.012307322759903,0.134537500583101,27.14001393594549,11.0,0.0053322324333579,-0.0021414023944479,12.0
IMP,train,2017-11-13,2017-11-14,0.0697304978966713,-0.0008700523758307,0.0697304978966713,-0.0008700523758307,0.07060055027250199,0.07060055027250199,0.0697304978966713,0.0008700523758307,True,Y tế,HOSE,15930,16573.3828125,16820,1.4002664002664005,0.0095057034220531,0.0,1.0,0.0,0.0131037804537095,0.0496235233172489,22.53034595173108,7.0,0.0095389947858475,-0.0062990450142901,1.0
