feature_a,feature_b,pearson_corr,abs_corr
atr_gap,volatility_20,0.8536,0.8536
momentum_20,ma_20_gap,0.8535,0.8535
bb_position,rsi_14,0.849,0.849
volume_ratio_20,volume_zscore_20,0.8419,0.8419
ma_20_gap,rsi_14,0.8209,0.8209
ma_20_gap,bb_position,0.8168,0.8168
ma_20_gap,rolling_max_20_gap,0.7795,0.7795
momentum_5,ma_20_gap,0.7651,0.7651
