loss,val_loss,val_rel_score,learning_rate
0.4496378004550934,0.40436455607414246,0.001870065083813044,0.00019999999494757503
0.44369736313819885,0.4045734703540802,0.005255902066572338,0.00019999999494757503
0.4428507089614868,0.40465298295021057,0.0066869584816360295,0.00019999999494757503
0.44220927357673645,0.4045252799987793,0.006599871545606262,0.00019999999494757503
0.441790372133255,0.40433382987976074,0.003969476045392328,0.00019999999494757503
0.44132697582244873,0.40428996086120605,0.007235136472843018,0.00019999999494757503
0.4409419894218445,0.4043598771095276,0.004050445701237471,0.00019999999494757503
0.44045740365982056,0.40420001745224,0.007439434545285395,0.00019999999494757503
0.43996700644493103,0.404092013835907,0.005967945940861807,0.00019999999494757503
0.43969765305519104,0.4040147364139557,0.005042060452923658,0.00019999999494757503
0.43930813670158386,0.4039134085178375,0.0049055988847525045,0.00019999999494757503
0.43888723850250244,0.4039672613143921,0.00184640863456087,0.00019999999494757503
0.4383690059185028,0.40411266684532166,0.0027274861403683293,0.00019999999494757503
0.4378206133842468,0.4040895104408264,0.0023220445736013007,9.999999747378752e-05
0.4375492036342621,0.40408679842948914,0.0010799150914854172,9.999999747378752e-05
0.43741416931152344,0.40406081080436707,0.0007565051211140261,9.999999747378752e-05
0.4372836649417877,0.4041733145713806,-0.0012577478530531039,9.999999747378752e-05
0.4370904862880707,0.40419989824295044,-0.0026846011637917666,9.999999747378752e-05
