loss,magnitude_loss,sign_prob_loss,signed_prediction_loss,val_loss,val_magnitude_loss,val_sign_prob_loss,val_signed_prediction_loss,val_rel_score,learning_rate
2.7674927711486816,0.007076734211295843,0.8039283156394958,1.3417378664016724,2.8067398071289062,0.007818345911800861,0.8131025433540344,1.3593331575393677,0.007720893958467756,0.00019999999494757503
2.759455442428589,0.006857612635940313,0.8049889206886292,1.337525486946106,2.8227860927581787,0.007654009386897087,0.8138086199760437,1.3674904108047485,0.00233171308894331,0.00019999999494757503
2.7537567615509033,0.0068483659997582436,0.8048903346061707,1.3346773386001587,2.8382394313812256,0.007884123362600803,0.8160053491592407,1.3753827810287476,0.0010711315832028223,0.00019999999494757503
2.7491743564605713,0.00705654127523303,0.8054040670394897,1.3323503732681274,2.811159133911133,0.008150874637067318,0.8117973208427429,1.3618191480636597,-0.0004306453350577666,0.00019999999494757503
2.742577075958252,0.007371988613158464,0.8046894669532776,1.3290369510650635,2.800504684448242,0.008280872367322445,0.8095353245735168,1.3568962812423706,-0.0024387765292921415,0.00019999999494757503
2.737400770187378,0.007596354465931654,0.8043062686920166,1.3263537883758545,2.80370831489563,0.00855247676372528,0.8082897663116455,1.3585333824157715,-0.0035510395457287736,0.00019999999494757503
2.7299087047576904,0.007956325076520443,0.8038783073425293,1.322546362876892,2.8008205890655518,0.0086508234962821,0.8076627850532532,1.357060432434082,-0.005041964684699973,9.999999747378752e-05
2.7268178462982178,0.008136971853673458,0.803509533405304,1.321007251739502,2.802216053009033,0.00872599333524704,0.807925283908844,1.35758376121521,-0.005499212445598145,9.999999747378752e-05
2.721611499786377,0.008333444595336914,0.8029071688652039,1.3183550834655762,2.797792911529541,0.008841075003147125,0.8062258362770081,1.3556872606277466,-0.008675383580941443,9.999999747378752e-05
2.7170753479003906,0.008716928772628307,0.8020946383476257,1.316165566444397,2.8023414611816406,0.009167277254164219,0.8061771988868713,1.357908010482788,-0.003672658270301943,9.999999747378752e-05
2.715430498123169,0.008954809047281742,0.8023177981376648,1.31533944606781,2.8029000759124756,0.009491621516644955,0.8055249452590942,1.3582751750946045,-0.006173089286738875,9.999999747378752e-05
