model,combined_val_rel_score,combined_test_rel_score,combined_val_directional_accuracy,combined_test_directional_accuracy,residual_val_rel_score,residual_test_rel_score
residual_seed_52,0.01129430531094,0.003736414852461789,0.43882709807886755,0.442523768366465,0.0079462472888564,-0.022574845729190773
residual_seed_62,-0.002855584979124748,0.004580641227378224,0.435793731041456,0.445980985306828,-0.00029106842905979313,-0.02484661804750332
residual_seed_42,-0.012550588415299213,0.017268420304825005,0.44388270980788674,0.47709593777009507,-0.0030987334071130856,-0.00972822745355062
