code,stock_days,latest_date,hard_issue_rows,imputed_rows,event_rows,coverage_pct,days_since_latest,quality_score
AAPL,1569,2026-03-31,0,0,0,1.0,0,100.0
ABBV,1569,2026-03-31,0,0,0,1.0,0,100.0
ABT,1569,2026-03-31,0,0,0,1.0,0,100.0
ACN,1569,2026-03-31,0,0,0,1.0,0,100.0
ADBE,1569,2026-03-31,0,0,0,1.0,0,100.0
AMT,1569,2026-03-31,0,0,0,1.0,0,100.0
AMZN,1569,2026-03-31,0,0,0,1.0,0,100.0
BAC,1569,2026-03-31,0,0,0,1.0,0,100.0
BK,1569,2026-03-31,0,0,0,1.0,0,100.0
BKNG,1569,2026-03-31,0,0,0,1.0,0,100.0
BLK,1569,2026-03-31,0,0,0,1.0,0,100.0
BMY,1569,2026-03-31,0,0,0,1.0,0,100.0
BRK-B,1569,2026-03-31,0,0,0,1.0,0,100.0
C,1569,2026-03-31,0,0,0,1.0,0,100.0
CAT,1569,2026-03-31,0,0,0,1.0,0,100.0
CB,1569,2026-03-31,0,0,0,1.0,0,100.0
CL,1569,2026-03-31,0,0,0,1.0,0,100.0
CMCSA,1569,2026-03-31,0,0,0,1.0,0,100.0
CSCO,1569,2026-03-31,0,0,0,1.0,0,100.0
CVS,1569,2026-03-31,0,0,0,1.0,0,100.0
DE,1569,2026-03-31,0,0,0,1.0,0,100.0
DHR,1569,2026-03-31,0,0,0,1.0,0,100.0
DIS,1569,2026-03-31,0,0,0,1.0,0,100.0
DUK,1569,2026-03-31,0,0,0,1.0,0,100.0
EMR,1569,2026-03-31,0,0,0,1.0,0,100.0
GD,1569,2026-03-31,0,0,0,1.0,0,100.0
GE,1569,2026-03-31,0,0,0,1.0,0,100.0
GM,1569,2026-03-31,0,0,0,1.0,0,100.0
GOOG,1569,2026-03-31,0,0,0,1.0,0,100.0
GOOGL,1569,2026-03-31,0,0,0,1.0,0,100.0
GS,1569,2026-03-31,0,0,0,1.0,0,100.0
HD,1569,2026-03-31,0,0,0,1.0,0,100.0
HON,1569,2026-03-31,0,0,0,1.0,0,100.0
IBM,1569,2026-03-31,0,0,0,1.0,0,100.0
ISRG,1569,2026-03-31,0,0,0,1.0,0,100.0
JNJ,1569,2026-03-31,0,0,0,1.0,0,100.0
JPM,1569,2026-03-31,0,0,0,1.0,0,100.0
KO,1569,2026-03-31,0,0,0,1.0,0,100.0
LIN,1569,2026-03-31,0,0,0,1.0,0,100.0
LLY,1569,2026-03-31,0,0,0,1.0,0,100.0
LMT,1569,2026-03-31,0,0,0,1.0,0,100.0
MA,1569,2026-03-31,0,0,0,1.0,0,100.0
MCD,1569,2026-03-31,0,0,0,1.0,0,100.0
MDLZ,1569,2026-03-31,0,0,0,1.0,0,100.0
MDT,1569,2026-03-31,0,0,0,1.0,0,100.0
