stock,company_name,sector,industry,sub_industry,com_type_code,run_name,best_by_val,best_val_rel_score,best_by_test,best_test_rel_score,best_test_val_rel_score
LPB,Ngân hàng Thương mại Cổ phần Lộc Phát Việt Nam,Ngân hàng,Ngân hàng,Ngân hàng,NH,search_lpb_expanded,"volume_ratio_5,return_3",0.06956497589863475,"volume_ma_5,obv_change",-0.0009481409128051,0.0002477698672648
MBB,Ngân hàng Thương mại Cổ phần Quân đội,Ngân hàng,Ngân hàng,Ngân hàng,NH,search_mbb_expanded,"upper_shadow,vwap_gap",0.012729844966349213,"intraday_return,ma_5_gap",0.0681147428018613,-0.0542804184328022
MSN,Công ty Cổ phần Tập đoàn Masan,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,CT,search_msn_expanded,"atr_gap,volatility_20",0.04053866663735106,"volume_zscore_20,volatility_10",0.0858059186569643,-0.0342484586497962
MWG,Công ty Cổ phần Đầu tư Thế Giới Di Động,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,CT,search_mwg_expanded,"volume_ratio_20,atr_gap",0.0417486081652656,"close_low_gap,obv_change",0.0408766271124163,-0.0247411146044678
NKG,Công ty Cổ phần Thép Nam Kim,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép,CT,search_nkg_expanded,"volume_ratio_20,volatility_20",0.0005105540272603015,volatility_20,0.0262177534504214,-0.0254782317028197
NLG,Công ty Cổ phần Đầu tư Nam Long,Bất động sản,Bất động sản,Bất động sản,CT,search_nlg_expanded,"volume_zscore_20,lower_shadow",0.0572984026358736,"volume_ratio_5,return_10",0.0395813577422007,0.0004159019778947
NT2,Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,CT,search_nt2_expanded,"true_range,atr_gap",0.07206928086553399,"overnight_return,ma_5_gap",0.0512576455337631,-0.0081361724154958
PAN,Công ty Cổ phần Tập đoàn PAN,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,CT,search_pan_expanded,"volume_ma_20,rolling_max_20_gap",0.02440187684245676,"atr_14,ma_cross_5_20",0.0866676856083689,-0.0420097990418655
PC1,Công ty Cổ phần Tập đoàn PC1,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,search_pc1_expanded,"range_pct,volatility_20",0.02206449947045086,"overnight_return,close_low_gap",0.0578484871212354,-0.0256451092734073
PDR,Công ty Cổ phần Phát triển Bất động sản Phát Đạt,Bất động sản,Bất động sản,Bất động sản,CT,search_pdr_expanded,"momentum_5,ma_10_gap",0.06634961000300088,"volume_change,volume_zscore_20",0.03040316852128,0.0275947659162028
PHR,Công ty Cổ phần Cao su Phước Hòa,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",CT,search_phr_expanded,"overnight_return,close_low_gap",0.023312129366491297,"high_close_gap,price_acceleration",0.1031662664489346,-0.0284193112912485
PLX,Tập đoàn Xăng dầu Việt Nam,Dầu khí,Sản xuất Dầu khí,Sản xuất và Khai thác dầu khí,CT,search_plx_expanded,"overnight_return,obv_change",0.047242201688219576,"momentum_20,volatility_ratio",0.0649910302714523,-0.0381144776022881
PNJ,Công ty Cổ phần Vàng bạc Đá quý Phú Nhuận,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng cá nhân,CT,search_pnj_expanded,"volume_zscore_20,upper_shadow",0.030230640144778276,"volume_ma_20,close_low_gap",0.0642869405626004,-0.2410975974445681
POW,Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,CT,search_pow_expanded,"adjust_return,rolling_max_20_gap",0.045523518393189244,"atr_14,vwap_gap",0.0463878648229559,-0.0186553385673757
PPC,Công ty Cổ phần Nhiệt điện Phả Lại,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,CT,search_ppc_expanded,"high_close_gap,signed_volume",0.09025381780763975,"atr_14,vwap_gap",0.0321276659095542,-0.0552050551716043
