stocks,target_mode,target_column,window_size,feature_pool,min_combo_size,max_combo_size,min_rel_score,tested_combinations,good_combinations,best_val_rel_score,best_test_rel_score,best_features
PVT,return,target_next_return,20,"['volume_match', 'volume_ma_5', 'volume_ma_20', 'volume_change', 'volume_ratio_5', 'volume_ratio_20', 'volume_zscore_20', 'close_return', 'adjust_return', 'intraday_return', 'overnight_return', 'gap_open', 'range_pct', 'body_pct', 'high_close_gap', 'close_low_gap', 'close_position', 'upper_shadow', 'lower_shadow', 'return_3', 'momentum_5', 'return_10', 'momentum_20', 'price_acceleration', 'true_range', 'atr_14', 'atr_gap', 'volatility_5', 'volatility_10', 'volatility_20', 'volatility_ratio', 'ma_5_gap', 'ma_10_gap', 'ma_20_gap', 'ma_50_gap', 'ma_cross_5_20', 'rolling_max_20_gap', 'rolling_min_20_gap', 'vwap_gap', 'signed_volume', 'obv_change']",1,2,0.03,861,0,0.02829638353274455,0.027358697935256804,"high_close_gap,obv_change"
MBB,return,target_next_return,20,"['volume_match', 'volume_ma_5', 'volume_ma_20', 'volume_change', 'volume_ratio_5', 'volume_ratio_20', 'volume_zscore_20', 'close_return', 'adjust_return', 'intraday_return', 'overnight_return', 'gap_open', 'range_pct', 'body_pct', 'high_close_gap', 'close_low_gap', 'close_position', 'upper_shadow', 'lower_shadow', 'return_3', 'momentum_5', 'return_10', 'momentum_20', 'price_acceleration', 'true_range', 'atr_14', 'atr_gap', 'volatility_5', 'volatility_10', 'volatility_20', 'volatility_ratio', 'ma_5_gap', 'ma_10_gap', 'ma_20_gap', 'ma_50_gap', 'ma_cross_5_20', 'rolling_max_20_gap', 'rolling_min_20_gap', 'vwap_gap', 'signed_volume', 'obv_change']",1,2,0.03,861,0,0.012729844966349213,0.02306562160500214,"upper_shadow,vwap_gap"
PHR,return,target_next_return,20,"['volume_match', 'volume_ma_5', 'volume_ma_20', 'volume_change', 'volume_ratio_5', 'volume_ratio_20', 'volume_zscore_20', 'close_return', 'adjust_return', 'intraday_return', 'overnight_return', 'gap_open', 'range_pct', 'body_pct', 'high_close_gap', 'close_low_gap', 'close_position', 'upper_shadow', 'lower_shadow', 'return_3', 'momentum_5', 'return_10', 'momentum_20', 'price_acceleration', 'true_range', 'atr_14', 'atr_gap', 'volatility_5', 'volatility_10', 'volatility_20', 'volatility_ratio', 'ma_5_gap', 'ma_10_gap', 'ma_20_gap', 'ma_50_gap', 'ma_cross_5_20', 'rolling_max_20_gap', 'rolling_min_20_gap', 'vwap_gap', 'signed_volume', 'obv_change']",1,2,0.03,861,0,0.023312129366491297,0.022808671544041426,"overnight_return,close_low_gap"
VRE,return,target_next_return,20,"['volume_match', 'volume_ma_5', 'volume_ma_20', 'volume_change', 'volume_ratio_5', 'volume_ratio_20', 'volume_zscore_20', 'close_return', 'adjust_return', 'intraday_return', 'overnight_return', 'gap_open', 'range_pct', 'body_pct', 'high_close_gap', 'close_low_gap', 'close_position', 'upper_shadow', 'lower_shadow', 'return_3', 'momentum_5', 'return_10', 'momentum_20', 'price_acceleration', 'true_range', 'atr_14', 'atr_gap', 'volatility_5', 'volatility_10', 'volatility_20', 'volatility_ratio', 'ma_5_gap', 'ma_10_gap', 'ma_20_gap', 'ma_50_gap', 'ma_cross_5_20', 'rolling_max_20_gap', 'rolling_min_20_gap', 'vwap_gap', 'signed_volume', 'obv_change']",1,2,0.03,861,0,0.02985088099647526,0.01981752795865066,"volatility_10,obv_change"
MSN,return,target_next_return,20,"['volume_match', 'volume_ma_5', 'volume_ma_20', 'volume_change', 'volume_ratio_5', 'volume_ratio_20', 'volume_zscore_20', 'close_return', 'adjust_return', 'intraday_return', 'overnight_return', 'gap_open', 'range_pct', 'body_pct', 'high_close_gap', 'close_low_gap', 'close_position', 'upper_shadow', 'lower_shadow', 'return_3', 'momentum_5', 'return_10', 'momentum_20', 'price_acceleration', 'true_range', 'atr_14', 'atr_gap', 'volatility_5', 'volatility_10', 'volatility_20', 'volatility_ratio', 'ma_5_gap', 'ma_10_gap', 'ma_20_gap', 'ma_50_gap', 'ma_cross_5_20', 'rolling_max_20_gap', 'rolling_min_20_gap', 'vwap_gap', 'signed_volume', 'obv_change']",1,2,0.03,861,2,0.04053866663735106,0.01753044430761652,"atr_gap,volatility_20"
NLG,return,target_next_return,20,"['volume_match', 'volume_ma_5', 'volume_ma_20', 'volume_change', 'volume_ratio_5', 'volume_ratio_20', 'volume_zscore_20', 'close_return', 'adjust_return', 'intraday_return', 'overnight_return', 'gap_open', 'range_pct', 'body_pct', 'high_close_gap', 'close_low_gap', 'close_position', 'upper_shadow', 'lower_shadow', 'return_3', 'momentum_5', 'return_10', 'momentum_20', 'price_acceleration', 'true_range', 'atr_14', 'atr_gap', 'volatility_5', 'volatility_10', 'volatility_20', 'volatility_ratio', 'ma_5_gap', 'ma_10_gap', 'ma_20_gap', 'ma_50_gap', 'ma_cross_5_20', 'rolling_max_20_gap', 'rolling_min_20_gap', 'vwap_gap', 'signed_volume', 'obv_change']",1,2,0.03,861,9,0.0572984026358736,0.01722247572539637,"volume_zscore_20,lower_shadow"
DPM,return,target_next_return,20,"['volume_match', 'volume_ma_5', 'volume_ma_20', 'volume_change', 'volume_ratio_5', 'volume_ratio_20', 'volume_zscore_20', 'close_return', 'adjust_return', 'intraday_return', 'overnight_return', 'gap_open', 'range_pct', 'body_pct', 'high_close_gap', 'close_low_gap', 'close_position', 'upper_shadow', 'lower_shadow', 'return_3', 'momentum_5', 'return_10', 'momentum_20', 'price_acceleration', 'true_range', 'atr_14', 'atr_gap', 'volatility_5', 'volatility_10', 'volatility_20', 'volatility_ratio', 'ma_5_gap', 'ma_10_gap', 'ma_20_gap', 'ma_50_gap', 'ma_cross_5_20', 'rolling_max_20_gap', 'rolling_min_20_gap', 'vwap_gap', 'signed_volume', 'obv_change']",1,2,0.03,861,50,0.06255043520320114,0.013752947100520885,"atr_gap,ma_5_gap"
DXG,return,target_next_return,20,"['volume_match', 'volume_ma_5', 'volume_ma_20', 'volume_change', 'volume_ratio_5', 'volume_ratio_20', 'volume_zscore_20', 'close_return', 'adjust_return', 'intraday_return', 'overnight_return', 'gap_open', 'range_pct', 'body_pct', 'high_close_gap', 'close_low_gap', 'close_position', 'upper_shadow', 'lower_shadow', 'return_3', 'momentum_5', 'return_10', 'momentum_20', 'price_acceleration', 'true_range', 'atr_14', 'atr_gap', 'volatility_5', 'volatility_10', 'volatility_20', 'volatility_ratio', 'ma_5_gap', 'ma_10_gap', 'ma_20_gap', 'ma_50_gap', 'ma_cross_5_20', 'rolling_max_20_gap', 'rolling_min_20_gap', 'vwap_gap', 'signed_volume', 'obv_change']",1,2,0.03,861,50,0.07251360444324007,0.012881130252123785,"close_position,momentum_20"
STB,return,target_next_return,20,"['volume_match', 'volume_ma_5', 'volume_ma_20', 'volume_change', 'volume_ratio_5', 'volume_ratio_20', 'volume_zscore_20', 'close_return', 'adjust_return', 'intraday_return', 'overnight_return', 'gap_open', 'range_pct', 'body_pct', 'high_close_gap', 'close_low_gap', 'close_position', 'upper_shadow', 'lower_shadow', 'return_3', 'momentum_5', 'return_10', 'momentum_20', 'price_acceleration', 'true_range', 'atr_14', 'atr_gap', 'volatility_5', 'volatility_10', 'volatility_20', 'volatility_ratio', 'ma_5_gap', 'ma_10_gap', 'ma_20_gap', 'ma_50_gap', 'ma_cross_5_20', 'rolling_max_20_gap', 'rolling_min_20_gap', 'vwap_gap', 'signed_volume', 'obv_change']",1,2,0.03,861,50,0.06695600577759464,0.007625609578775894,"range_pct,volatility_ratio"
NKG,return,target_next_return,20,"['volume_match', 'volume_ma_5', 'volume_ma_20', 'volume_change', 'volume_ratio_5', 'volume_ratio_20', 'volume_zscore_20', 'close_return', 'adjust_return', 'intraday_return', 'overnight_return', 'gap_open', 'range_pct', 'body_pct', 'high_close_gap', 'close_low_gap', 'close_position', 'upper_shadow', 'lower_shadow', 'return_3', 'momentum_5', 'return_10', 'momentum_20', 'price_acceleration', 'true_range', 'atr_14', 'atr_gap', 'volatility_5', 'volatility_10', 'volatility_20', 'volatility_ratio', 'ma_5_gap', 'ma_10_gap', 'ma_20_gap', 'ma_50_gap', 'ma_cross_5_20', 'rolling_max_20_gap', 'rolling_min_20_gap', 'vwap_gap', 'signed_volume', 'obv_change']",1,2,0.03,861,0,0.0005105540272603015,0.007399963162210366,"volume_ratio_20,volatility_20"
