run,model,feature_columns,val_rel_score,test_rel_score,val_mse,test_mse,val_mae,test_mae
vn_volume_ma20,linear_regression,volume_ma_20,0.10511876718108581,0.07944384200168175,0.0003289092564955354,0.0005764919915236533,0.012404960580170155,0.016618875786662102
vn_volume_match_gap_open,linear_regression,"volume_match,gap_open",0.12170283806723259,0.07840089995480948,0.0003319624229334295,0.000576344202272594,0.012511085718870163,0.016680195927619934
vn_volume_match_change,linear_regression,"volume_match,volume_change",0.108989527649891,0.07403659362514103,0.0003321963595226407,0.0005801848019473255,0.012499512173235416,0.016697334125638008
vn_volume_ma20_zscore20,linear_regression,"volume_ma_20,volume_zscore_20",0.11421129329288227,0.07040412634860538,0.00033028435427695513,0.0005753267905674875,0.012468598783016205,0.016624704003334045
vn_volume_ma20_vol20,linear_regression,"volume_ma_20,volatility_20",0.06194313007206742,0.05530441127420527,0.00032844682573340833,0.0005764723173342645,0.012369373813271523,0.016603853553533554
vn_volume_ma20_zscore20,lstm,"volume_ma_20,volume_zscore_20",0.28449138191647205,0.1680286739323953,0.0003308642189949751,0.000579490908421576,0.012614994309842587,0.016787011176347733
vn_volume_match_gap_open,lstm,"volume_match,gap_open",0.053184905573107066,0.039360640926944135,0.0003290267486590892,0.000574169447645545,0.01236758939921856,0.01657547429203987
vn_volume_ma20_vol20,lstm,"volume_ma_20,volatility_20",0.036944085018674966,0.03620406661483033,0.0003291182511020452,0.0005764922825619578,0.012367294169962406,0.016595613211393356
vn_volume_ma20,lstm,volume_ma_20,0.026425157474160854,0.013333274079435298,0.00032909910078160465,0.0005770940333604813,0.012340772897005081,0.016578305512666702
vn_volume_match_change,lstm,"volume_match,volume_change",0.009062541832171811,0.004303177210832065,0.0003292208130005747,0.0005771568976342678,0.012339633889496326,0.016579093411564827
