n,rel_score,absE_robust,base_robust,absE_q90,DA,pred_actual_q90_ratio,market,model,fold_id,test_start,test_end
1908,0.0,0.045961496047675604,0.045961496047675604,0.06237320527434348,0.10167714884696016,0.0,VN,zero,0,2020-04-01,2020-05-04
1922,0.0,0.03283663094043732,0.03283663094043732,0.0416666679084301,0.09521331945889698,0.0,VN,zero,1,2020-05-05,2020-06-02
1916,0.0,0.03685049153864384,0.03685049153864384,0.04805994778871536,0.09133611691022965,0.0,VN,zero,2,2020-06-03,2020-07-01
1905,0.0,0.03385706525295973,0.03385706525295973,0.04701206088066101,0.10971128608923884,0.0,VN,zero,3,2020-07-02,2020-07-30
1910,0.0,0.024640619661659004,0.024640619661659004,0.030705350264906887,0.11047120418848168,0.0,VN,zero,4,2020-07-31,2020-08-28
1925,0.0,0.021484718658030033,0.021484718658030033,0.027344515547156337,0.11324675324675325,0.0,VN,zero,5,2020-08-31,2020-09-29
1927,0.0,0.024634011276066303,0.024634011276066303,0.03125000409781933,0.11105345096004152,0.0,VN,zero,6,2020-09-30,2020-10-28
1906,0.0,0.025138847529888153,0.025138847529888153,0.032590994611382484,0.10703043022035677,0.0,VN,zero,7,2020-10-29,2020-11-26
1914,0.0,0.03166943239048124,0.03166943239048124,0.04070146866142751,0.08098223615464994,0.0,VN,zero,8,2020-11-27,2020-12-25
1920,0.0,0.0427243652753532,0.0427243652753532,0.058246866613626484,0.07447916666666667,0.0,VN,zero,9,2020-12-28,2021-01-26
1921,0.0,0.050562309101223946,0.050562309101223946,0.06756764650344849,0.06454971369078605,0.0,VN,zero,10,2021-01-27,2021-03-03
1930,0.0,0.025518201384693386,0.025518201384693386,0.03208800703287125,0.08031088082901554,0.0,VN,zero,11,2021-03-04,2021-04-01
1929,0.0,0.03129100613296032,0.03129100613296032,0.038966163992881775,0.08761016070502851,0.0,VN,zero,12,2021-04-02,2021-05-05
1926,0.0,0.0339152398519218,0.0339152398519218,0.04160251282155514,0.0612668743509865,0.0,VN,zero,13,2021-05-06,2021-06-03
1928,0.0,0.03174717342481017,0.03174717342481017,0.04031158126890659,0.0700207468879668,0.0,VN,zero,14,2021-06-04,2021-07-02
1929,0.0,0.04246018193662167,0.04246018193662167,0.05415119081735612,0.05443234836702955,0.0,VN,zero,15,2021-07-05,2021-08-02
1939,0.0,0.03321945946663618,0.03321945946663618,0.04341262206435204,0.06549767921609077,0.0,VN,zero,16,2021-08-03,2021-08-31
1945,0.0,0.029697806015610697,0.029697806015610697,0.036229670792818074,0.07043701799485862,0.0,VN,zero,17,2021-09-01,2021-10-01
1946,0.0,0.025985577143728733,0.025985577143728733,0.03340298309922218,0.08941418293936279,0.0,VN,zero,18,2021-10-04,2021-11-01
1949,0.0,0.04131375756114722,0.04131375756114722,0.05353931784629822,0.049769112365315546,0.0,VN,zero,19,2021-11-02,2021-11-30
1951,0.0,0.035799235105514526,0.035799235105514526,0.045454591512680054,0.05996924654023578,0.0,VN,zero,20,2021-12-01,2021-12-29
1931,0.0,0.04995292238891125,0.04995292238891125,0.06738550215959549,0.04816157431382703,0.0,VN,zero,21,2021-12-30,2022-01-28
1945,0.0,0.03126690033823252,0.03126690033823252,0.038818258047103885,0.06323907455012853,0.0,VN,zero,22,2022-02-07,2022-03-07
1951,0.0,0.02965252660214901,0.02965252660214901,0.03719806671142578,0.05586878523833931,0.0,VN,zero,23,2022-03-08,2022-04-05
1950,0.0,0.05584994200617075,0.05584994200617075,0.06887322217226029,0.05076923076923077,0.0,VN,zero,24,2022-04-06,2022-05-09
1947,0.0,0.051920638605952266,0.051920638605952266,0.06878302842378617,0.06111967128916281,0.0,VN,zero,25,2022-05-10,2022-06-07
1951,0.0,0.05520831607282162,0.05520831607282162,0.0687500387430191,0.04561763198359815,0.0,VN,zero,26,2022-06-08,2022-07-06
