split,Date,n_predictions,q90_abs_error,base_abs_mean,base_abs_q90,base_prediction_std,feature_volatility_20_mean,feature_volatility_20_q90,feature_volume_ratio_20_mean,feature_volume_ratio_20_q90,feature_momentum_20_mean,feature_momentum_20_std,feature_bb_width_mean,feature_bb_width_q90,feature_abs_intraday_return_q90,feature_alpha_sector_std,feature_sector_momentum_rank_std,past_return_mean,past_return_std,past_abs_return_q90,past_breadth,leader_return_k10_w60,leader_abs_return_k10_w60,leader_return_excess_k10_w60,high_error_label,lstm_high_error_probability
train,2012-06-22,51,0.0423973142169415,0.0015545501407947576,0.003199771977961,0.001937836437555181,0.02393930666634662,0.0321920201557826,0.696226138170375,1.3636144705426338,0.018180653688646978,0.066013001192436,0.11538186952133962,0.1848492976846767,0.024390243902439,0.015298844631683396,3.404956018834323,-0.00633150574818108,0.02001559718540558,0.03843625226679246,0.23636363636363636,-0.004639198542099088,0.004639198542099088,0.0016923072060819923,1,0.55830204
train,2012-06-25,50,0.043957130827766415,0.0017617658267044653,0.003475461900234221,0.0020264906617858554,0.022477449862933617,0.03075517230844724,0.9133877423826025,1.4125536300569894,-0.02034005880037437,0.05443689673551566,0.11178008006818704,0.18232480362685932,0.032655728958249884,0.018850633833808028,3.461980086951539,-0.018973659243808814,0.019614346817751826,0.043707168382630425,0.07272727272727272,-0.01749433527839722,0.01749433527839722,0.001479323965411592,1,0.67672783
train,2012-06-26,48,0.03919333669473413,0.002011899983699508,0.004264400107786025,0.002543614431042439,0.022525940950276397,0.03120097953192419,0.9096096202619757,1.6018474438845907,-0.04310309395871198,0.05401024403281203,0.11217973603945991,0.18698942729283033,0.041584559319746264,0.023338016850260684,3.432673110106912,-0.015433428468893898,0.026830293928342408,0.044226330476860976,0.10714285714285714,-0.012179407785659124,0.012179407785659124,0.003254020683234774,1,0.75476354
train,2012-06-27,50,0.03339152208063741,0.0030226235534518585,0.007039266871288321,0.003382087873497653,0.02327128388540703,0.03205706561494872,1.0677188620517852,1.5310366092259926,-0.05520041644590802,0.059798195446313165,0.12302611787444015,0.1966404266637385,0.03766472444968221,0.021106189873346323,3.3745748031479192,-0.003576132805005106,0.019855548562824413,0.03735763161847511,0.2857142857142857,-0.0034563428400352287,0.0034563428400352287,0.00011978996496987736,0,0.68791044
train,2012-06-28,50,0.03861986611736924,0.0031630006447812354,0.007869357988238299,0.003579457862284815,0.022842100611973115,0.032638015608105225,0.8853525823827951,1.310544240989899,-0.06778239970627067,0.06481554754215771,0.12988424731857845,0.21781520437459942,0.033053439147227685,0.0224054119190447,3.652284719661022,0.003278331699893826,0.018952336125554962,0.03502225057968072,0.4,0.007837116185399519,0.007837116185399519,0.004558784485505693,1,0.6266544
train,2012-06-29,51,0.0453840538975783,0.002045806662702914,0.0054231616668403,0.002595433048051373,0.022812265042896268,0.0322806221601387,0.9082338717267137,1.8521173583753312,-0.04498461073738088,0.06374155894077646,0.1368099015014908,0.2298463671426135,0.0358814352574102,0.0229859052310735,3.412778753967126,0.006362929601474104,0.02388338975931488,0.040610177438162864,0.5357142857142857,0.005180838502902697,0.005180838502902697,-0.0011820910985714068,1,0.6357275
train,2012-07-02,50,0.047205238317837926,0.0013979922196085226,0.0032327286433427903,0.0019986941004686773,0.02277587553621644,0.03174731524685341,0.6886166302364731,1.327377299431484,-0.03810475910021106,0.06448781405374514,0.1437319468982721,0.23785036400337062,0.04098809655020395,0.02571662211176223,3.4252364732904472,-0.013298654010815036,0.020173857700833128,0.040062027524714106,0.14285714285714285,-0.01148155097652243,0.01148155097652243,0.0018171030342926057,1,0.7225724
train,2012-07-03,48,0.03623976726084944,0.001822180271195328,0.004967439780011731,0.0020278154485825826,0.022027082024307813,0.03151333346757718,0.7688467573036813,1.38359108552656,-0.021681771279406386,0.06833308710707583,0.15104347418483052,0.25450975442908347,0.04789644012944982,0.020793063276941363,3.306720000713784,-0.020187188907937807,0.019849357820401748,0.04707189345831031,0.05454545454545454,-0.012498697999685325,0.012498697999685325,0.007688490908252481,1,0.7964636
train,2012-07-04,50,0.047451575170271085,0.0028963561769341523,0.00664729783311484,0.0028122206002317972,0.022172946053905518,0.030629361630996072,0.9911156759719582,1.6292865743303493,-0.05761499231954991,0.07687359574146094,0.16264060712883782,0.275946792948225,0.04403993222512238,0.02175840669575376,3.569942547985663,-0.008249980850393778,0.017590006944800698,0.03797469706526457,0.125,-0.0033768872976720587,0.0033768872976720587,0.004873093552721719,1,0.7662194
train,2012-07-05,50,0.03595289201475686,0.0030222563223650926,0.007163389027118642,0.003051456016385016,0.02152030021871036,0.029974046377223763,0.6703941740637995,1.0906995372154717,-0.08308337707677278,0.08321849591731884,0.17618212782559628,0.3005806872332643,0.03970860500684214,0.020531101530827,3.598412348324109,0.010652353956532168,0.022580769829364203,0.0440097967314812,0.5892857142857143,0.014683888704753428,0.014683888704753428,0.004031534748221261,1,0.77253973
