model,split,n_days,spike_rate,auc,average_precision,top20_days,top20_spike_rate,rest_spike_rate,top20_median_q90_abs_error,rest_median_q90_abs_error
daily_lstm,train,1940,0.3680412371134021,0.8149946765002901,0.7545807433970073,388,0.7989690721649485,0.2603092783505155,0.04186535052140239,0.0291095376713201
daily_lstm,val,629,0.5468998410174881,0.7919522643818848,0.8163088963817271,126,0.8809523809523809,0.46322067594433397,0.05708195316037747,0.0336958540137857
