,volume_ratio_20,intraday_return,gap_open,close_position,upper_shadow,lower_shadow,momentum_5,momentum_20,volatility_20,ma_200_gap,rolling_max_20_gap,bb_width,vwap_gap,obv_change,macd_hist,effort_result_ratio,buying_pressure,selling_pressure,wyckoff_phase_60d,a_d_ratio,market_leader_return,vnindex_return,rsi_14,day_of_week,sector_momentum_rank,is_top_2_sector
effort_result_ratio,0.2597351182683826,0.008571097151132882,0.026590472626539068,0.0073452198803807475,-0.06101653055725423,-0.07884141711597965,0.04398028511569065,-0.0014788770569704674,-0.1139128126755654,-0.07344074481262024,0.09521537540494371,-0.11412776143405853,,0.0014517708721886672,0.026818680184459476,1.0,0.18857092077200896,0.1771331920090368,-0.02412977366659078,0.020165138222472172,0.018356249730581805,0.024429554746132526,0.018865939920335438,0.004141860878689132,0.03327660152220502,-0.018628833592047474
buying_pressure,0.540915967700244,0.5394030751350766,-0.0006390377442003381,0.6468206009164446,-0.14257879661844516,0.22122796979702597,0.3003815544996264,0.15462869728238668,-0.02606284666823607,0.07949838009451422,0.21661338555131895,0.004571088986939415,,0.0016727352078963007,0.10434808392539495,0.18857092077200896,1.0,-0.26099640125610907,0.20705615609316538,0.15494297657656925,0.18368783602341132,0.19348875029718976,0.22670289655525142,0.01431918952723109,-0.013740199594612253,0.007423937600872945
selling_pressure,0.38120248342281826,-0.46088016267756354,0.04676797979830356,-0.652087556554354,0.3138396425400809,-0.19091320345804225,-0.13220603188644556,-0.05477058929706847,-0.030566004185202632,-0.04690411513503207,-0.09831339297465737,0.0167191278162397,,-0.009900732236859663,-0.03261974585888356,0.1771331920090368,-0.26099640125610907,1.0,-0.09654220145899174,-0.16645448170922883,-0.23243733210120437,-0.24537369396736625,-0.057804154751094475,-0.014632582144619698,0.0007286925026871116,0.017202942478705036
wyckoff_phase_60d,0.08989600384112971,0.19420620167400482,0.09584933955010529,0.1800452849922619,-0.006714166613984462,0.0369345203987018,0.46888427203700317,0.6845934671421325,0.03730045272107169,0.6196950897952496,0.5715238726530975,0.053791205827144965,,-0.00024198823563850334,0.20355498518577947,-0.02412977366659078,0.20705615609316538,-0.09654220145899174,1.0,0.03520839791833439,0.12363491605701327,0.15428619659711681,0.6898461286727031,0.01111570753515845,-0.31143350172918044,0.190966932497498
a_d_ratio,0.008979872165843823,0.24491646097184483,0.10047771292165647,0.2265770280620467,-0.03654337365992776,0.0004618022295908938,0.09227576577201138,0.01641735658888877,0.06677511338039263,0.017432353633035958,0.014275950342830326,0.050899138326053014,,-0.0008875215976453999,-0.00661659641631047,0.020165138222472172,0.15494297657656925,-0.16645448170922883,0.03520839791833439,1.0,0.6097057260666776,0.6654606096895651,0.029540777307243114,0.01878535967871731,-0.002351748324015607,-0.005731216432152717
market_leader_return,-0.005736863456426685,0.30983339650556685,0.1439824071640112,0.265133351990046,-0.05968685609338373,-0.0006555030685810571,0.19893476196912857,0.10917989291372325,-0.012660966924065754,0.05513641369273397,0.164106678047845,-0.01443326664931496,,-0.00283791340405645,0.06660485831698862,0.018356249730581805,0.18368783602341132,-0.23243733210120437,0.12363491605701327,0.6097057260666776,1.0,0.8683445768662196,0.12870292676160067,0.05423448926978864,0.005997240964299378,-0.0018863862558004983
vnindex_return,-0.002329086966587596,0.33426975778428997,0.18326908011060483,0.2772248018276106,-0.06380338213887679,-0.015508893051724428,0.24900029294548373,0.13678545805279882,-0.024705401483297657,0.0770968507122364,0.20619660687675462,-0.02527196960287389,,-0.0017991547772165514,0.08634841801008915,0.024429554746132526,0.19348875029718976,-0.24537369396736625,0.15428619659711681,0.6654606096895651,0.8683445768662196,1.0,0.15799221596012025,0.07847128117573404,0.0054665170998879084,-0.001714581651477267
rsi_14,0.13763369132660322,0.19083722281791946,0.10767495916331929,0.16572204358373682,0.013104512618893008,0.02332960709591233,0.5559321863292334,0.7146469701332658,0.04721625530073198,0.4232048990236701,0.6705746680889867,0.07248640048055632,,0.0006133826701109993,0.4730772730620988,0.018865939920335438,0.22670289655525142,-0.057804154751094475,0.6898461286727031,0.029540777307243114,0.12870292676160067,0.15799221596012025,1.0,0.006342759138602538,-0.2859720847332044,0.17592462866059544
day_of_week,0.0047756004904832465,0.030043875627821116,0.01009282423108638,0.025690919763881288,-0.0015948994576690165,0.006104227667901726,0.004100541143115754,0.005428516819314257,-0.004005923718662418,0.002578668453989733,0.015587836069684958,-0.003019271201842809,,9.447264239560515e-05,-0.0007763250144570317,0.004141860878689132,0.01431918952723109,-0.014632582144619698,0.01111570753515845,0.01878535967871731,0.05423448926978864,0.07847128117573404,0.006342759138602538,1.0,-0.0009372628259790391,0.00318144441863079
sector_momentum_rank,-0.015439657423195984,-0.008754998432558236,-0.003427102143710642,-0.00857700624543261,-0.03130405791824296,-0.022148725801326225,-0.1582988920450447,-0.36588588448034765,-0.0960551328492263,-0.24420152950605342,-0.2091539631767678,-0.09532430685531827,,0.0006913903432238705,-0.11695351784764921,0.03327660152220502,-0.013740199594612253,0.0007286925026871116,-0.31143350172918044,-0.002351748324015607,0.005997240964299378,0.0054665170998879084,-0.2859720847332044,-0.0009372628259790391,1.0,-0.528031083671968
is_top_2_sector,0.016173557352335492,-0.0005428555431949481,0.014845299368986292,-0.004690414298926585,0.03356233961392214,0.016953144448718597,0.11331522408494395,0.253412781991491,0.09234952538376237,0.17489650365351153,0.10472333583575198,0.13036170659475843,,0.0008722940446853582,0.07211013238063721,-0.018628833592047474,0.007423937600872945,0.017202942478705036,0.190966932497498,-0.005731216432152717,-0.0018863862558004983,-0.001714581651477267,0.17592462866059544,0.00318144441863079,-0.528031083671968,1.0
