,volume_ratio_20,intraday_return,gap_open,close_position,upper_shadow,lower_shadow,momentum_5,momentum_20,volatility_20,ma_200_gap,rolling_max_20_gap,bb_width,vwap_gap,obv_change,macd_hist,effort_result_ratio,buying_pressure,selling_pressure,wyckoff_phase_60d,a_d_ratio,market_leader_return,vnindex_return,rsi_14,day_of_week,sector_momentum_rank,is_top_2_sector
volume_ratio_20,1.0,0.12500117325503868,0.027778975072411862,0.07054386006883008,0.12024038453790008,0.07475894716408436,0.15332339580754722,0.0772717195441772,-0.016410271137633096,0.013519491321586223,0.09511131957344802,0.004856396999745096,,0.004249535514202974,0.060416388940612395,0.2597351182683826,0.540915967700244,0.38120248342281826,0.08989600384112971,0.008979872165843823,-0.005736863456426685,-0.002329086966587596,0.13763369132660322,0.0047756004904832465,-0.015439657423195984,0.016173557352335492
intraday_return,0.12500117325503868,1.0,-0.34097523524671136,0.6616890369175098,0.03416260046786004,-0.036337584667829326,0.2961802819681405,0.14403640760335623,0.021562082726825953,0.08842714379561369,0.21289931359166478,0.006670153529120172,,0.004714597704034771,0.07946750423187969,0.008571097151132882,0.5394030751350766,-0.46088016267756354,0.19420620167400482,0.24491646097184483,0.30983339650556685,0.33426975778428997,0.19083722281791946,0.030043875627821116,-0.008754998432558236,-0.0005428555431949481
gap_open,0.027778975072411862,-0.34097523524671136,1.0,-0.09985662976904222,-0.1764868911070833,0.15040548240822993,0.19699950839847674,0.11392693002622346,-0.010901310650131312,0.06485317003221344,0.13720450212529905,-0.0007016076022944213,,0.005610117772100742,0.06264056160557538,0.026590472626539068,-0.0006390377442003381,0.04676797979830356,0.09584933955010529,0.10047771292165647,0.1439824071640112,0.18326908011060483,0.10767495916331929,0.01009282423108638,-0.003427102143710642,0.014845299368986292
close_position,0.07054386006883008,0.6616890369175098,-0.09985662976904222,1.0,-0.3090859934323004,0.3259907846721615,0.24386313581818864,0.11947924838157421,-0.002675800093717373,0.07867611094039513,0.19096300801448787,-0.0075248213198029785,,0.0032695409035721993,0.07012186312312907,0.0073452198803807475,0.6468206009164446,-0.652087556554354,0.1800452849922619,0.2265770280620467,0.265133351990046,0.2772248018276106,0.16572204358373682,0.025690919763881288,-0.00857700624543261,-0.004690414298926585
upper_shadow,0.12024038453790008,0.03416260046786004,-0.1764868911070833,-0.3090859934323004,1.0,-0.011081407035814436,-0.03132239185379233,0.015592318774205402,0.16809604758790225,0.04424033086568203,-0.12177630274328606,0.1731688137913647,,0.0017832480304709056,-0.016252543926468136,-0.06101653055725423,-0.14257879661844516,0.3138396425400809,-0.006714166613984462,-0.03654337365992776,-0.05968685609338373,-0.06380338213887679,0.013104512618893008,-0.0015948994576690165,-0.03130405791824296,0.03356233961392214
lower_shadow,0.07475894716408436,-0.036337584667829326,0.15040548240822993,0.3259907846721615,-0.011081407035814436,1.0,0.04008985990754045,0.03797413100058372,0.13783041333965487,0.06712710104272182,-0.05795982918629506,0.14307275723629734,,0.0009922866314466278,0.0002312135445819908,-0.07884141711597965,0.22122796979702597,-0.19091320345804225,0.0369345203987018,0.0004618022295908938,-0.0006555030685810571,-0.015508893051724428,0.02332960709591233,0.006104227667901726,-0.022148725801326225,0.016953144448718597
momentum_5,0.15332339580754722,0.2961802819681405,0.19699950839847674,0.24386313581818864,-0.03132239185379233,0.04008985990754045,1.0,0.5125606878471688,0.02715074300532467,0.2963807603420719,0.5764943241235784,0.051389523984800116,,0.0021907405893393894,0.4476202644107913,0.04398028511569065,0.3003815544996264,-0.13220603188644556,0.46888427203700317,0.09227576577201138,0.19893476196912857,0.24900029294548373,0.5559321863292334,0.004100541143115754,-0.1582988920450447,0.11331522408494395
momentum_20,0.0772717195441772,0.14403640760335623,0.11392693002622346,0.11947924838157421,0.015592318774205402,0.03797413100058372,0.5125606878471688,1.0,0.09457758677296982,0.5495347951466479,0.6476191786732955,0.17181714340556273,,0.0021827844181599295,0.3548556326386724,-0.0014788770569704674,0.15462869728238668,-0.05477058929706847,0.6845934671421325,0.01641735658888877,0.10917989291372325,0.13678545805279882,0.7146469701332658,0.005428516819314257,-0.36588588448034765,0.253412781991491
volatility_20,-0.016410271137633096,0.021562082726825953,-0.010901310650131312,-0.002675800093717373,0.16809604758790225,0.13783041333965487,0.02715074300532467,0.09457758677296982,1.0,0.18344357183300025,-0.4245833461321971,0.7217162763686664,,-0.002014606713347565,-0.02858892612149047,-0.1139128126755654,-0.02606284666823607,-0.030566004185202632,0.03730045272107169,0.06677511338039263,-0.012660966924065754,-0.024705401483297657,0.04721625530073198,-0.004005923718662418,-0.0960551328492263,0.09234952538376237
ma_200_gap,0.013519491321586223,0.08842714379561369,0.06485317003221344,0.07867611094039513,0.04424033086568203,0.06712710104272182,0.2963807603420719,0.5495347951466479,0.18344357183300025,1.0,0.3138804094071959,0.1759464546357185,,-0.004854181408633996,0.05753332905586564,-0.07344074481262024,0.07949838009451422,-0.04690411513503207,0.6196950897952496,0.017432353633035958,0.05513641369273397,0.0770968507122364,0.4232048990236701,0.002578668453989733,-0.24420152950605342,0.17489650365351153
rolling_max_20_gap,0.09511131957344802,0.21289931359166478,0.13720450212529905,0.19096300801448787,-0.12177630274328606,-0.05795982918629506,0.5764943241235784,0.6476191786732955,-0.4245833461321971,0.3138804094071959,1.0,-0.504109723501919,,0.0021632962200956313,0.4300047307705771,0.09521537540494371,0.21661338555131895,-0.09831339297465737,0.5715238726530975,0.014275950342830326,0.164106678047845,0.20619660687675462,0.6705746680889867,0.015587836069684958,-0.2091539631767678,0.10472333583575198
bb_width,0.004856396999745096,0.006670153529120172,-0.0007016076022944213,-0.0075248213198029785,0.1731688137913647,0.14307275723629734,0.051389523984800116,0.17181714340556273,0.7217162763686664,0.1759464546357185,-0.504109723501919,1.0,,-0.000791508968520428,-0.01224911070518456,-0.11412776143405853,0.004571088986939415,0.0167191278162397,0.053791205827144965,0.050899138326053014,-0.01443326664931496,-0.02527196960287389,0.07248640048055632,-0.003019271201842809,-0.09532430685531827,0.13036170659475843
vwap_gap,,,,,,,,,,,,,,,,,,,,,,,,,,
obv_change,0.004249535514202974,0.004714597704034771,0.005610117772100742,0.0032695409035721993,0.0017832480304709056,0.0009922866314466278,0.0021907405893393894,0.0021827844181599295,-0.002014606713347565,-0.004854181408633996,0.0021632962200956313,-0.000791508968520428,,1.0,-0.0024267490868971108,0.0014517708721886672,0.0016727352078963007,-0.009900732236859663,-0.00024198823563850334,-0.0008875215976453999,-0.00283791340405645,-0.0017991547772165514,0.0006133826701109993,9.447264239560515e-05,0.0006913903432238705,0.0008722940446853582
macd_hist,0.060416388940612395,0.07946750423187969,0.06264056160557538,0.07012186312312907,-0.016252543926468136,0.0002312135445819908,0.4476202644107913,0.3548556326386724,-0.02858892612149047,0.05753332905586564,0.4300047307705771,-0.01224911070518456,,-0.0024267490868971108,1.0,0.026818680184459476,0.10434808392539495,-0.03261974585888356,0.20355498518577947,-0.00661659641631047,0.06660485831698862,0.08634841801008915,0.4730772730620988,-0.0007763250144570317,-0.11695351784764921,0.07211013238063721
