split,mae,rmse,directional_accuracy,thresholded_directional_accuracy
train,0.016500722616910934,0.02451438456773758,0.43026498677307984,0.49899325398763683
val,0.012592416256666183,0.01836469955742359,0.44390107586977784,0.49067768225968517
test,0.016901684924960136,0.02443697117269039,0.46069055574759,0.49635198861108637
