rel_score,median_abs_e,q90_abs_e,q95_abs_e,share_abs_e_gt_035,share_abs_e_gt_050,share_abs_e_gt_080,daily_q90_median,daily_q90_p90,daily_q90_max,daily_violation_gt_035,daily_violation_share,DA,pred_actual_q90_ratio,variant,rule,shrink,clip_k,conf_q,train_objective,train_rel_score
0.04477516686817884,0.012537384405732155,0.046931590884923935,0.06215594708919525,0.16358673173959798,0.08847712796757383,0.008338158656629993,0.0362396590411663,0.06273880243301391,0.10801902115345001,364,0.5523520485584219,0.5182728099925552,0.19320456683635712,anchor_baseline,baseline,1.0,,,,
0.021270961230697272,0.012445471249520779,0.04888720065355301,0.06408541649580002,0.16793779468938705,0.09560757713623956,0.004433782777731822,0.03613609671592712,0.06393701255321502,0.0880492515861988,353,0.5356600910470409,0.5182728099925552,0.09660228341817856,plain_s0.5_kNone_qNone,plain,0.5,,,-0.038266618147508154,0.029288089460837163
0.02117190557691284,0.012444348074495792,0.0488969124853611,0.06408541649580002,0.1679874265861527,0.09567375299859376,0.004433782777731822,0.03613609671592712,0.06393701255321502,0.0880492515861988,353,0.5356600910470409,0.5182728099925552,0.09660228341817856,plain_s0.5_k0.5_qNone,plain,0.5,0.5,,-0.038268191198843976,0.029289651707398168
0.021270961230697272,0.012445471249520779,0.04888720065355301,0.06408541649580002,0.16793779468938705,0.09560757713623956,0.004433782777731822,0.03613609671592712,0.06393701255321502,0.0880492515861988,353,0.5356600910470409,0.5182728099925552,0.09660228341817856,plain_s0.5_k0.75_qNone,plain,0.5,0.75,,-0.038266618147508154,0.029288089460837163
0.021270961230697272,0.012445471249520779,0.04888720065355301,0.06408541649580002,0.16793779468938705,0.09560757713623956,0.004433782777731822,0.03613609671592712,0.06393701255321502,0.0880492515861988,353,0.5356600910470409,0.5182728099925552,0.09660228341817856,plain_s0.5_k1.0_qNone,plain,0.5,1.0,,-0.038266618147508154,0.029288089460837163
0.021270961230697272,0.012445471249520779,0.04888720065355301,0.06408541649580002,0.16793779468938705,0.09560757713623956,0.004433782777731822,0.03613609671592712,0.06393701255321502,0.0880492515861988,353,0.5356600910470409,0.5182728099925552,0.09660228341817856,plain_s0.5_k1.25_qNone,plain,0.5,1.25,,-0.038266618147508154,0.029288089460837163
0.021270961230697272,0.012445471249520779,0.04888720065355301,0.06408541649580002,0.16793779468938705,0.09560757713623956,0.004433782777731822,0.03613609671592712,0.06393701255321502,0.0880492515861988,353,0.5356600910470409,0.5182728099925552,0.09660228341817856,plain_s0.5_k1.5_qNone,plain,0.5,1.5,,-0.038266618147508154,0.029288089460837163
0.021270961230697272,0.012445471249520779,0.04888720065355301,0.06408541649580002,0.16793779468938705,0.09560757713623956,0.004433782777731822,0.03613609671592712,0.06393701255321502,0.0880492515861988,353,0.5356600910470409,0.5182728099925552,0.09660228341817856,plain_s0.5_k2.0_qNone,plain,0.5,2.0,,-0.038266618147508154,0.029288089460837163
0.030198191415937936,0.012443143874406815,0.04821890592575073,0.06357546895742416,0.16720986020349077,0.09373810902473323,0.005525684506576227,0.03609152771532535,0.06376170173287392,0.09201901853084564,351,0.5326251896813353,0.5182728099925552,0.11592274904251099,plain_s0.6_kNone_qNone,plain,0.6,,,-0.03794530262287709,0.03339554879255435
0.02862562113822742,0.012440555728971958,0.04834262654185295,0.06357546895742416,0.1673422119281992,0.0940193564397386,0.005525684506576227,0.03609152771532535,0.06376170173287392,0.09174294173717498,351,0.5326251896813353,0.5182728099925552,0.11592274904251099,plain_s0.6_k0.5_qNone,plain,0.6,0.5,,-0.037983895856670745,0.03308496811577655
