case,rel_score,median_abs_error,q90_abs_error,daily_q90_abs_error_median,daily_q90_abs_error_q90,daily_q90_abs_error_max,prediction_actual_abs_q90_ratio,directional_accuracy,spike_days_ge_5pct,spike_days_ge_7pct,spike_days_ge_8pct
baseline_seed52,0.0329995223544843,0.0124664926552213,0.0479582146625034,0.0369823072105646,0.0637151245772838,0.0962374508380889,0.1709965981239485,0.5104848845670438,166,29,12
drop_market_leader_seed52,0.020290972813992,0.0124546189326792,0.0489427783642895,0.0367942824959754,0.0657663601636886,0.1115771174430847,0.1323440718342096,0.4965009512780213,170,38,12
leader_excess_seed52,0.0211525190798143,0.0123473638668656,0.0490923437755554,0.0371883563697338,0.0658488044142723,0.1158010616898536,0.1241209000759665,0.4942344279923897,168,45,15
ctxdrop10_seed52,0.0268231894513956,0.0126509821857325,0.0480547992978245,0.0370213359594345,0.064172024577856,0.1134122550487518,0.1769332209863323,0.5074750281140438,161,41,11
ctxdrop20_seed52,0.0212501737735748,0.0126093364087864,0.0485581773042213,0.0366845354437828,0.0641952645778656,0.0987977899610996,0.1362387671790608,0.4998015479261758,157,32,10
