feature_a,feature_b,pearson_corr,abs_corr
atr_gap,volatility_20,0.9013,0.9013
volume_ratio_20,volume_zscore_20,0.9002,0.9002
bb_position,rsi_14,0.8589,0.8589
momentum_20,ma_20_gap,0.8417,0.8417
ma_20_gap,rsi_14,0.8404,0.8404
ma_20_gap,bb_position,0.8242,0.8242
ma_20_gap,macd_hist,0.8021,0.8021
ma_20_gap,rolling_max_20_gap,0.7754,0.7754
momentum_5,ma_20_gap,0.7654,0.7654
