error,base
-0.07424937520000001,-0.071428604
-0.062934075,-0.054421786
-0.017665245,-0.007092143
-0.002473233,0.006993044
0.05361571,0.06474817
0.039264251,0.057142783
0.032837080000000005,0.048611093
0.009971952,0.027027082
-0.013687305,0.0
-0.046419576,-0.033112586
-0.0489830925,-0.03947372
-0.053311513000000005,-0.047297284
-0.005176503,0.0
0.00602944075,0.0068493513
0.05382683499999999,0.06382985
0.004655518000000001,0.013698613
0.041075208,0.054421786
0.029902466000000003,0.039999947
-0.0210541262,-0.013513497
-0.101003344,-0.09677419
-0.10232376410999999,-0.10256406
-0.1012683197,-0.10273973
-0.07088298059999999,-0.071428575
-0.05773460274,-0.057142876
0.0003474522999999995,0.0076336283
-0.032826554,-0.023076944
-0.055605587,-0.045454588
-0.056172344,-0.03787879
-0.015832357499999998,-0.007874058
0.0012923170000000012,0.015872996
0.038214528,0.047244035
0.022391090000000002,0.031746097
-0.0004969563,0.0
0.0132117913,0.015037674
0.07585071800000001,0.07692308
0.05695417530000001,0.054687586
-0.0187500919,-0.022222241
-0.028165485399999995,-0.035714287
0.0023982255999999997,-0.0074074464
0.0006086019999999998,-0.007575798
-0.0152336076,-0.022222241
-0.0329567704,-0.037313435
-0.024193975,-0.030534312
-0.035802611,-0.045454588
-0.021203833999999998,-0.023255836
0.0065189719,0.007873953
0.0170756554,0.015872996
-0.0128723252,-0.015872996
-0.0299550605,-0.039062504
-0.047392491099999996,-0.04687494
-0.0380572687,-0.040322583
0.0137455596,0.008130125
0.0030825060000000005,-0.008196765
0.058637973999999995,0.050420213
-0.022848387900000003,-0.02419357
-0.035366957,-0.041322317
-0.079322863,-0.088000044
-0.041980367,-0.049586713
-0.023674011999999998,-0.034482714
-0.019325658699999998,-0.017543837
-0.0467684609,-0.043478318
-0.0383311379,-0.0357143
0.0025180082,0.0
0.0261358567,0.027272694
0.010733307000000001,0.018518494
-0.0017802974,0.0
0.053166580064999996,0.053097397
0.090056112,0.0818182
0.068962822,0.062499978
0.057265197399999995,0.050420213
0.032667409,0.033613402
0.0611576766,0.05882351
-0.018259132,-0.016000085
0.0074868009,0.008130125
0.00823989038,0.00793655
0.029834055200000004,0.03252039
0.019177037,0.02419357
-0.002594931,0.0
-0.013999854499999999,-0.015748011
-0.0137570545,-0.015748011
-0.0142756606,-0.015748011
0.023295098059999998,0.023999916
0.035059452500000005,0.04
0.04826403517,0.047999937
0.04640335875,0.046875045
0.0258026227,0.03076919
0.0111651,0.015267156
-0.0673569445,-0.059701513
-0.0499505426,-0.04477616
-0.038537973,-0.037593987
0.0148006838,0.015872996
-0.023231002,-0.01562498
-0.0262321163,-0.02343742
-0.038688884619999996,-0.039062504
-0.0329771408,-0.031745993
-0.0276573512,-0.02400002
-0.0274558342,-0.024390161
-0.027646715999999998,-0.024590187
-0.016559820639999997,-0.016393421
-0.0029762830000000006,-0.008333378
-0.00891120664,-0.0084034065
-0.0651121342,-0.066666685
-0.11421166740000001,-0.117647074
-0.12815854499999998,-0.13559316
-0.061308298,-0.0714286
-0.0123336757,-0.009523798
0.006085772999999999,0.009803909
-0.0017858378,0.0
-0.022646851,-0.019230746
-0.0167373606,-0.019417452
-0.02905123311,-0.028846117
-0.0430358946,-0.0392157
-0.0378417756,-0.039603975
-0.0384728176,-0.039603975
0.014493490000000001,0.010204068
0.06250819465,0.06185566
0.039803232099999995,0.041237127
-0.0015522123,0.0
-0.020211346300000002,-0.019417452
-0.0102143608,-0.009901042
-0.0020816661,0.0
-0.0380496342,-0.039603975
-0.029657198970000003,-0.029999962
-0.033274889700000004,-0.040404055
-0.035625911999999996,-0.041237127
-0.0597788207,-0.06185566
-0.0811540716,-0.08421049
-0.0724920487,-0.07526879
0.0027612534,0.0
0.037051448,0.034482714
0.0544771403,0.058139537
-0.0257228353,-0.021978065
-0.028480395300000003,-0.03333329
-0.023591673,-0.03296706
-0.022850647999999998,-0.033707824
-0.029021448999999998,-0.03448279
-0.063232256,-0.068181805
-0.06501837960000001,-0.06976743
-0.039321558,-0.04761899
0.045691746,0.03658532
0.1297670036,0.12499992
0.1252033744,0.12499992
0.045351069800000005,0.047058843
-0.0233340944,-0.022222195
-0.054010539399999995,-0.05555556
-0.06397372379999999,-0.06741572
-0.037643754,-0.04545456
-0.04208536,-0.047058765
-0.0338536566,-0.036144532
-0.06764476330000001,-0.07142856
-0.0157110218,-0.012345663
-0.0172998176,-0.012500066
-0.0142569805,-0.012820496
-0.0107888327,-0.012500066
0.0103773428,0.012658295
0.0602166236,0.064935066
0.034052610999999997,0.03797472
0.03743207428,0.03749995
0.0138105421,0.012195107
0.0219990615,0.012195107
-0.0351917969,-0.036144532
-0.0344507973,-0.036144532
-0.067139003,-0.07228915
