sector,stock,combo,test_rel_score,val_rel_score
Bán lẻ,DGW,"volume_ratio_20,vwap_gap",0.0496749616657941,0.0038677351968956
Bán lẻ,MWG,lower_shadow,0.0375692821398619,-0.0337192236575278
Bán lẻ,MWG,"lower_shadow,above_ma_200",0.0350639771591005,-0.0164146784649172
Bán lẻ,DGW,vwap_gap,0.0272860827179471,0.0048993957097764
Bán lẻ,MWG,"intraday_return,close_position",0.0252651719992252,-0.1018744660300423
Bán lẻ,DGW,"ma_200_gap,vwap_gap",0.0249255254663355,0.0132012758401145
Bán lẻ,FRT,"gap_open,lower_shadow",0.0242958001738485,-0.0210052028793275
Bán lẻ,DGW,"vwap_gap,obv_change",0.0241858560184222,0.0093733821353543
Bán lẻ,DGW,volume_ratio_20,0.0225314962129145,0.0124796055185203
Bán lẻ,MWG,"close_position,volatility_20",0.0220789838239561,-0.0519177872245186
Bán lẻ,DGW,"volume_zscore_20,above_ma_200",0.0198805549084667,-0.0100265239967651
Bán lẻ,MWG,"lower_shadow,momentum_5",0.0198015820494115,-0.0318830061036383
Bán lẻ,MWG,"lower_shadow,vwap_gap",0.019298838448969,-0.0337192097354215
Bán lẻ,DGW,"ma_20_gap,vwap_gap",0.0187933807638965,0.0005483729950218
Bán lẻ,DGW,"volume_ratio_20,above_ma_200",0.0187347545460855,0.0208171242937807
Bán lẻ,MWG,"lower_shadow,obv_change",0.0187327460730919,-0.0233329179142545
Bán lẻ,MWG,"gap_open,lower_shadow",0.0180262659559944,-0.0323199413417107
Bán lẻ,DGW,"upper_shadow,vwap_gap",0.0177147118562037,-0.0055183017863886
Bán lẻ,DGW,"bb_position,vwap_gap",0.0165203400405337,0.0027854588203931
Bán lẻ,MWG,"volume_ratio_20,volume_zscore_20",0.0154939350555483,-0.020154836415827
Bán lẻ,FRT,"volatility_20,obv_change",0.0144445828839168,-0.0762084724000138
Bán lẻ,MWG,bb_width,0.014066662864471,-0.0041766040506936
Bán lẻ,FRT,"vwap_gap,obv_change",0.0132917920478468,0.0244557271360001
Bán lẻ,FRT,obv_change,0.0122475107874214,0.0244557432620661
Bán lẻ,FRT,"intraday_return,upper_shadow",0.0119256994457281,0.0182239333923445
Bán lẻ,FRT,vwap_gap,0.0067777084922958,0.0076467062792722
Bán lẻ,FRT,"upper_shadow,lower_shadow",0.0049670158138654,-0.0369128066038819
Bán lẻ,FRT,"intraday_return,bb_position",0.0042012700648258,0.0040077581581274
Bán lẻ,FRT,"intraday_return,bb_zscore",0.0042012700648258,0.0040077581581274
Bán lẻ,FRT,bb_width,0.0008453929801452,-0.0348440938289615
Bảo hiểm,BVH,"upper_shadow,lower_shadow",0.0485970345905255,-0.0012528409720713
Bảo hiểm,BVH,"upper_shadow,volatility_20",0.0480064064399635,0.0056907973479096
Bảo hiểm,BVH,"ma_20_gap,macd",0.0466551770822047,0.0157943052490193
Bảo hiểm,BVH,"momentum_5,macd",0.0373490115971677,-0.0263119803244578
Bảo hiểm,BVH,"upper_shadow,bb_width",0.0357662208023991,0.0213737739004025
Bảo hiểm,BVH,lower_shadow,0.0356309221996082,0.0182996769880959
