stock,company_name,sector,industry,sub_industry,com_type_code,run_name,best_by_val,best_val_rel_score,best_by_test,best_test_rel_score,best_test_val_rel_score
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,Ngân hàng,Ngân hàng,NH,search_acb_expanded,"intraday_return,close_position",0.025660974325826147,"momentum_20,ma_200_gap",0.0313784678973945,-0.0170646140873176
ANV,Công ty Cổ phần Nam Việt,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,CT,search_anv_expanded,volume_ratio_20,0.03271320181235615,vwap_gap,0.0242032605367268,0.0086792936660294
BCM,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,Bất động sản,Bất động sản,Bất động sản,CT,search_bcm_expanded,"lower_shadow,volatility_20",0.037568956989338265,"volume_ratio_20,upper_shadow",0.0760451035742755,-0.0166597927884986
BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,Ngân hàng,Ngân hàng,NH,search_bid_expanded,"atr_gap,ma_20_gap",0.031009349575367495,"intraday_return,close_position",0.0601710856595871,-0.0781601708959014
BMP,Công ty Cổ phần Nhựa Bình Minh,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,search_bmp_expanded,"momentum_20,obv_change",0.01179311882709233,"lower_shadow,vwap_gap",0.0304400871272199,-0.0245785238691211
BSI,Công ty Cổ phần Chứng khoán BIDV,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,search_bsi_expanded,"gap_open,bb_width",0.00936451882899525,"close_position,upper_shadow",0.0548282635907371,-0.0808406276066715
BVH,Tập đoàn Bảo Việt,Bảo hiểm,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,BH,search_bvh_expanded,"atr_gap,ma_200_gap",0.05750500497631483,"upper_shadow,lower_shadow",0.0485970345905255,-0.0012528409720713
BWE,Công ty Cổ phần - Tổng công ty Nước - Môi trường Bình Dương,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước,CT,search_bwe_expanded,"gap_open,atr_gap",0.021853369481183105,"atr_gap,vwap_gap",0.0149335644963748,0.0116898074158565
CII,Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,search_cii_expanded,"close_position,ma_200_gap",0.05206667092297068,"momentum_5,bb_position",0.0662071658776107,0.0306217756892672
CMG,Công ty Cổ phần Tập đoàn Công nghệ CMC,Công nghệ Thông tin,Phần mềm & Dịch vụ Máy tính,Dịch vụ Máy tính,CT,search_cmg_expanded,"atr_gap,obv_change",0.04975446568785291,"volume_ratio_20,atr_gap",0.0212551107949885,0.0024109627920956
CTD,Công ty Cổ phần Xây dựng Coteccons,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,search_ctd_expanded,"upper_shadow,above_ma_200",0.06099763425845661,"intraday_return,obv_change",0.0287979494026381,-0.0256230691622221
CTG,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Ngân hàng,Ngân hàng,Ngân hàng,NH,search_ctg_expanded,"atr_gap,bb_width",0.062403768483724864,"ma_200_gap,macd_signal",0.0453168099379618,-0.0308567148224836
CTR,Tổng Công ty Cổ phần Công trình Viettel,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,search_ctr_expanded,"intraday_return,momentum_20",0.022682479176736825,"volume_zscore_20,gap_open",0.0051961566182888,-0.0509725125710156
CTS,Công ty Cổ phần Chứng khoán Ngân hàng Công thương Việt Nam,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,search_cts_expanded,"gap_open,volatility_20",0.03605351263900902,"volume_ratio_20,lower_shadow",0.0321270464996245,-0.0153797127235963
DBC,Công ty Cổ phần Tập đoàn Dabaco Việt Nam,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,CT,search_dbc_expanded,"gap_open,above_ma_200",0.04531088535888572,"vwap_gap,obv_change",0.0166162184226111,0.0150538189342586
DCM,Công ty Cổ phần Phân bón Dầu Khí Cà Mau,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",CT,search_dcm_expanded,"volume_ratio_20,upper_shadow",0.034814011963142155,"close_position,rolling_max_20_gap",0.0565469442185029,-0.0393774643723445
DGC,Công ty Cổ phần Tập đoàn Hóa chất Đức Giang,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",CT,search_dgc_expanded,"intraday_return,bb_position",0.0662299036079036,"ma_20_gap,ma_200_gap",0.0674521180698541,0.003634824500963
DGW,Công ty Cổ phần Thế Giới Số,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,CT,search_dgw_expanded,"volatility_20,above_ma_200",0.0424171821327205,"volume_ratio_20,vwap_gap",0.0496749616657941,0.0038677351968956
