Date,label,equity,buy_hold_equity,trade_return,actual,is_trade
2025-01-02,lstm_return_20260406_161814:linear_regression,1.0,0.9957627268,-0.0,-0.0042372732,0
2025-01-02,lstm_return_20260406_161814:linear_regression,1.0,0.9957627268,0.0,0.0,1
2025-01-02,lstm_return_20260406_161814:linear_regression,0.987922758,0.9837366593738565,-0.012077242,-0.012077242,1
2025-01-02,lstm_return_20260406_161814:linear_regression,0.9697806037474535,0.9656713783853146,-0.01836394,-0.01836394,1
2025-01-02,lstm_return_20260406_161814:linear_regression,0.9601241879461468,0.9560558794558909,-0.00995732,-0.00995732,1
2025-01-02,lstm_return_20260406_161814:linear_regression,0.9507569916994842,0.9467283745788434,-0.009756234,-0.009756234,1
2025-01-02,lstm_return_20260406_161814:linear_regression,0.9433676712804732,0.93937036472921,-0.007772039,-0.007772039,1
2025-01-02,lstm_return_20260406_161814:linear_regression,0.9347603025747228,0.9307994677961989,-0.009124087,-0.009124087,1
2025-01-02,lstm_return_20260406_161814:linear_regression,0.9347603025747228,0.9141092978851479,-0.0,-0.017931005,0
2025-01-02,lstm_return_20260406_161814:linear_regression,0.9336077004965783,0.9129821594374715,-0.0012330456,-0.0012330456,1
2025-01-02,lstm_return_20260406_161814:linear_regression,0.9282111243059182,0.9077048060250082,-0.0057803467,-0.0057803467,1
2025-01-02,lstm_return_20260406_161814:linear_regression,0.9282111243059182,0.8977436448604941,-0.0,-0.0109740095,0
2025-01-02,lstm_return_20260406_161814:linear_regression,0.9151069190445157,0.8850695703031907,-0.014117699,-0.014117699,1
2025-01-02,lstm_return_20260406_161814:linear_regression,0.9169298297803267,0.8868326460575843,0.0019920194,0.0019920194,1
2025-01-02,lstm_return_20260406_161814:linear_regression,0.9169298297803267,0.8868326460575843,0.0,0.0,0
2025-01-02,lstm_return_20260406_161814:linear_regression,0.9169298297803267,0.8868326460575843,0.0,0.0,0
2025-01-02,lstm_return_20260406_161814:linear_regression,0.8957466536938805,0.8663447837473925,-0.023102287,-0.023102287,1
2025-01-02,lstm_return_20260406_161814:linear_regression,0.8834127409098282,0.8544157176888207,-0.013769421,-0.013769421,1
2025-01-03,lstm_return_20260406_161814:linear_regression,0.8834127409098282,0.8245931854977001,-0.0,-0.034904007,0
2025-01-03,lstm_return_20260406_161814:linear_regression,0.8834127409098282,0.8245931854977001,0.0,0.0,0
2025-01-03,lstm_return_20260406_161814:linear_regression,0.8834127409098282,0.8098390529750003,-0.0,-0.01789262,0
2025-01-03,lstm_return_20260406_161814:linear_regression,0.8834127409098282,0.7761782579452612,-0.0,-0.041564796,0
2025-01-03,lstm_return_20260406_161814:linear_regression,0.8834127409098282,0.7748582269503032,-0.0,-0.0017006802,0
2025-01-03,lstm_return_20260406_161814:linear_regression,0.8834127409098282,0.7748582269503032,0.0,0.0,0
2025-01-03,lstm_return_20260406_161814:linear_regression,0.8594779271409686,0.753864543589767,-0.02709358,-0.02709358,1
2025-01-03,lstm_return_20260406_161814:linear_regression,0.8594779271409686,0.7283961496993299,-0.0,-0.03378378,0
2025-01-03,lstm_return_20260406_161814:linear_regression,0.8594779271409686,0.7131816512951397,-0.0,-0.02088767,0
2025-01-03,lstm_return_20260406_161814:linear_regression,0.8594779271409686,0.6700273469411056,-0.0,-0.060509555,0
2025-01-03,lstm_return_20260406_161814:linear_regression,0.8812062949339253,0.6869662352661428,0.025280891,0.025280891,1
2025-01-03,lstm_return_20260406_161814:linear_regression,0.8812062949339253,0.667910329107456,-0.0,-0.027739218,0
2025-01-03,lstm_return_20260406_161814:linear_regression,0.8812062949339253,0.6583460094856542,-0.0,-0.014319766,0
2025-01-03,lstm_return_20260406_161814:linear_regression,0.8812062949339253,0.6564322129755416,-0.0,-0.0029069767,0
2025-01-03,lstm_return_20260406_161814:linear_regression,0.8812062949339253,0.6564322129755416,0.0,0.0,0
2025-01-03,lstm_return_20260406_161814:linear_regression,0.8812062949339253,0.6564322129755416,0.0,0.0,0
2025-01-03,lstm_return_20260406_161814:linear_regression,0.8812062949339253,0.6564322129755416,0.0,0.0,1
2025-01-03,lstm_return_20260406_161814:linear_regression,0.8812062949339253,0.6545700003860906,-0.0,-0.0028368696,0
2025-01-06,lstm_return_20260406_161814:linear_regression,0.8780193134969505,0.6522026745369403,-0.0036166122,-0.0036166122,1
2025-01-06,lstm_return_20260406_161814:linear_regression,0.8791581193850824,0.6530485924280398,0.0012970169,0.0012970169,1
