stock,company_name,sector,industry,sub_industry,com_type_code,combo_rank_in_stock,combo,feature,test_rel_score,val_rel_score
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,Ngân hàng,Ngân hàng,NH,1,"momentum_20,ma_200_gap",momentum_20,0.0313784678973945,-0.0170646140873176
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,Ngân hàng,Ngân hàng,NH,1,"momentum_20,ma_200_gap",ma_200_gap,0.0313784678973945,-0.0170646140873176
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,Ngân hàng,Ngân hàng,NH,2,"ma_20_gap,above_ma_200",ma_20_gap,0.0309944919655283,0.0080959927443772
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,Ngân hàng,Ngân hàng,NH,2,"ma_20_gap,above_ma_200",above_ma_200,0.0309944919655283,0.0080959927443772
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,Ngân hàng,Ngân hàng,NH,3,"ma_200_gap,above_ma_200",ma_200_gap,0.0285330276898944,0.0097091134822149
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,Ngân hàng,Ngân hàng,NH,3,"ma_200_gap,above_ma_200",above_ma_200,0.0285330276898944,0.0097091134822149
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,Ngân hàng,Ngân hàng,NH,4,"ma_20_gap,ma_200_gap",ma_20_gap,0.0244950484476331,0.0014408057302791
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,Ngân hàng,Ngân hàng,NH,4,"ma_20_gap,ma_200_gap",ma_200_gap,0.0244950484476331,0.0014408057302791
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,Ngân hàng,Ngân hàng,NH,5,"ma_20_gap,vwap_gap",ma_20_gap,0.0238538709318627,-0.004925841158536
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,Ngân hàng,Ngân hàng,NH,5,"ma_20_gap,vwap_gap",vwap_gap,0.0238538709318627,-0.004925841158536
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,Ngân hàng,Ngân hàng,NH,6,momentum_5,momentum_5,0.0235102106323683,-0.0138573191621542
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,Ngân hàng,Ngân hàng,NH,7,"momentum_5,obv_change",momentum_5,0.0227284059430254,-0.0151994293720392
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,Ngân hàng,Ngân hàng,NH,7,"momentum_5,obv_change",obv_change,0.0227284059430254,-0.0151994293720392
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,Ngân hàng,Ngân hàng,NH,8,"above_ma_200,rolling_max_20_gap",above_ma_200,0.0226594728550283,-0.0434050131449212
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,Ngân hàng,Ngân hàng,NH,8,"above_ma_200,rolling_max_20_gap",rolling_max_20_gap,0.0226594728550283,-0.0434050131449212
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,Ngân hàng,Ngân hàng,NH,9,"ma_200_gap,bb_position",ma_200_gap,0.0210868878312634,-0.0274132325132439
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,Ngân hàng,Ngân hàng,NH,9,"ma_200_gap,bb_position",bb_position,0.0210868878312634,-0.0274132325132439
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,Ngân hàng,Ngân hàng,NH,10,"ma_200_gap,bb_zscore",ma_200_gap,0.0210868878312634,-0.0274132325132439
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,Ngân hàng,Ngân hàng,NH,10,"ma_200_gap,bb_zscore",bb_zscore,0.0210868878312634,-0.0274132325132439
ANV,Công ty Cổ phần Nam Việt,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,CT,1,vwap_gap,vwap_gap,0.0242032605367268,0.0086792936660294
