stocks,target_mode,target_column,window_size,feature_pool,min_combo_size,max_combo_size,min_rel_score,tested_combinations,good_combinations,best_val_rel_score,best_test_rel_score,best_features
VHM,return,target_next_return,20,"['volume_ratio_20', 'volume_zscore_20', 'intraday_return', 'gap_open', 'close_position', 'upper_shadow', 'lower_shadow', 'momentum_5', 'momentum_20', 'atr_gap', 'volatility_20', 'ma_20_gap', 'ma_200_gap', 'above_ma_200', 'rolling_max_20_gap', 'bb_width', 'bb_position', 'bb_zscore', 'vwap_gap', 'obv_change', 'macd', 'macd_signal', 'macd_hist']",1,2,0.03,276,29,0.0523633463249632,0.09922011912530504,"gap_open,upper_shadow"
PVT,return,target_next_return,20,"['volume_ratio_20', 'volume_zscore_20', 'intraday_return', 'gap_open', 'close_position', 'upper_shadow', 'lower_shadow', 'momentum_5', 'momentum_20', 'atr_gap', 'volatility_20', 'ma_20_gap', 'ma_200_gap', 'above_ma_200', 'rolling_max_20_gap', 'bb_width', 'bb_position', 'bb_zscore', 'vwap_gap', 'obv_change', 'macd', 'macd_signal', 'macd_hist']",1,2,0.03,276,0,0.027251875670624703,0.061396452465486084,"bb_width,vwap_gap"
KOS,return,target_next_return,20,"['volume_ratio_20', 'volume_zscore_20', 'intraday_return', 'gap_open', 'close_position', 'upper_shadow', 'lower_shadow', 'momentum_5', 'momentum_20', 'atr_gap', 'volatility_20', 'ma_20_gap', 'ma_200_gap', 'above_ma_200', 'rolling_max_20_gap', 'bb_width', 'bb_position', 'bb_zscore', 'vwap_gap', 'obv_change', 'macd', 'macd_signal', 'macd_hist']",1,2,0.03,276,6,0.10026664397593188,0.05623287197863247,vwap_gap
TPB,return,target_next_return,20,"['volume_ratio_20', 'volume_zscore_20', 'intraday_return', 'gap_open', 'close_position', 'upper_shadow', 'lower_shadow', 'momentum_5', 'momentum_20', 'atr_gap', 'volatility_20', 'ma_20_gap', 'ma_200_gap', 'above_ma_200', 'rolling_max_20_gap', 'bb_width', 'bb_position', 'bb_zscore', 'vwap_gap', 'obv_change', 'macd', 'macd_signal', 'macd_hist']",1,2,0.03,276,8,0.05541629778889379,0.05574535911913059,"volatility_20,vwap_gap"
TLG,return,target_next_return,20,"['volume_ratio_20', 'volume_zscore_20', 'intraday_return', 'gap_open', 'close_position', 'upper_shadow', 'lower_shadow', 'momentum_5', 'momentum_20', 'atr_gap', 'volatility_20', 'ma_20_gap', 'ma_200_gap', 'above_ma_200', 'rolling_max_20_gap', 'bb_width', 'bb_position', 'bb_zscore', 'vwap_gap', 'obv_change', 'macd', 'macd_signal', 'macd_hist']",1,2,0.03,276,8,0.05541832166301297,0.053646386933207446,"intraday_return,vwap_gap"
PAN,return,target_next_return,20,"['volume_ratio_20', 'volume_zscore_20', 'intraday_return', 'gap_open', 'close_position', 'upper_shadow', 'lower_shadow', 'momentum_5', 'momentum_20', 'atr_gap', 'volatility_20', 'ma_20_gap', 'ma_200_gap', 'above_ma_200', 'rolling_max_20_gap', 'bb_width', 'bb_position', 'bb_zscore', 'vwap_gap', 'obv_change', 'macd', 'macd_signal', 'macd_hist']",1,2,0.03,276,0,0.017004188399061038,0.0503081958980891,"gap_open,volatility_20"
IMP,return,target_next_return,20,"['volume_ratio_20', 'volume_zscore_20', 'intraday_return', 'gap_open', 'close_position', 'upper_shadow', 'lower_shadow', 'momentum_5', 'momentum_20', 'atr_gap', 'volatility_20', 'ma_20_gap', 'ma_200_gap', 'above_ma_200', 'rolling_max_20_gap', 'bb_width', 'bb_position', 'bb_zscore', 'vwap_gap', 'obv_change', 'macd', 'macd_signal', 'macd_hist']",1,2,0.03,276,50,0.07355842675799729,0.035236490985010804,"lower_shadow,atr_gap"
VIC,return,target_next_return,20,"['volume_ratio_20', 'volume_zscore_20', 'intraday_return', 'gap_open', 'close_position', 'upper_shadow', 'lower_shadow', 'momentum_5', 'momentum_20', 'atr_gap', 'volatility_20', 'ma_20_gap', 'ma_200_gap', 'above_ma_200', 'rolling_max_20_gap', 'bb_width', 'bb_position', 'bb_zscore', 'vwap_gap', 'obv_change', 'macd', 'macd_signal', 'macd_hist']",1,2,0.03,276,1,0.03724552614593479,0.03221902246366326,"upper_shadow,atr_gap"
NLG,return,target_next_return,20,"['volume_ratio_20', 'volume_zscore_20', 'intraday_return', 'gap_open', 'close_position', 'upper_shadow', 'lower_shadow', 'momentum_5', 'momentum_20', 'atr_gap', 'volatility_20', 'ma_20_gap', 'ma_200_gap', 'above_ma_200', 'rolling_max_20_gap', 'bb_width', 'bb_position', 'bb_zscore', 'vwap_gap', 'obv_change', 'macd', 'macd_signal', 'macd_hist']",1,2,0.03,276,16,0.07027810144662683,0.032060293300582465,"gap_open,bb_position"
KBC,return,target_next_return,20,"['volume_ratio_20', 'volume_zscore_20', 'intraday_return', 'gap_open', 'close_position', 'upper_shadow', 'lower_shadow', 'momentum_5', 'momentum_20', 'atr_gap', 'volatility_20', 'ma_20_gap', 'ma_200_gap', 'above_ma_200', 'rolling_max_20_gap', 'bb_width', 'bb_position', 'bb_zscore', 'vwap_gap', 'obv_change', 'macd', 'macd_signal', 'macd_hist']",1,2,0.03,276,4,0.03916172077612945,0.028991605401898157,"volatility_20,obv_change"
