sector,feature,stocks_hit,appearances,mean_test_rel_score,max_test_rel_score
Bán lẻ,vwap_gap,3,10,0.02184691975182444,0.0496749616657941
Bán lẻ,obv_change,3,5,0.01658049756213982,0.0241858560184222
Bán lẻ,lower_shadow,2,8,0.022219438476767887,0.0375692821398619
Bán lẻ,volume_ratio_20,2,4,0.0266087868700856,0.0496749616657941
Bán lẻ,intraday_return,2,4,0.011398352893651225,0.0252651719992252
Bán lẻ,above_ma_200,2,3,0.0245597622045509,0.0350639771591005
Bán lẻ,upper_shadow,2,3,0.011535809038599068,0.0177147118562037
Bán lẻ,gap_open,2,2,0.021161033064921453,0.0242958001738485
Bán lẻ,volatility_20,2,2,0.01826178335393645,0.0220789838239561
Bán lẻ,volume_zscore_20,2,2,0.0176872449820075,0.0198805549084667
Bán lẻ,bb_position,2,2,0.01036080505267975,0.0165203400405337
Bán lẻ,bb_width,2,2,0.0074560279223081,0.014066662864471
Bán lẻ,close_position,1,2,0.02367207791159065,0.0252651719992252
Bán lẻ,ma_200_gap,1,1,0.0249255254663355,0.0249255254663355
Bán lẻ,momentum_5,1,1,0.0198015820494115,0.0198015820494115
Bán lẻ,ma_20_gap,1,1,0.0187933807638965,0.0187933807638965
Bán lẻ,bb_zscore,1,1,0.0042012700648258,0.0042012700648258
Bảo hiểm,upper_shadow,1,5,0.03876097867088884,0.0485970345905255
Bảo hiểm,lower_shadow,1,3,0.03906548147185023,0.0485970345905255
Bảo hiểm,macd,1,2,0.0420020943396862,0.0466551770822047
Bảo hiểm,bb_width,1,2,0.03562263224869175,0.0357662208023991
Bảo hiểm,volatility_20,1,1,0.0480064064399635,0.0480064064399635
Bảo hiểm,ma_20_gap,1,1,0.0466551770822047,0.0466551770822047
Bảo hiểm,momentum_5,1,1,0.0373490115971677,0.0373490115971677
Bảo hiểm,atr_gap,1,1,0.0354790436949844,0.0354790436949844
Bảo hiểm,obv_change,1,1,0.032968487625417,0.032968487625417
Bảo hiểm,volume_ratio_20,1,1,0.031198999069201,0.031198999069201
Bảo hiểm,above_ma_200,1,1,0.0302362324523551,0.0302362324523551
Bất động sản,vwap_gap,13,36,0.03154464235003017,0.0829521974158261
