candidate,split,n_obs,n_days,rel_score,q90_abs_error,daily_q90_abs_error_q90,daily_q90_abs_error_max,spike_days_ge_7pct,spike_days_ge_8pct,prediction_actual_abs_q90_ratio,directional_accuracy
base,train,129720,1970,0.015879284696917795,0.03647107757,0.04857795685630001,0.0866587644,18,1,0.1331854711657028,0.46782300339192107
weighted,train,129720,1970,0.0006977089881211596,0.03684999502400001,0.04894135298600002,0.077184068,18,0,0.08630487753182833,0.42897008942337345
instance,train,129720,1970,0.024561456333456633,0.03625549308,0.049625869984000016,0.0822329317,15,1,0.14403191999777518,0.474568300955905
tail_loss,train,129720,1970,0.021998205363191414,0.036088961923000006,0.04817892827180001,0.0801367373,14,1,0.16753425428700033,0.4760946654332408
tailstress,train,129720,1970,0.02643329772399572,0.035867421183,0.04812663213800001,0.07944490760000002,9,0,0.14947694533327105,0.4791165587419056
tailstress_past,train,129720,1970,0.00899357028567993,0.03668851461000001,0.048617774894000036,0.0744230013,14,0,0.09900418581757633,0.45993678692568607
simplex_rel,train,129720,1970,0.030296758326003648,0.03593966176100001,0.048898674315100005,0.07859400872900002,9,0,0.126914789492769,0.48509867406722174
simplex_tail,train,129720,1970,0.022410132432292174,0.03620797568550001,0.04787726038206002,0.0784820041076,12,0,0.11778209084058443,0.4807123034227567
gate_disagreement,train,129720,1970,0.02575899554604999,0.03590886215000002,0.047954028423000006,0.0789642014,10,0,0.17024085852595394,0.4790163428923836
conservative_disagreement,train,129720,1970,0.022178061068930166,0.03606933106500001,0.04836451112900004,0.0801367373,14,1,0.16056614080471485,0.4764030218933087
gate_tailstress_abs,train,129720,1970,0.025500816718522112,0.03592318960000002,0.04797044928000001,0.07944490760000002,10,0,0.1711105660101245,0.4785229725562751
conservative_tailstress_abs,train,129720,1970,0.024179930778821634,0.03598336944,0.048383367205200006,0.0801367373,12,1,0.14611667072117399,0.47740518038852914
gate_mean_positive_gap,train,129720,1970,0.0246672182452895,0.03597402404600001,0.047998979213000004,0.0801367373,13,1,0.1594341286557729,0.4777597903176072
conservative_mean_positive_gap,train,129720,1970,0.025548334272039286,0.035921241720000024,0.04822221098600001,0.07944490760000002,11,0,0.1522704430195019,0.4788082022818378
base,val,60468,659,0.017442161424705116,0.04926890316000001,0.06605762602599999,0.09533655599999999,44,16,0.12324493998577106,0.4935668452735331
weighted,val,60468,659,0.0039057739088914634,0.049736020600000014,0.06523154860000002,0.079917407,45,0,0.09081246020086756,0.48418998478534103
instance,val,60468,659,0.00889475645368698,0.049898474810000024,0.065540011854,0.0861486616,35,3,0.13323156439691794,0.49163193755374746
tail_loss,val,60468,659,0.014817542038234932,0.04912285745,0.064769370824,0.09083735000000001,32,4,0.14956026179357892,0.49639478732552755
tailstress,val,60468,659,0.018958215986625393,0.04884625780000002,0.063199648824,0.0846597484,19,3,0.13371862355188785,0.4907885162399947
tailstress_past,val,60468,659,0.00747790510908708,0.049766959000000006,0.06646394632000001,0.07953440719999999,37,0,0.08503693059019356,0.4916815505722035
simplex_rel,val,60468,659,0.012185581369674625,0.04966870970600001,0.06427492920640002,0.08396729429,25,1,0.10873255889199343,0.5009261096778461
simplex_tail,val,60468,659,0.014166741465689081,0.049471388234500015,0.06554902525443201,0.085838565348,36,3,0.09951366933903855,0.5028610173976318
gate_disagreement,val,60468,659,0.017515790487177774,0.048789489100000014,0.06293233360640006,0.0846597484,20,3,0.14830507573650584,0.49502216048157704
conservative_disagreement,val,60468,659,0.015841163590027407,0.04911166944000001,0.06461033992800001,0.09083735000000001,32,4,0.1480050115115135,0.4968082291459946
gate_tailstress_abs,val,60468,659,0.018117279961007315,0.048758169,0.06282086069200002,0.08672061019999999,21,4,0.15530388907739073,0.4957828934312364
conservative_tailstress_abs,val,60468,659,0.01372458826347056,0.04928415644000001,0.064769370824,0.09083735000000001,24,3,0.12747279596269284,0.4906231395118079
gate_mean_positive_gap,val,60468,659,0.015252892048327804,0.049098522550000016,0.06487821741600003,0.09083735000000001,32,4,0.14578444226275897,0.49806509228021434
conservative_mean_positive_gap,val,60468,659,0.019089298047754832,0.04882891791000002,0.063199648824,0.0846597484,19,3,0.13446606565253877,0.49065621485744526
