split,mae,rmse,directional_accuracy,thresholded_directional_accuracy
train,0.016481300815939903,0.024498295038938522,0.4311661413777578,0.5003351370792395
val,0.012632717378437519,0.018480883911252022,0.4513899031205881,0.49655936552367624
test,0.017130093649029732,0.024717146530747414,0.46660293941928543,0.5052282463494403
