mode,seeds,policies,rel_score_mean,q90_abs_error_mean,daily_q90_median_mean,daily_q90_p90_mean,daily_q90_max_mean,days_ge_3p5_mean,days_ge_5_mean,days_ge_7_mean,days_ge_8_mean
existing_residual_lagged_ar1,3,existing_residual_lagged_ar1,0.02436468136418805,0.04845560912666666,0.03703835646566667,0.06391685135000001,0.10677424480000001,365.3333333333333,160.33333333333334,33.333333333333336,10.0
raw_baseline,3,raw_baseline,0.028370003555545864,0.04824659667333333,0.037153312802666656,0.06317018059333333,0.11124244483333334,366.3333333333333,159.0,36.0,11.666666666666666
selected_lagged_market,3,"selected:ewm3_scale_0.1, selected:ewm3_scale_0.25, selected:ewm5_scale_0.25",0.021748297054339782,0.048575375210987475,0.03718814880097563,0.0641033729090148,0.10303267560464059,370.0,162.0,31.333333333333332,10.0
