policy,seeds,rel_score_mean,q90_abs_error_mean,daily_q90_median_mean,daily_q90_p90_mean,daily_q90_max_mean,days_ge_3p5_mean,days_ge_5_mean,days_ge_7_mean,days_ge_8_mean,prediction_abs_q90_mean,actual_abs_q90_mean
existing_residual_lagged_ar1,3,0.02436468136418805,0.04845560912666666,0.03703835646566667,0.06391685135000001,0.10677424480000001,365.3333333333333,160.33333333333334,33.333333333333336,10.0,0.00825125413333333,0.05022436319999999
raw_baseline,3,0.028370003555545864,0.04824659667333333,0.037153312802666656,0.06317018059333333,0.11124244483333334,366.3333333333333,159.0,36.0,11.666666666666666,0.009245241299999998,0.05022436319999999
selected:ewm3_scale_0.1,1,0.020053292819307234,0.049017276043086866,0.03737255615414537,0.06416942979916024,0.09373907101057817,369.0,160.0,35.0,10.0,0.006964406205455472,0.05022436319999999
selected:ewm3_scale_0.25,1,0.02427562344053691,0.04812183613785545,0.03704387004958372,0.06446002541129044,0.11054168834821385,376.0,157.0,30.0,12.0,0.009890703052209517,0.05022436319999999
selected:ewm5_scale_0.25,1,0.020915974903175205,0.0485870134520201,0.037148020199197815,0.06368066351659374,0.10481726745512977,365.0,169.0,29.0,8.0,0.007774291736725925,0.05022436319999999
