seed,policy,n_obs,n_days,rel_score,q90_abs_error,daily_q90_median,daily_q90_p90,daily_q90_max,days_ge_3p5,days_ge_5,days_ge_7,days_ge_8,prediction_abs_q90,actual_abs_q90,market_column,scale,selection_split,objective
43,zero_scale_-0.25,37643,448,0.022729207975375587,0.03233513894000001,0.027442402014500003,0.041353749069600015,0.07482748250000001,94,30,4,0,0.005644566260000004,0.033032992,zero,-0.25,late_train,-0.11880577266382444
43,zero_scale_0,37643,448,0.022729207975375587,0.03233513894000001,0.027442402014500003,0.041353749069600015,0.07482748250000001,94,30,4,0,0.005644566260000004,0.033032992,zero,0.0,late_train,-0.11880577266382444
43,zero_scale_0.1,37643,448,0.022729207975375587,0.03233513894000001,0.027442402014500003,0.041353749069600015,0.07482748250000001,94,30,4,0,0.005644566260000004,0.033032992,zero,0.1,late_train,-0.11880577266382444
43,zero_scale_0.25,37643,448,0.022729207975375587,0.03233513894000001,0.027442402014500003,0.041353749069600015,0.07482748250000001,94,30,4,0,0.005644566260000004,0.033032992,zero,0.25,late_train,-0.11880577266382444
43,zero_scale_0.5,37643,448,0.022729207975375587,0.03233513894000001,0.027442402014500003,0.041353749069600015,0.07482748250000001,94,30,4,0,0.005644566260000004,0.033032992,zero,0.5,late_train,-0.11880577266382444
43,zero_scale_0.75,37643,448,0.022729207975375587,0.03233513894000001,0.027442402014500003,0.041353749069600015,0.07482748250000001,94,30,4,0,0.005644566260000004,0.033032992,zero,0.75,late_train,-0.11880577266382444
43,zero_scale_1,37643,448,0.022729207975375587,0.03233513894000001,0.027442402014500003,0.041353749069600015,0.07482748250000001,94,30,4,0,0.005644566260000004,0.033032992,zero,1.0,late_train,-0.11880577266382444
43,lag1_scale_-0.25,37643,448,0.008838147171279509,0.032693068165804424,0.027609093062653953,0.04369048900185322,0.0822059092122954,96,29,5,2,0.0069841192370765455,0.033032992,lag1,-0.25,late_train,-0.14774874004472233
43,lag1_scale_0,37643,448,0.022729207975375587,0.03233513894000001,0.027442402014500003,0.041353749069600015,0.07482748250000001,94,30,4,0,0.005644566260000004,0.033032992,lag1,0.0,late_train,-0.11880577266382444
43,lag1_scale_0.1,37643,448,0.023867674945375894,0.032296287086174255,0.02720252768083318,0.04186927192309374,0.0748176176484599,96,30,3,0,0.005788951155532092,0.033032992,lag1,0.1,late_train,-0.11268848654927148
43,lag1_scale_0.25,37643,448,0.020073275716895878,0.032271068771279714,0.02729097239605123,0.041531811306269144,0.07513103077241597,98,28,6,0,0.00660995310598718,0.033032992,lag1,0.25,late_train,-0.12812137766805837
43,lag1_scale_0.5,37643,448,-0.004915274113926227,0.03258379650646324,0.027304860063219437,0.042411835266890456,0.08615779000745696,104,27,7,1,0.009026083492793038,0.033032992,lag1,0.5,late_train,-0.1688967346551641
43,lag1_scale_0.75,37643,448,-0.047942143851963825,0.033566927673706094,0.027076310588286967,0.04398626347566558,0.10108958771118545,111,33,8,1,0.012090030338912155,0.033032992,lag1,0.75,late_train,-0.25400425851448044
