model,threshold,holding_period,uncertainty_model,uncertainty_quantile,max_uncertainty,trade_count,coverage,directional_accuracy,avg_actual_return,avg_strategy_return,cumulative_strategy_return,final_equity,sampled_buy_hold_equity
lstm_best_by_val,0.0,1,lstm_quantile_best_by_val,0.25,0.012979557,65,0.05341002465078061,0.5846153846153846,-0.0015411944830769232,-0.0015411944830769232,-0.1001776414,0.9018840056844297,0.9018840056844297
lstm_best_by_val,0.0,1,lstm_quantile_best_by_val,0.5,0.015132122,111,0.09120788824979457,0.6576576576576577,0.001431780190990991,0.001431780190990991,0.1589276012,1.16096321531372,1.16096321531372
lstm_best_by_val,0.0,1,lstm_quantile_best_by_val,0.75,0.02145324,140,0.11503697617091208,0.6571428571428571,0.0014980757392857142,0.0014980757392857142,0.2097306035,1.2178701752412613,1.2178701752412613
lstm_best_by_val,0.0,1,lstm_quantile_best_by_val,0.9,0.031816013800000015,159,0.1306491372226787,0.6855345911949685,0.002439138582389937,0.002439138582389937,0.3878230346,1.450573187211188,1.450573187211188
lstm_best_by_val,0.0025,1,lstm_quantile_best_by_val,0.25,0.012979557,0,0.0,,,,0.0,1.0,1.0
lstm_best_by_val,0.0025,1,lstm_quantile_best_by_val,0.5,0.015132122,0,0.0,,,,0.0,1.0,1.0
lstm_best_by_val,0.0025,1,lstm_quantile_best_by_val,0.75,0.02145324,0,0.0,,,,0.0,1.0,1.0
lstm_best_by_val,0.0025,1,lstm_quantile_best_by_val,0.9,0.031816013800000015,0,0.0,,,,0.0,1.0,1.0
lstm_best_by_val,0.005,1,lstm_quantile_best_by_val,0.25,0.012979557,0,0.0,,,,0.0,1.0,1.0
lstm_best_by_val,0.005,1,lstm_quantile_best_by_val,0.5,0.015132122,0,0.0,,,,0.0,1.0,1.0
lstm_best_by_val,0.005,1,lstm_quantile_best_by_val,0.75,0.02145324,0,0.0,,,,0.0,1.0,1.0
lstm_best_by_val,0.005,1,lstm_quantile_best_by_val,0.9,0.031816013800000015,0,0.0,,,,0.0,1.0,1.0
lstm_best_by_val,0.01,1,lstm_quantile_best_by_val,0.25,0.012979557,0,0.0,,,,0.0,1.0,1.0
lstm_best_by_val,0.01,1,lstm_quantile_best_by_val,0.5,0.015132122,0,0.0,,,,0.0,1.0,1.0
lstm_best_by_val,0.01,1,lstm_quantile_best_by_val,0.75,0.02145324,0,0.0,,,,0.0,1.0,1.0
lstm_best_by_val,0.01,1,lstm_quantile_best_by_val,0.9,0.031816013800000015,0,0.0,,,,0.0,1.0,1.0
lstm_best_by_val,0.015,1,lstm_quantile_best_by_val,0.25,0.012979557,0,0.0,,,,0.0,1.0,1.0
lstm_best_by_val,0.015,1,lstm_quantile_best_by_val,0.5,0.015132122,0,0.0,,,,0.0,1.0,1.0
lstm_best_by_val,0.015,1,lstm_quantile_best_by_val,0.75,0.02145324,0,0.0,,,,0.0,1.0,1.0
lstm_best_by_val,0.015,1,lstm_quantile_best_by_val,0.9,0.031816013800000015,0,0.0,,,,0.0,1.0,1.0
lstm_best_by_val,0.02,1,lstm_quantile_best_by_val,0.25,0.012979557,0,0.0,,,,0.0,1.0,1.0
lstm_best_by_val,0.02,1,lstm_quantile_best_by_val,0.5,0.015132122,0,0.0,,,,0.0,1.0,1.0
lstm_best_by_val,0.02,1,lstm_quantile_best_by_val,0.75,0.02145324,0,0.0,,,,0.0,1.0,1.0
lstm_best_by_val,0.02,1,lstm_quantile_best_by_val,0.9,0.031816013800000015,0,0.0,,,,0.0,1.0,1.0
