run_name,lstm_test_rel_score,lstm_test_directional_accuracy,linear_test_rel_score,arima_test_rel_score,lstm_backtest_final_equity,lstm_backtest_trade_count,lstm_backtest_threshold
overnight_dig_return3d_pairmacro_w5_u16,0.03332553414444772,0.5364238410596026,-0.012892917550257899,0.01281342875921887,1.5947185681061264,40,0.005
overnight_vhm_return3d_pairmacro_w5_u16,0.01133312760156624,0.5562913907284768,0.033369768357642604,-0.004217993977062129,1.5020306500521228,50,0.0
overnight_dig_return3d_pairmacro_w3_u8,0.011104492088789941,0.4503311258278146,0.01026916206341233,0.013097924963144991,1.320417561342044,62,0.0
overnight_nlg_return3d_pairmacro_w5_u8,0.007284385033730745,0.46357615894039733,-0.014790179411549698,0.015474386844273047,1.1970669590901628,35,0.005
overnight_bds_return3d_allfeat_u16_w7,0.001806857672573381,0.4936708860759494,-0.024776188622312123,-0.01720603114360464,3.980744984850219,192,0.01
overnight_bds_return3d_sector_stack48_24_w10,0.0005104264572002304,0.47516556291390727,-0.03606387880369599,-0.01467751130289896,1.5224194074844903,7,0.01
overnight_nlg_return3d_pairmacro_w5_u16,-0.001947792302821938,0.4271523178807947,-0.014790179411549698,0.015474386844273047,0.9134394382775305,73,0.0
overnight_bds_return3d_sector_u48_w12,-0.005962069551654903,0.4828918322295806,-0.03208663214377783,-0.014889756068802829,2.8192036895591692,85,0.01
overnight_vhm_return3d_pairmacro_w3_u8,-0.01569832359576928,0.5132450331125827,-0.005665293740447552,-0.004462327538535593,1.8116938830934317,48,0.0
overnight_bds_return3d_sector_u16_w7,-0.017420539293246495,0.4795805739514349,-0.028797842281421904,-0.015367170799838625,5.773310274190194,251,0.005
overnight_bds_return3d_sector_u32_w10,-0.02247569394671456,0.4762693156732892,-0.03606387880369599,-0.01467751130289896,3.084020960990185,129,0.01
overnight_bds_return3d_allfeat_u32_w10,-0.027895844481282683,0.47928653624856155,-0.016596700199070558,-0.017496565569821154,7.892262717497051,207,0.01
