seed,variant,policy,threshold,n_obs,obs_coverage,n_days,day_coverage,rel_score,q90_abs_error,daily_q90_median,daily_q90_p90,daily_q90_max,days_ge_3p5,days_ge_5,days_ge_7,days_ge_8
52,plain_global_weighted_mild_tail35_riskaux_detached_w10,risk_q20,0.3959695,10716,0.17721770192498512,590,0.8952959028831563,0.0006803202089735727,0.02816119605,0.02342731,0.03812064602,0.0724144634,35,7,1,0
52,plain_global_weighted_mild_tail35_riskaux_detached_w10,risk_q30,0.419133201,15495,0.2562512403254614,618,0.9377845220030349,0.0040231635472333105,0.029832786050000008,0.025044280129499993,0.0398783885287,0.07166697692,77,13,1,0
52,plain_global_weighted_mild_tail35_riskaux_detached_w10,risk_q40,0.441159034,20213,0.33427598068399816,634,0.9620637329286799,-0.0012654624492216549,0.031623258808,0.026318177821499998,0.04285755059460003,0.07253148947,106,22,1,0
52,plain_global_weighted_mild_tail35_riskaux_detached_w10,risk_q50,0.464479115,25324,0.41880002646027653,654,0.992412746585736,-0.003369099349049387,0.03302507761000001,0.027809263509999998,0.044742728942,0.07194728435,138,31,3,0
52,plain_global_weighted_mild_tail35_riskaux_detached_w10,risk_q60,0.4894324,30861,0.510369120857313,659,1.0,-0.0013535610248960328,0.0345581081,0.02904444497999999,0.04863149796400001,0.07274403944,170,44,4,0
52,plain_global_weighted_mild_tail35_riskaux_detached_w10,risk_q70,0.5170476589999999,36762,0.6079579281603493,659,1.0,0.0016145727432502754,0.03655416280000001,0.03025102137,0.051357225508000016,0.07256492549,202,61,7,0
52,plain_global_weighted_mild_tail35_riskaux_detached_w10,risk_q80,0.550449812,43264,0.7154858768274128,659,1.0,0.0030676068215005348,0.038559840029000016,0.03188266034000001,0.05552691071800004,0.0745816903,247,92,11,0
52,plain_global_weighted_mild_tail35_riskaux_detached_w10,risk_q90,0.59725847,50742,0.8391545941655091,659,1.0,-0.00039789957168223644,0.041515277660000016,0.03400646286275,0.060494561200000005,0.07657230444,300,113,19,0
52,plain_global_weighted_mild_tail35_riskaux_detached_w10,risk_q100,0.85709614,60465,0.9999503869815439,659,1.0,0.003538453608349257,0.04985214648,0.036784786174,0.06489950302400002,0.08621867650000001,362,165,40,9
52,plain_global_weighted_mild_tail35_riskaux_detached_w10,calibrated_train_p90,0.42990633,17798,0.29433750082688365,626,0.9499241274658573,0.006462521636233398,0.030613739980000006,0.025232512694500005,0.04087936300740001,0.07222759178,91,21,1,0
52,plain_global_weighted_mild_tail35_riskaux_detached_w10,full_coverage,inf,60468,1.0,659,1.0,0.0035033099971927273,0.04985192109,0.036784786174,0.06489950302400002,0.08621867650000001,362,165,40,9
52,plain_global_weighted_mild_tail35_riskaux_detached_w20,risk_q20,0.39596483600000004,10716,0.17721770192498512,590,0.8952959028831563,0.0006803202089735727,0.02816119605,0.02342731,0.03812064602,0.0724144634,35,7,1,0
52,plain_global_weighted_mild_tail35_riskaux_detached_w20,risk_q30,0.41912600299999997,15495,0.2562512403254614,618,0.9377845220030349,0.0040231635472333105,0.029832786050000008,0.025044280129499993,0.0398783885287,0.07166697692,77,13,1,0
52,plain_global_weighted_mild_tail35_riskaux_detached_w20,risk_q40,0.44115476000000003,20212,0.3342594430111795,634,0.9620637329286799,-0.001195315076795378,0.03162344838400001,0.026370897424,0.04285755059460003,0.07253148947,106,22,1,0
52,plain_global_weighted_mild_tail35_riskaux_detached_w20,risk_q50,0.464476715,25324,0.41880002646027653,654,0.992412746585736,-0.003369099349049387,0.03302507761000001,0.027809263509999998,0.044742728942,0.07194728435,138,31,3,0
52,plain_global_weighted_mild_tail35_riskaux_detached_w20,risk_q60,0.489431888,30860,0.5103525831844943,659,1.0,-0.0013829337925770346,0.03455976506000003,0.02904444497999999,0.04863149796400001,0.07274403944,170,44,4,0
52,plain_global_weighted_mild_tail35_riskaux_detached_w20,risk_q70,0.51704909,36762,0.6079579281603493,659,1.0,0.0016145727432502754,0.03655416280000001,0.03025102137,0.051357225508000016,0.07256492549,202,61,7,0
52,plain_global_weighted_mild_tail35_riskaux_detached_w20,risk_q80,0.55045248,43264,0.7154858768274128,659,1.0,0.0030676068215005348,0.038559840029000016,0.03188266034000001,0.05552691071800004,0.0745816903,247,92,11,0
52,plain_global_weighted_mild_tail35_riskaux_detached_w20,risk_q90,0.59726475,50742,0.8391545941655091,659,1.0,-0.00039789957168223644,0.041515277660000016,0.03400646286275,0.060494561200000005,0.07657230444,300,113,19,0
52,plain_global_weighted_mild_tail35_riskaux_detached_w20,risk_q100,0.85710937,60465,0.9999503869815439,659,1.0,0.003538453608349257,0.04985214648,0.036784786174,0.06489950302400002,0.08621867650000001,362,165,40,9
52,plain_global_weighted_mild_tail35_riskaux_detached_w20,calibrated_train_p90,0.429902341,17799,0.2943540384997023,626,0.9499241274658573,0.006423209568404253,0.030613116520000004,0.025232512694500005,0.04087936300740001,0.07222759178,91,21,1,0
52,plain_global_weighted_mild_tail35_riskaux_detached_w20,full_coverage,inf,60468,1.0,659,1.0,0.0035033099971927273,0.04985192109,0.036784786174,0.06489950302400002,0.08621867650000001,362,165,40,9
