label,year,daily_q90_median,daily_q90_p90,daily_q90_max,days_ge_3p5,days_ge_8
accepted,2020,0.020404183617000003,0.032986973117,0.058999488600000004,20,0
accepted,2021,0.019384845585000005,0.03401773942,0.0626910953400001,18,0
accepted,2022,0.022207257846000004,0.0349803073056,0.054024101822400014,13,0
full coverage,2020,0.03184137174300001,0.053473979000000005,0.07370191000000001,228,0
full coverage,2021,0.03672511679850002,0.06000335747300004,0.08866851510000001,422,3
full coverage,2022,0.042970730420000006,0.070776294746,0.0962374504,440,20
