label,rows,stocks,days,obs_coverage,rel_score,base_score,abs_score,directional_accuracy,error_min,error_q20,error_q25,error_median,error_q75,error_q80,error_max,error_mean,error_std,abs_error_q90
full_coverage,181404,93,659,,0.02463220026617985,0.03769129495000006,0.036762875424500005,0.5069678728142709,-0.18308676740000002,-0.01830049254,-0.013778728175,-0.0004953542850000001,0.0113316661825,0.0150979833,0.39258468945999997,-0.0009485334078612824,0.026947605419300667,0.048588895049000005
risk_hgb_coverage_q40,30921,93,657,,0.0033905282753350363,0.0191390234,0.019074132,0.4727854855923159,-0.10489311750000001,-0.0102155471,-0.007609886,-0.0005949776,0.0060296161,0.0079959782,0.08371717187,-0.0016301617224761394,0.01599195180080445,0.0246933516
