seed,Date,daily_q90,label,year
43,2020-04-01,0.0644223143,full coverage,2020
43,2020-04-03,0.06496406061,full coverage,2020
43,2020-04-06,0.050233801480000013,full coverage,2020
43,2020-04-07,0.046806646199999996,full coverage,2020
43,2020-04-08,0.05481717186000002,full coverage,2020
43,2020-04-09,0.032739184760000005,full coverage,2020
43,2020-04-10,0.0431927618,full coverage,2020
43,2020-04-13,0.05166427295000002,full coverage,2020
43,2020-04-14,0.05900528901000001,full coverage,2020
43,2020-04-15,0.04752095478000001,full coverage,2020
43,2020-04-16,0.056192440100000005,full coverage,2020
43,2020-04-17,0.06137171283500002,full coverage,2020
43,2020-04-20,0.070571527183,full coverage,2020
43,2020-04-21,0.042645928920000006,full coverage,2020
43,2020-04-22,0.0418081691,full coverage,2020
43,2020-04-23,0.032548595080000006,full coverage,2020
43,2020-04-24,0.063376602204,full coverage,2020
43,2020-04-27,0.03546065220000001,full coverage,2020
43,2020-04-28,0.028939277240000002,full coverage,2020
43,2020-04-29,0.04768563066,full coverage,2020
43,2020-05-04,0.030990591093000005,full coverage,2020
43,2020-05-05,0.05420959368000002,full coverage,2020
43,2020-05-06,0.03838137773000001,full coverage,2020
43,2020-05-07,0.03914196346000002,full coverage,2020
43,2020-05-08,0.0462708763,full coverage,2020
43,2020-05-11,0.05165052993000001,full coverage,2020
43,2020-05-12,0.03801701862,full coverage,2020
43,2020-05-13,0.032794297156,full coverage,2020
43,2020-05-14,0.03083673778,full coverage,2020
43,2020-05-15,0.03999037592000001,full coverage,2020
43,2020-05-18,0.036508907470000004,full coverage,2020
43,2020-05-19,0.036076354000000005,full coverage,2020
43,2020-05-20,0.028432718740000033,full coverage,2020
43,2020-05-21,0.031188799500000003,full coverage,2020
43,2020-05-22,0.051859357099999996,full coverage,2020
43,2020-05-25,0.042962117180000016,full coverage,2020
43,2020-05-26,0.04577781217400001,full coverage,2020
43,2020-05-27,0.025445221320000003,full coverage,2020
43,2020-05-28,0.03184137174300001,full coverage,2020
43,2020-05-29,0.047612067357,full coverage,2020
43,2020-06-01,0.037915207140000004,full coverage,2020
43,2020-06-02,0.043868222866000006,full coverage,2020
43,2020-06-03,0.04934202372,full coverage,2020
43,2020-06-04,0.05462112796,full coverage,2020
43,2020-06-05,0.05142432451,full coverage,2020
43,2020-06-08,0.027072228220000025,full coverage,2020
43,2020-06-09,0.031433333120000025,full coverage,2020
43,2020-06-10,0.0684974507,full coverage,2020
43,2020-06-11,0.035157738349999995,full coverage,2020
43,2020-06-12,0.0500394496,full coverage,2020
43,2020-06-15,0.049682265552000004,full coverage,2020
43,2020-06-16,0.02784335062,full coverage,2020
43,2020-06-17,0.0214548521,full coverage,2020
43,2020-06-18,0.045298721599999994,full coverage,2020
43,2020-06-19,0.03057085753000002,full coverage,2020
43,2020-06-22,0.036541287430000034,full coverage,2020
43,2020-06-23,0.036791334,full coverage,2020
43,2020-06-24,0.02091642724,full coverage,2020
43,2020-06-25,0.0244648857,full coverage,2020
43,2020-06-26,0.0534220004,full coverage,2020
43,2020-06-29,0.039885389271000014,full coverage,2020
43,2020-06-30,0.040436859000000006,full coverage,2020
43,2020-07-01,0.025968838,full coverage,2020
43,2020-07-02,0.028032204499999998,full coverage,2020
43,2020-07-03,0.02930412008,full coverage,2020
43,2020-07-06,0.019065757930000003,full coverage,2020
43,2020-07-07,0.024803939555000005,full coverage,2020
43,2020-07-08,0.03987129090000001,full coverage,2020
43,2020-07-09,0.020879904129999998,full coverage,2020
43,2020-07-10,0.0219388948,full coverage,2020
43,2020-07-13,0.021606335650000016,full coverage,2020
43,2020-07-14,0.021885156770000008,full coverage,2020
43,2020-07-15,0.023587223390000012,full coverage,2020
43,2020-07-16,0.02213797534,full coverage,2020
43,2020-07-17,0.03827366380000002,full coverage,2020
43,2020-07-20,0.022331272,full coverage,2020
43,2020-07-21,0.0231124185,full coverage,2020
43,2020-07-22,0.023926836620000003,full coverage,2020
43,2020-07-23,0.06517749467999999,full coverage,2020
43,2020-07-24,0.07118428923999999,full coverage,2020
43,2020-07-27,0.055118937900000005,full coverage,2020
