loss,val_loss
0.01771443337202072,0.004211751278489828
0.004370749928057194,0.002688288688659668
0.0036840662360191345,0.0021468298509716988
0.003329177387058735,0.002865961054340005
0.0030918954871594906,0.0018565206555649638
0.003033260814845562,0.0018426852766424417
0.0029402358923107386,0.0017674759728834033
0.002982878824695945,0.001909335027448833
0.0028864757623523474,0.002251347526907921
0.0029525274876505136,0.00179392215795815
0.0029413618613034487,0.0020375021267682314
0.0028869048692286015,0.0020140588749200106
