decile,lo,hi,scale,train_rs,n
1,0.010653716512024403,0.015436637215316296,0.95,0.026299059715084172,11468
2,0.015436637215316296,0.01652907021343708,0.825,0.028533652201713333,11445
3,0.01652907021343708,0.017321521416306496,0.875,0.035712913171463745,11552
4,0.017321521416306496,0.018111271783709526,1.025,0.035534868263569,11486
5,0.018111271783709526,0.01894167624413967,0.725,0.02782954064552412,11479
6,0.01894167624413967,0.019758280366659164,0.7999999999999999,0.04871640373976871,11482
7,0.019758280366659164,0.020783409476280212,1.3499999999999999,0.05429372999175408,11512
8,0.020783409476280212,0.022152509540319443,0.9749999999999999,0.04636970544185082,11505
9,0.022152509540319443,0.02412348799407482,1.075,0.045211392639895154,11476
10,0.02412348799407482,0.029687264934182167,1.125,0.11578752284364513,11533
