decile,lo,hi,scale,train_rs,n
1,0.010777396149933338,0.014946541748940945,0.8999999999999999,0.01741557612539646,11440
2,0.014946541748940945,0.015915432944893837,0.8999999999999999,0.0327577646628896,11487
3,0.015915432944893837,0.01666179671883583,0.8999999999999999,0.04788383459983825,11473
4,0.01666179671883583,0.017400966957211494,0.75,0.03466306300803279,11499
5,0.017400966957211494,0.018192876130342484,0.7749999999999999,0.03592386106906187,11547
6,0.018192876130342484,0.019001934677362442,0.8499999999999999,0.042075736063539426,11455
7,0.019001934677362442,0.020063359290361404,1.2249999999999999,0.047754950069655466,11497
8,0.020063359290361404,0.021202515810728073,1.075,0.05448302078067546,11522
9,0.021202515810728073,0.02314206399023533,1.1749999999999998,0.06393093179357012,11496
10,0.02314206399023533,0.03150355815887451,1.2249999999999999,0.09424472680882823,11522
