rv_bin,market_bin,rv_lo,rv_hi,market_lo,market_hi,scale,train_rs,train_n,val_n
1,1,0.010653716512024403,0.01652907021343708,0.0005251623224467039,0.0033167675137519836,0.875,0.032864330581343415,7946,1092
1,2,0.010653716512024403,0.01652907021343708,0.0033167675137519836,0.0048720696941018105,1.025,0.032777666260523364,6037,728
1,3,0.010653716512024403,0.01652907021343708,0.0048720696941018105,0.006616613361984491,0.8499999999999999,0.02585370651108254,4436,634
1,4,0.010653716512024403,0.01652907021343708,0.006616613361984491,0.009283643215894699,0.8999999999999999,0.02433808878903021,3208,361
1,5,0.010653716512024403,0.01652907021343708,0.009283643215894699,0.03975644335150719,0.5499999999999999,0.016528231413911354,1286,271
2,1,0.01652907021343708,0.018111271783709526,0.0005251623224467039,0.0033167675137519836,1.025,0.028868969880252116,6786,1477
2,2,0.01652907021343708,0.018111271783709526,0.0033167675137519836,0.0048720696941018105,1.075,0.044925756046302334,4925,1472
2,3,0.01652907021343708,0.018111271783709526,0.0048720696941018105,0.006616613361984491,0.44999999999999996,0.02145534633797852,4546,1375
2,4,0.01652907021343708,0.018111271783709526,0.006616613361984491,0.009283643215894699,1.0,0.04281396573203167,4465,2377
2,5,0.01652907021343708,0.018111271783709526,0.009283643215894699,0.03975644335150719,1.075,0.06638278819378896,2316,2738
3,1,0.018111271783709526,0.019758280366659164,0.0005251623224467039,0.0033167675137519836,0.75,0.0375086509918966,3626,742
3,2,0.018111271783709526,0.019758280366659164,0.0033167675137519836,0.0048720696941018105,0.6499999999999999,0.030456514902970078,6179,1380
3,3,0.018111271783709526,0.019758280366659164,0.0048720696941018105,0.006616613361984491,0.9749999999999999,0.0448825539592026,5307,1376
3,4,0.018111271783709526,0.019758280366659164,0.006616613361984491,0.009283643215894699,0.6749999999999999,0.030645887098406432,4270,2024
3,5,0.018111271783709526,0.019758280366659164,0.009283643215894699,0.03975644335150719,1.075,0.05817776340630243,3579,3497
4,1,0.019758280366659164,0.022152509540319443,0.0005251623224467039,0.0033167675137519836,0.925,0.04956523964004589,2963,554
4,2,0.019758280366659164,0.022152509540319443,0.0033167675137519836,0.0048720696941018105,0.8999999999999999,0.02156063355935678,3618,1755
4,3,0.019758280366659164,0.022152509540319443,0.0048720696941018105,0.006616613361984491,1.0499999999999998,0.04246820421172437,5140,2677
4,4,0.019758280366659164,0.022152509540319443,0.006616613361984491,0.009283643215894699,1.275,0.04780468591201292,5033,3857
4,5,0.019758280366659164,0.022152509540319443,0.009283643215894699,0.03975644335150719,1.2249999999999999,0.07825475894065481,6263,5771
5,1,0.022152509540319443,0.029687264934182167,0.0005251623224467039,0.0033167675137519836,0.8999999999999999,0.05302460138280907,1666,368
5,2,0.022152509540319443,0.029687264934182167,0.0033167675137519836,0.0048720696941018105,0.9749999999999999,0.06283202942359745,2218,740
5,3,0.022152509540319443,0.029687264934182167,0.0048720696941018105,0.006616613361984491,0.7749999999999999,0.038222658662095066,3515,2114
5,4,0.022152509540319443,0.029687264934182167,0.006616613361984491,0.009283643215894699,1.025,0.05713011113452404,6023,3384
5,5,0.022152509540319443,0.029687264934182167,0.009283643215894699,0.03975644335150719,1.275,0.11898819426656748,9587,14466
