model_label,regime,trend_regime,vol_regime,rows,code_count,rel_score,abs_loss,base_loss,pred_pos_rate,actual_pos_rate,avg_actual,avg_prediction,avg_abs_prediction,avg_abs_actual
standalone,down__high_vol,down,high_vol,268,4,-0.03633019460207265,0.02401261346949468,0.02317081331275403,0.13059701492537312,0.3694029850746269,-0.0026061440335820897,-0.0014065021077350748,0.0015417443081082091,0.013798929839552238
standalone,down__low_vol,down,low_vol,267,4,0.013335314180981994,0.010918438236694784,0.011066006915643814,0.16104868913857678,0.3333333333333333,-0.001676379036329588,-0.0007341408274752809,0.0008960809186707864,0.00620604368576779
standalone,up__high_vol,up,high_vol,295,4,0.04316951139828118,0.017345315997954473,0.0181278880685568,0.11864406779661017,0.46779661016949153,0.0027741888830508476,-0.001554233556,0.0017117948541355932,0.009916064404406781
standalone,up__low_vol,up,low_vol,335,4,-0.03236577280362862,0.013381639058934526,0.012962110340595254,0.11641791044776119,0.4746268656716418,0.0024856401214925373,-0.0007716908494149253,0.0008718268207343284,0.007685566618208955
committee,down__high_vol,down,high_vol,268,4,-0.021260363127149295,0.023663433217734564,0.02317081331275403,0.13059701492537312,0.3694029850746269,-0.0026061440335820897,-0.0012644455677074627,0.0013889723963820895,0.013798929839552238
committee,down__low_vol,down,low_vol,267,4,0.01242668190547136,0.010928493167739362,0.011066006915643814,0.15730337078651685,0.3333333333333333,-0.001676379036329588,-0.0006866795957168539,0.0008376377076344569,0.00620604368576779
committee,up__high_vol,up,high_vol,295,4,0.038679746464358455,0.017426705954130754,0.0181278880685568,0.1152542372881356,0.46779661016949153,0.0027741888830508476,-0.0014149120568745762,0.0015606873745694916,0.009916064404406781
committee,up__low_vol,up,low_vol,335,4,-0.029972180280011695,0.013350613048532979,0.012962110340595254,0.12238805970149254,0.4746268656716418,0.0024856401214925373,-0.0007244832766095523,0.0008153977335056717,0.007685566618208955
