bucket,prediction_mean,actual_mean,actual_hit_rate,count,model_label
0,-0.0038172137795081966,-0.0005637067745901639,0.4918032786885246,122,standalone
1,-0.0021031687713114755,0.0006192016114754098,0.5327868852459017,122,standalone
2,-0.0015445544016528927,0.0006090208537190082,0.5371900826446281,121,standalone
3,-0.001271818799180328,0.001158392899180328,0.5163934426229508,122,standalone
4,-0.0010744434015573772,-0.0012528014786885246,0.5573770491803278,122,standalone
5,-0.0008455686071074381,-0.0016987001099173554,0.47107438016528924,121,standalone
6,-0.0006292393349180327,-0.0008290289040983606,0.45901639344262296,122,standalone
7,-0.00039535970190082644,0.001181223167768595,0.628099173553719,121,standalone
8,-6.609935958934425e-05,0.0011816670745901639,0.639344262295082,122,standalone
9,0.0006771772309836065,0.0031812511204918036,0.6885245901639344,122,standalone
0,-0.0034039375581196582,0.0003825940376068376,0.5042735042735043,117,committee
1,-0.0018907898198275864,-0.0005235265810344827,0.5,116,committee
2,-0.0014196510273504273,0.0009092927247863248,0.5128205128205128,117,committee
3,-0.001171245450862069,0.0007736208456896552,0.5431034482758621,116,committee
4,-0.0009869303123931623,-0.0016535528017094017,0.5384615384615384,117,committee
5,-0.0007971999968965518,-0.0012738799051724135,0.5,116,committee
6,-0.000601461504224138,-0.0009524221775862069,0.5,116,committee
7,-0.0003979245188888889,0.001651624406837607,0.6153846153846154,117,committee
8,-7.713865124310345e-05,0.0006408590043103447,0.6379310344827587,116,committee
9,0.0006022305144444444,0.004350518725641026,0.717948717948718,117,committee
