Date,model_label,ic_spearman,ic_pearson,cross_sectional_actual_mean,cross_sectional_prediction_mean,rolling_ic_spearman,rolling_ic_pearson
2025-01-02,standalone,-0.7999999999999999,-0.9449905593992025,-0.009779501999999999,-0.00113895784,,
2025-01-03,standalone,-1.0,-0.9586678322843848,-0.016315938250000002,-0.0010883202882499999,,
2025-01-06,standalone,0.316227766016838,0.33364391398922155,-0.0027335556500000004,-0.0010286935375,,
2025-01-07,standalone,0.9486832980505139,0.9347069570187856,0.002234651,-0.0007152026349999999,,
2025-01-08,standalone,0.39999999999999997,0.8182328159691173,0.006037191700000001,-0.000536598735,-0.02701778718652962,0.03658505905870744
2025-01-09,standalone,0.7999999999999999,0.965026407240307,0.0016250750000000001,-0.00038257640750000003,0.11081851067789199,0.1913252837556407
2025-01-10,standalone,0.6000000000000001,0.7690795826741887,0.006167595750000001,-0.000482134065,0.1807015805810503,0.27386161217257615
2025-01-13,standalone,-0.21081851067789195,-0.15158016263163854,0.0026627283750000003,-0.00046910335,0.13176156917368248,0.2206813903220493
2025-01-14,standalone,0.39999999999999997,0.4311618595028246,0.0050429985499999995,-0.0005859934899999999,0.16156583926549553,0.2440681091199132
2025-01-15,standalone,0.19999999999999998,-0.30948405041633287,-0.0022543396000000004,-0.00074534373,0.165409255338946,0.18871289316628861
2025-01-16,standalone,-0.7999999999999999,-0.6525656813521974,-0.0034243267250000002,-0.0007699408975,0.07764477758085998,0.11223302275551715
2025-01-17,standalone,0.6000000000000001,0.5817751633261876,0.00350363395,-0.0006209657,0.12117437944912167,0.15136153446973968
2025-01-20,standalone,0.21081851067789195,-0.009043464527260129,-0.0027144497750000002,-0.0005361892075,0.12807008185133475,0.1390226883930474
2025-01-21,standalone,0.7999999999999999,0.9362303731090501,-0.0001439970000000002,-0.000422648535,0.17606507600481083,0.19596609444419047
2025-01-22,standalone,0.39999999999999997,0.8826765525140778,0.0092961911,-0.0007127447775,0.19099407093782345,0.2417467916488496
2025-01-23,standalone,0.19999999999999998,-0.05589570314406486,0.0017556278249999998,-0.0007642803590000001,0.1915569415042095,0.22314413572429245
2025-01-24,standalone,0.39999999999999997,0.37540372474799805,-0.00906003725,-0.000805652125,0.2038182978863148,0.2321005821374516
2025-02-03,standalone,0.39999999999999997,0.7853995766987528,0.004225106849999999,-0.0006790484575,0.2147172813370751,0.262839415168635
2025-02-04,standalone,0.39999999999999997,0.5085895274928678,0.009413181525,-0.000676861495,0.2244690033719659,0.27577363160675256
2025-02-05,standalone,0.0,0.2282296190474799,0.008536581925,-0.0006057130425,0.2132455532033676,0.2733964309787889
2025-02-06,standalone,-0.39999999999999997,-0.5185777805092714,-0.001436436575,-0.0008091097,0.23324555320336757,0.29471706992328545
2025-02-07,standalone,-0.39999999999999997,-0.3567229315993166,-0.002202456575,-0.0008535251875,0.2632455532033676,0.3248143149575388
2025-02-10,standalone,-0.19999999999999998,-0.013076046280808815,-0.0022734061999999996,-0.000696780445,0.2374341649025257,0.3074783169440373
2025-02-11,standalone,-0.7999999999999999,-0.6400872941724671,0.00026046564999999966,-0.0007746103524999999,0.14999999999999997,0.22873860438447471
2025-02-12,standalone,0.39999999999999997,0.14375266836653774,0.0009547963999999996,-0.000836177405,0.14999999999999997,0.1950145970043457
2025-02-13,standalone,-0.39999999999999997,-0.2420183508973142,-0.00398284585,-0.0007994241875,0.09,0.13466235909746466
2025-02-14,standalone,-0.19999999999999998,0.12862748533394538,-0.00222574185,-0.0009042655375,0.049999999999999996,0.1026397542304525
