n,rel_score,absE_robust,base_robust,absE_q90,DA,pred_actual_q90_ratio,market,model,fold_id,test_start,test_end,alpha_rel_score,alpha_absE_robust
1908,0.0028002107731605053,0.04583279417129233,0.045961496047675604,0.06212327538523822,0.4879454926624738,0.03526230050399388,VN,ridge_portable,0,2020-04-01,2020-05-04,-0.005508663595102936,0.0360739030293189
1922,0.009355719304383281,0.03252942063845696,0.03283663094043732,0.040938200510572675,0.5530697190426639,0.05173223255627657,VN,ridge_portable,1,2020-05-05,2020-06-02,-0.0013105425844310847,0.028746541906730278
1916,-0.0025758070668067123,0.036945411295164376,0.03685049153864384,0.047536295489408076,0.4498956158663883,0.03610926462333058,VN,ridge_portable,2,2020-06-03,2020-07-01,-0.0038063408133579557,0.027535673521924764
1905,-0.023262510773648826,0.03464466559817084,0.03385706525295973,0.04795534459408373,0.3585301837270341,0.030871726468386266,VN,ridge_portable,3,2020-07-02,2020-07-30,-0.002739650546267347,0.02193157052388415
1910,0.001355835584089582,0.02460721103270771,0.024640619661659004,0.030761336255818606,0.49214659685863876,0.04216456014953985,VN,ridge_portable,4,2020-07-31,2020-08-28,-0.0041376160970436615,0.021120413095923142
1925,-0.005794408686625063,0.021609209898451817,0.021484718658030033,0.02726924736343791,0.4903896103896104,0.05405584117680116,VN,ridge_portable,5,2020-08-31,2020-09-29,0.0036852568180187895,0.020317300385795538
1927,-0.012785673116466612,0.02494897369178944,0.024634011276066303,0.03140232290606947,0.43227815256875973,0.04609936467298256,VN,ridge_portable,6,2020-09-30,2020-10-28,-0.0024143239118188387,0.02289474334684201
1906,0.002063692788461635,0.025086968671530485,0.025138847529888153,0.03246561111882329,0.5068205666316894,0.04625833285373161,VN,ridge_portable,7,2020-10-29,2020-11-26,-0.005114921424758334,0.023795577937562484
1914,0.009784152299131543,0.031359573840745725,0.03166943239048124,0.040022809989750385,0.512539184952978,0.04741142830960855,VN,ridge_portable,8,2020-11-27,2020-12-25,-0.0006232317787184805,0.028880996943917124
1920,-0.0035391370115620546,0.042875572657794694,0.0427243652753532,0.05826525575830602,0.5078125,0.04200321438535466,VN,ridge_portable,9,2020-12-28,2021-01-26,0.008151914455560183,0.03166338713781443
1921,0.005071209860605275,0.05030589702073485,0.050562309101223946,0.06644322909414768,0.45809474232170744,0.027658769772238283,VN,ridge_portable,10,2021-01-27,2021-03-03,0.0001291555334236305,0.02880547079257667
1930,0.009315451179251255,0.025280487825511972,0.025518201384693386,0.03136495672515597,0.4626943005181347,0.05041497989773983,VN,ridge_portable,11,2021-03-04,2021-04-01,0.010510258215081336,0.021660966779745654
1929,-0.007090474669644298,0.031512874219333756,0.03129100613296032,0.03892600847175345,0.3960601347848626,0.03755144289142345,VN,ridge_portable,12,2021-04-02,2021-05-05,-0.004694593736086272,0.025654945621499795
1926,0.0009563125821037133,0.03388280628132634,0.0339152398519218,0.04146470263367519,0.5254413291796469,0.043443873339900255,VN,ridge_portable,13,2021-05-06,2021-06-03,0.01641259711019627,0.0317314944404643
1928,0.00586128462763591,0.03156109420524444,0.03174717342481017,0.03995287296129389,0.47977178423236516,0.0465804800671195,VN,ridge_portable,14,2021-06-04,2021-07-02,0.0013611761668966826,0.029073365175281647
1929,-0.002924239320212685,0.042584345670184126,0.04246018193662167,0.05453760687960313,0.3799896319336444,0.02848616024205007,VN,ridge_portable,15,2021-07-05,2021-08-02,-0.003268068246185196,0.0322821373178158
1939,0.001138781678203915,0.03318162975483574,0.03321945946663618,0.042818643094506115,0.4981949458483754,0.04553672003924663,VN,ridge_portable,16,2021-08-03,2021-08-31,0.003066032340584668,0.029405348125146703
1945,-0.006205874177071857,0.029882106863078663,0.029697806015610697,0.03642278157058172,0.42622107969151674,0.04085563276928793,VN,ridge_portable,17,2021-09-01,2021-10-01,0.0029464425080240053,0.02672766308533028
