market,metric,n_folds,mean_delta_context_vs_portable,ci95_low,ci95_high,p_boot_delta_le_0,positive_delta_folds
JP,rel_score,31,-0.0012715961819670062,-0.002896208331263784,0.0004736766910265525,0.92535,10
US,rel_score,32,-0.0035842408661389408,-0.008982170351823734,0.0013798193030826731,0.91675,14
VN,rel_score,32,0.0003690582826195582,-0.0026071893958121207,0.0033162865672535643,0.4044,16
JP,alpha_rel_score,31,0.0005208037982108091,-0.0016390804764457318,0.002659350723646456,0.3111,16
US,alpha_rel_score,32,0.0034791139319849222,0.0006741912355195683,0.0062135431555255275,0.00755,21
VN,alpha_rel_score,32,0.00037642218874494107,-0.0018417133464097984,0.0026241341720863076,0.36395,15
