n,rel_score,absE_robust,base_robust,absE_q90,DA,pred_actual_q90_ratio,market,model
60655,0.0032538164621969123,0.02987154288566671,0.02996905669569969,0.03605675424914807,0.5201879482318028,0.07473812840380323,VN,ensemble_mean_raw
60655,0.0028532653743387204,0.029883547023928255,0.02996905669569969,0.03608544783492106,0.5201879482318028,0.09342266147109936,VN,ensemble_mean_train_cal
60655,0.002884776239492237,0.02988260267302394,0.02996905669569969,0.03600592827424407,0.5134284065617014,0.07999294037062803,VN,ensemble_median_raw
60655,0.0005734413911598901,0.02995187119813636,0.02996905669569969,0.036162747419439256,0.5134284065617014,0.11598976263548832,VN,ensemble_median_train_cal
60655,0.0018515926984323805,0.029913566209143025,0.02996905669569969,0.036170137848239386,0.5102959360316545,0.09562949013002195,VN,seed43_raw
60655,0.0007692055294298283,0.029946004331577562,0.02996905669569969,0.03623960085678844,0.5102959360316545,0.1099739202206735,VN,seed43_train_cal
60655,0.002165631845218896,0.02990415475214831,0.02996905669569969,0.03611561314901336,0.5251669277058775,0.1155652535739625,VN,seed52_raw
60655,0.004150951968110328,0.029844656580826266,0.02996905669569969,0.03604296407429501,0.5251669277058775,0.08667394018047188,VN,seed52_train_cal
60655,-0.0017078358385300696,0.030020238924771545,0.02996905669569969,0.036283187754452224,0.5115654109306735,0.09732375118703285,VN,seed62_raw
60655,0.0003192576074450004,0.029959488846361636,0.02996905669569969,0.03615180836059153,0.5115654109306735,0.029197124325341498,VN,seed62_train_cal
60655,0.0016175213919439324,0.029920581105398015,0.02996905669569969,0.03613766204798594,0.5158024894897371,0.07021344702667033,VN,seed71_raw
60655,0.0016600606447437771,0.029919306244119065,0.02996905669569969,0.036083049880107854,0.5158024894897371,0.03159605148411676,VN,seed71_train_cal
60655,0.0012739247581287083,0.029930878372397274,0.02996905669569969,0.03601767809595913,0.5024647597065369,0.09944698066715617,VN,seed82_raw
60655,0.001274805378220445,0.029930851981043817,0.02996905669569969,0.03601081594824791,0.5024647597065369,0.1044193221630204,VN,seed82_train_cal
60655,0.0028532653743387204,0.029883547023928255,0.02996905669569969,0.03608544783492106,0.5201879482318028,0.09342266147109936,VN,selected_train_only_portable_ensemble
58998,-0.0022227310097384656,0.020158699099556553,0.020113991107791662,0.02420196780585686,0.506593443845554,0.0604260735240131,US,ensemble_mean_raw
58998,-0.005607444901450043,0.02022677920467686,0.020113991107791662,0.02428535360377282,0.506593443845554,0.09063910980384336,US,ensemble_mean_train_cal
58998,-0.0021965423256640193,0.020158172340597958,0.020113991107791662,0.02419177597621456,0.5055256110376622,0.05727203891787455,US,ensemble_median_raw
58998,-0.003149326394049634,0.020177336630877108,0.020113991107791662,0.0242355655413121,0.5055256110376622,0.07731725673406425,US,ensemble_median_train_cal
58998,-0.00891282397928439,0.0202932635700563,0.020113991107791662,0.02443200529669412,0.5052374656768026,0.11860875923738849,US,seed43_raw
58998,-0.005687207866229782,0.02022838355624117,0.020113991107791662,0.024344799434766175,0.5052374656768026,0.0948870075827813,US,seed43_train_cal
58998,-0.0008246507590892183,0.02013057812582702,0.020113991107791662,0.024120053718797867,0.5033221465134411,0.07827075887486906,US,seed52_raw
58998,-0.003622522417049412,0.020186854491475968,0.020113991107791662,0.024190229002851994,0.5033221465134411,0.10566553267806995,US,seed52_train_cal
