market,candidate,baseline,metric,n_folds,mean_delta,ci95_low,ci95_high,p_boot_delta_le_0,positive_delta_folds
JP,selected_train_only_portable_ensemble,seed82_raw,alpha_rel_score,31,8.668462543750461e-05,-0.002200170018618039,0.0022934903016542524,0.4621,18
JP,selected_train_only_portable_ensemble,ensemble_mean_train_cal,alpha_rel_score,31,5.790077458183019e-05,-0.0013170709825348237,0.0014810437394619652,0.4754,14
JP,selected_train_only_portable_ensemble,ensemble_median_train_cal,alpha_rel_score,31,0.0,0.0,0.0,1.0,0
JP,selected_train_only_portable_ensemble,seed71_train_cal,alpha_rel_score,31,-8.363076998852934e-05,-0.0023477504292929714,0.0022566428223662785,0.5375,14
JP,selected_train_only_portable_ensemble,seed43_train_cal,alpha_rel_score,31,-0.0007741353306578185,-0.0024375360754100477,0.0008703494851929497,0.8185,14
JP,selected_train_only_portable_ensemble,seed52_train_cal,alpha_rel_score,31,-0.0008322614094180415,-0.0033063107811530028,0.0017448047492184269,0.7417,11
US,selected_train_only_portable_ensemble,seed43_raw,alpha_rel_score,32,0.002962848646948707,-0.0005733296336376108,0.007094842626023622,0.0569,20
US,selected_train_only_portable_ensemble,seed62_train_cal,alpha_rel_score,32,0.0014652818355394247,-0.0009608419681614625,0.004080485413910369,0.12355,17
US,selected_train_only_portable_ensemble,seed62_raw,alpha_rel_score,32,0.0010796964810902282,-0.0012762426390673198,0.00354619591774099,0.1879,16
US,selected_train_only_portable_ensemble,seed43_train_cal,alpha_rel_score,32,0.0005509852569842953,-0.0023557307843826347,0.0036526970272644176,0.36895,16
US,selected_train_only_portable_ensemble,ensemble_mean_train_cal,alpha_rel_score,32,0.0,0.0,0.0,1.0,0
US,selected_train_only_portable_ensemble,ensemble_median_train_cal,alpha_rel_score,32,-0.00037229727640559693,-0.002081286108585284,0.0013110394025295231,0.6579,16
US,selected_train_only_portable_ensemble,seed52_train_cal,alpha_rel_score,32,-0.0017329504593154542,-0.005030405467357242,0.001540806480196644,0.85,14
US,selected_train_only_portable_ensemble,seed82_train_cal,alpha_rel_score,32,-0.0020448688691627644,-0.004022632428698264,-5.144358361702365e-05,0.9782,10
US,selected_train_only_portable_ensemble,ensemble_median_raw,alpha_rel_score,32,-0.002624691024241621,-0.004631996840538469,-0.0006705287975999145,0.9961,11
US,selected_train_only_portable_ensemble,ensemble_mean_raw,alpha_rel_score,32,-0.0028025492166241436,-0.004492719847166591,-0.001179763462978951,0.9995,9
US,selected_train_only_portable_ensemble,seed82_raw,alpha_rel_score,32,-0.003056830609241192,-0.0049122409106843925,-0.0011573910177504663,0.99945,9
US,selected_train_only_portable_ensemble,seed52_raw,alpha_rel_score,32,-0.0030901403204224923,-0.006190109672853214,2.1034059631874376e-06,0.9749,11
US,selected_train_only_portable_ensemble,seed71_raw,alpha_rel_score,32,-0.003198576432781288,-0.0057817749268058724,-0.0006895886326836108,0.99465,13
US,selected_train_only_portable_ensemble,seed71_train_cal,alpha_rel_score,32,-0.0036906661526954175,-0.006295000084148467,-0.0011751753772867518,0.9981,10
VN,selected_train_only_portable_ensemble,seed62_raw,alpha_rel_score,32,0.005623048807041689,0.002359152315837113,0.009089246160045498,0.0002,24
VN,selected_train_only_portable_ensemble,ensemble_median_train_cal,alpha_rel_score,32,0.0024722602113786477,0.0007475680508200224,0.004159056010652467,0.00245,22
VN,selected_train_only_portable_ensemble,seed43_train_cal,alpha_rel_score,32,0.0020794239837168722,-0.0008220249894573803,0.005596630865045016,0.09245,19
VN,selected_train_only_portable_ensemble,seed62_train_cal,alpha_rel_score,32,0.0016414430995862102,-0.003227408073379626,0.006254363178614496,0.2474,19
VN,selected_train_only_portable_ensemble,seed82_train_cal,alpha_rel_score,32,0.0016047819857446868,-0.0017374900797515658,0.004652949607026564,0.1611,19
VN,selected_train_only_portable_ensemble,seed82_raw,alpha_rel_score,32,0.0015628098124605208,-0.0017009358316485606,0.004454089471723245,0.15615,21
VN,selected_train_only_portable_ensemble,seed71_raw,alpha_rel_score,32,0.001508806864874663,-0.0011509932695316471,0.004360934211637187,0.14225,15
VN,selected_train_only_portable_ensemble,seed43_raw,alpha_rel_score,32,0.0008356281709318153,-0.0015081562812207917,0.0033991595145408224,0.25795,18
VN,selected_train_only_portable_ensemble,seed71_train_cal,alpha_rel_score,32,0.0002634306905838074,-0.0034960919469111695,0.003991723427789491,0.448,18
VN,selected_train_only_portable_ensemble,ensemble_median_raw,alpha_rel_score,32,6.22323420025328e-05,-0.001637036087355214,0.001760713568294771,0.46255,15
VN,selected_train_only_portable_ensemble,ensemble_mean_train_cal,alpha_rel_score,32,0.0,0.0,0.0,1.0,0
VN,selected_train_only_portable_ensemble,seed52_raw,alpha_rel_score,32,-0.00013230080363993424,-0.003506416713155643,0.0029852735978162354,0.5242,19
VN,selected_train_only_portable_ensemble,ensemble_mean_raw,alpha_rel_score,32,-0.0006151137452021227,-0.0017011311829722023,0.00041809072344191876,0.8716,15
VN,selected_train_only_portable_ensemble,seed52_train_cal,alpha_rel_score,32,-0.001929727986792664,-0.005003631671850216,0.0006379886543308789,0.91825,16
