n,rel_score,absE_robust,base_robust,absE_q90,DA,pred_actual_q90_ratio,market,model,alpha_rel_score,alpha_absE_robust,selected_from_train,selected_train_rel_score
16660,0.00450411909164028,0.02600569364540206,0.026123356353491545,0.03060355706111295,0.5177070828331333,0.04982978135414895,JP,ensemble_median_raw,-0.000885250231221324,0.020321411947952582,,
16660,0.002776088647957975,0.026050835600472055,0.026123356353491545,0.03068618819816038,0.5105042016806722,0.06454959049456116,JP,seed43_raw,-0.0010808402915623017,0.020325383098679598,,
16660,0.0026022616987919633,0.02605537654380896,0.026123356353491545,0.03069459636026295,0.5129651860744298,0.058212696613741705,JP,seed62_raw,-0.002701453744209159,0.020358287123963238,,
16660,0.0021842314247291217,0.026066296897624852,0.026123356353491545,0.030676869188027922,0.5129651860744298,0.0523914259676794,JP,seed62_train_cal,-0.0014278327264303226,0.020332428238180003,,
16660,0.002051464097022171,0.02606976522583864,0.026123356353491545,0.030648293968988587,0.5155462184873949,0.024809016439977523,JP,ensemble_mean_train_cal,-0.0011012515227240005,0.020325797516852616,,
16660,0.001822426799348964,0.026075748448784,0.026123356353491545,0.030673611076781532,0.5155462184873949,0.05513114991675175,JP,ensemble_mean_raw,-0.0024660497923483238,0.02035350761434529,,
16660,0.0017711933147559478,0.026077086839359255,0.026123356353491545,0.030691099277464672,0.5105042016806722,0.029047315305953697,JP,seed43_train_cal,0.0005487938923189883,0.020292295921535697,,
16660,0.0017537461835253065,0.02607754261698574,0.026123356353491545,0.03068181350536179,0.5177070828331333,0.024914890677074475,JP,ensemble_median_train_cal,-1.2805308602148457e-05,0.020303698316274675,,
16660,0.0017537461835253065,0.02607754261698574,0.026123356353491545,0.03068181350536179,0.5177070828331333,0.024914890677074475,JP,selected_train_only_portable_ensemble,-1.2805308602148457e-05,0.020303698316274675,ensemble_median_train_cal,0.0012879569378247968
16660,0.0009839840433388813,0.026097651387681255,0.026123356353491545,0.030821753822965547,0.5121848739495798,0.06006463709594246,JP,seed82_train_cal,0.0011022395952865471,0.020281059070839547,,
16660,0.000441624409620589,0.026111819641664626,0.026123356353491545,0.030698020663112405,0.5103241296518607,0.08173076550177272,JP,seed71_raw,-0.0024291119617443346,0.020352757649379785,,
16660,0.0001766689150949352,0.026118741168465937,0.026123356353491545,0.030730797511932913,0.514405762304922,0.006538748748249287,JP,seed52_train_cal,-0.0008140262791134223,0.020319965856833735,,
16660,-0.00015666381399159768,0.026127448938132146,0.026123356353491545,0.03085228837080649,0.5121848739495798,0.044492323213696325,JP,seed82_raw,0.001020283040035208,0.02028272307070438,,
16660,-0.0003207090187391515,0.02613173434947385,0.026123356353491545,0.030763872795796492,0.5103241296518607,0.016346153213972408,JP,seed71_train_cal,-0.000825714164800706,0.020320203161099927,,
