variant,seed,split,rel_score,rel_score_vol_clipped,median_abs_error,q90_abs_error,daily_q90_p90,daily_q90_max,daily_q90_clipped_p90,daily_q90_clipped_max,directional_accuracy,spike_days_ge_5pct,spike_days_ge_8pct,spike_days_clipped_ge_8pct,mean_sigma,median_sigma,pred_actual_q90_ratio,mean_risk,static_error_label_rate_train,static_error_label_rate_val
stage1_hetero,43,train,0.020331612084414807,0.020331612084414807,0.009590482339262962,0.03501633182168007,0.047764297835528866,0.08251670300960542,0.047764297835528866,0.08251670300960542,0.47779672519097255,148,2,2,0.020993858575820923,0.019647816196084023,0.15063060820102692,,,
stage1_hetero,43,val,0.019603130686455694,0.019603130686455694,0.01249893568456173,0.04890599474310875,0.06445666760206223,0.11692428961396217,0.06445666760206223,0.11692428961396217,0.5054181487302506,163,13,13,0.024399731308221817,0.022910188883543015,0.15246358513832092,,,
stage2_static_error_riskaux,43,train,0.03196632213911277,0.03196632213911277,0.009624759666621685,0.034304119646549225,0.04666355926543475,0.08871450424194337,0.04666355926543475,0.08871450424194337,0.48727139849310064,120,1,1,0.021130651235580444,0.019576765596866608,0.20914988219738007,0.43581682443618774,0.10012354701757431,0.16883116960525513
stage2_static_error_riskaux,43,val,0.028764246669274574,0.028764246669274574,0.012663129717111588,0.04788702726364136,0.0632068172097206,0.11735066026449203,0.0632068172097206,0.11735066026449203,0.5076515840847051,160,10,10,0.025305354967713356,0.023978257551789284,0.22902309894561768,0.5336175560951233,0.10012354701757431,0.16883116960525513
stage1_hetero,52,train,0.025894957268431718,0.025894957268431718,0.009599041193723679,0.03469143807888031,0.04667998805642128,0.08523715138435364,0.04667998805642128,0.08523715138435364,0.4833301432076424,144,2,2,0.02020559459924698,0.01884869486093521,0.1669696569442749,,,
stage1_hetero,52,val,0.029944167333128546,0.029944167333128546,0.012580705806612968,0.04796293005347252,0.06344195306301116,0.11766541600227357,0.06344195306301116,0.11766541600227357,0.5024236909587229,167,10,10,0.0242021307349205,0.022607533261179924,0.16809123754501343,,,
stage2_static_error_riskaux,52,train,0.03162546283448253,0.03162546283448253,0.009626141749322414,0.03432021290063858,0.046799989640712754,0.09347387701272966,0.046799989640712754,0.09347387701272966,0.4881066314012772,130,2,2,0.020495615899562836,0.019034894183278084,0.18956948816776276,0.4282146394252777,0.09861838817596436,0.16888080537319183
stage2_static_error_riskaux,52,val,0.030497947938386227,0.030497947938386227,0.012622673064470291,0.04783725365996361,0.06377888381481175,0.13303612172603607,0.06377888381481175,0.13303612172603607,0.5066920340805691,164,10,10,0.02432069182395935,0.022547664120793343,0.20781193673610687,0.5246635675430298,0.09861838817596436,0.16888080537319183
stage1_hetero,62,train,0.01362862486865879,0.01362862486865879,0.0097136115655303,0.03514089807868004,0.0478207966312766,0.09161304086446763,0.0478207966312766,0.09161304086446763,0.47222850580312864,153,4,4,0.021246014162898064,0.0194295272231102,0.17119942605495453,,,
stage1_hetero,62,val,0.026512840741454102,0.026512840741454102,0.012530678883194923,0.048321645706892014,0.0643064470589161,0.11203710585832596,0.0643064470589161,0.11203710585832596,0.5005045909504509,157,17,17,0.025144774466753006,0.023283326998353004,0.16194258630275726,,,
stage2_static_error_riskaux,62,train,0.012856912103513585,0.012856912103513585,0.009752104058861732,0.0351066030561924,0.04791702169924975,0.08098433315753938,0.04791702169924975,0.08098433315753938,0.4721850040891611,156,1,1,0.02094222605228424,0.018955670297145844,0.16991326212882996,0.4203634262084961,0.10069777071475983,0.16853338479995728
stage2_static_error_riskaux,62,val,0.017181520419581098,0.017181520419581098,0.012732489965856075,0.04862143099308014,0.06393476277589798,0.11473715752363205,0.06393476277589798,0.11473715752363205,0.4989825461163041,173,9,9,0.02486715279519558,0.022464340552687645,0.1760331690311432,0.5203884840011597,0.10069777071475983,0.16853338479995728
