context_run,stocks,stock_count_config,window_size,lstm_units,dropout,lr,target_normalizer,lstm_use_stock_identity,context_best_model,context_best_val_rel_score,context_best_test_rel_score,preset,expert_run,expert_model,market_model,method,weight_expert,code_count,overlap_codes,agreement_rate,val_rows,test_rows,committee_val_rel_score,committee_test_rel_score,expert_val_rel_score_overlap,expert_test_rel_score_overlap,market_val_rel_score_overlap,market_test_rel_score_overlap,summary_path,committee_gain_vs_expert_test,committee_gain_vs_market_test,stable_committee
overnight_shared_vn100_w20_u64_32_relscore_20260408_173407,"ACB,ANV,BCM,BID,BMP,BSI,BVH,BWE,CII,CMG,CTD,CTG,CTR,CTS,DBC,DCM,DGC,DGW,DIG,DPM,DSE,DXG,DXS,EIB,EVF,FPT,FRT,FTS,GAS,GEE,GEX,GMD,GVR,HAG,HCM,HDB,HDC,HDG,HHV,HPG,HSG,HT1,IMP,KBC,KDC,KDH,KOS,LPB,MBB,MSB,MSN,MWG,NAB,NKG,NLG,NT2,OCB,PAN,PC1,PDR,PHR,PLX,PNJ,POW,PPC,PTB,PVD,PVT,REE,SAB,SBT,SCS,SHB,SIP,SJS,SSB,SSI,STB,SZC,TCB,TCH,TLG,TPB,VCB,VCG,VCI,VGC,VHC,VHM,VIB,VIC,VIX,VJC,VND,VNM,VPB,VPI,VRE,VSC,VTP",100,20,"[64, 32]",0.05,0.0005,volatility_20,True,lstm_signmag_seed_62,0.001525956606246437,0.002659591656941407,fnb,mini_tpdouong_g06_uncertainty_sidecar,lstm_best_by_val,lstm_best_by_val,agree_only,0.3,4,"KDC,SAB,SBT,VNM",0.5485367293581851,997,1165,0.0291000242436317,0.0468606901570505,0.0210126484668067,0.0504846557586291,-0.0101492057142618,-0.008707676792512,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/reports/committee_experiments/overnight_shared_vn100_w20_u64_32_relscore_20260408_173407__committee__fnb/best_committee_summary.json,-0.0036239656015785993,0.0555683669495625,1
overnight_shared_vn100_w60_u64_32_relscore_20260408_173407,"ACB,ANV,BCM,BID,BMP,BSI,BVH,BWE,CII,CMG,CTD,CTG,CTR,CTS,DBC,DCM,DGC,DGW,DIG,DPM,DSE,DXG,DXS,EIB,EVF,FPT,FRT,FTS,GAS,GEE,GEX,GMD,GVR,HAG,HCM,HDB,HDC,HDG,HHV,HPG,HSG,HT1,IMP,KBC,KDC,KDH,KOS,LPB,MBB,MSB,MSN,MWG,NAB,NKG,NLG,NT2,OCB,PAN,PC1,PDR,PHR,PLX,PNJ,POW,PPC,PTB,PVD,PVT,REE,SAB,SBT,SCS,SHB,SIP,SJS,SSB,SSI,STB,SZC,TCB,TCH,TLG,TPB,VCB,VCG,VCI,VGC,VHC,VHM,VIB,VIC,VIX,VJC,VND,VNM,VPB,VPI,VRE,VSC,VTP",100,60,"[64, 32]",0.05,0.0005,volatility_20,True,lstm_signmag_ensemble,-0.0015933095666911257,0.001954836139695715,fnb,mini_tpdouong_g06_uncertainty_sidecar,lstm_best_by_val,lstm_ensemble,agree_only,0.15,4,"KDC,SAB,SBT,VNM",0.5953663332478413,997,1165,0.0277844397076703,0.0410452417741327,0.0210126484668067,0.0504846557586291,0.0027077588930235,0.0032691280140447,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/reports/committee_experiments/overnight_shared_vn100_w60_u64_32_relscore_20260408_173407__committee__fnb/best_committee_summary.json,-0.009439413984496402,0.037776113760088,1
overnight_shared_vn100_w20_u64_32_relscore_20260408_173407,"ACB,ANV,BCM,BID,BMP,BSI,BVH,BWE,CII,CMG,CTD,CTG,CTR,CTS,DBC,DCM,DGC,DGW,DIG,DPM,DSE,DXG,DXS,EIB,EVF,FPT,FRT,FTS,GAS,GEE,GEX,GMD,GVR,HAG,HCM,HDB,HDC,HDG,HHV,HPG,HSG,HT1,IMP,KBC,KDC,KDH,KOS,LPB,MBB,MSB,MSN,MWG,NAB,NKG,NLG,NT2,OCB,PAN,PC1,PDR,PHR,PLX,PNJ,POW,PPC,PTB,PVD,PVT,REE,SAB,SBT,SCS,SHB,SIP,SJS,SSB,SSI,STB,SZC,TCB,TCH,TLG,TPB,VCB,VCG,VCI,VGC,VHC,VHM,VIB,VIC,VIX,VJC,VND,VNM,VPB,VPI,VRE,VSC,VTP",100,20,"[64, 32]",0.05,0.0005,volatility_20,True,lstm_signmag_seed_62,0.001525956606246437,0.002659591656941407,bank,mini_ngan_hang_g02_return_w20_pruned_v2,lstm_signmag_best_by_val,lstm_best_by_val,avg,0.85,6,"ACB,BID,CTG,MBB,TCB,VCB",0.6047030552694816,1500,1751,0.0238338775980014,0.0091335617327646,0.0188510127061662,0.002469519802999,0.0068154260192735,0.0058023606913718,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/reports/committee_experiments/overnight_shared_vn100_w20_u64_32_relscore_20260408_173407__committee__bank/best_committee_summary.json,0.0066640419297656,0.0033312010413928004,1
overnight_shared_vn30_w20_u64_32_relscore_20260408_173407,"ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE",30,20,"[64, 32]",0.05,0.0005,volatility_20,True,lstm_signmag_ensemble,0.0070077787671193326,0.003349501867709659,bank,mini_ngan_hang_g02_return_w20_pruned_v2,lstm_signmag_best_by_val,lstm_signmag_best_by_val,avg,0.9,6,"ACB,BID,CTG,MBB,TCB,VCB",0.5989243620551551,1500,1751,0.0200026691136061,0.0042236609065012,0.0188510127061662,0.002469519802999,0.0106567004208369,0.0153828891079463,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/reports/committee_experiments/overnight_shared_vn30_w20_u64_32_relscore_20260408_173407__committee__bank/best_committee_summary.json,0.0017541411035022002,-0.0111592282014451,1
overnight_shared_vn30_w60_u64_32_relscore_20260408_173407,"ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE",30,60,"[64, 32]",0.05,0.0005,volatility_20,True,lstm_signmag_top2_by_val,0.005990263750361269,0.00042220731564635017,bank,mini_ngan_hang_g02_return_w20_pruned_v2,lstm_signmag_best_by_val,lstm_ensemble,avg,0.95,6,"ACB,BID,CTG,MBB,TCB,VCB",0.6889430328344356,1500,1751,0.0198522035018473,0.0040301734051902,0.0188510127061662,0.002469519802999,-0.0033383051636062,0.004366778142253,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/reports/committee_experiments/overnight_shared_vn30_w60_u64_32_relscore_20260408_173407__committee__bank/best_committee_summary.json,0.0015606536021911996,-0.00033660473706280045,1
overnight_shared_vn100_w60_u64_32_relscore_20260408_173407,"ACB,ANV,BCM,BID,BMP,BSI,BVH,BWE,CII,CMG,CTD,CTG,CTR,CTS,DBC,DCM,DGC,DGW,DIG,DPM,DSE,DXG,DXS,EIB,EVF,FPT,FRT,FTS,GAS,GEE,GEX,GMD,GVR,HAG,HCM,HDB,HDC,HDG,HHV,HPG,HSG,HT1,IMP,KBC,KDC,KDH,KOS,LPB,MBB,MSB,MSN,MWG,NAB,NKG,NLG,NT2,OCB,PAN,PC1,PDR,PHR,PLX,PNJ,POW,PPC,PTB,PVD,PVT,REE,SAB,SBT,SCS,SHB,SIP,SJS,SSB,SSI,STB,SZC,TCB,TCH,TLG,TPB,VCB,VCG,VCI,VGC,VHC,VHM,VIB,VIC,VIX,VJC,VND,VNM,VPB,VPI,VRE,VSC,VTP",100,60,"[64, 32]",0.05,0.0005,volatility_20,True,lstm_signmag_ensemble,-0.0015933095666911257,0.001954836139695715,bank,mini_ngan_hang_g02_return_w20_pruned_v2,lstm_signmag_best_by_val,lstm_ensemble,agree_only,0.3,6,"ACB,BID,CTG,MBB,TCB,VCB",0.6294813783501566,1500,1751,0.0189901877165957,0.0029979393123471,0.0188510127061662,0.002469519802999,0.0019011814789878,0.0050356304954359,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/reports/committee_experiments/overnight_shared_vn100_w60_u64_32_relscore_20260408_173407__committee__bank/best_committee_summary.json,0.0005284195093480997,-0.0020376911830888,1
overnight_shared_vn100_w60_u64_32_relscore_20260408_173407,"ACB,ANV,BCM,BID,BMP,BSI,BVH,BWE,CII,CMG,CTD,CTG,CTR,CTS,DBC,DCM,DGC,DGW,DIG,DPM,DSE,DXG,DXS,EIB,EVF,FPT,FRT,FTS,GAS,GEE,GEX,GMD,GVR,HAG,HCM,HDB,HDC,HDG,HHV,HPG,HSG,HT1,IMP,KBC,KDC,KDH,KOS,LPB,MBB,MSB,MSN,MWG,NAB,NKG,NLG,NT2,OCB,PAN,PC1,PDR,PHR,PLX,PNJ,POW,PPC,PTB,PVD,PVT,REE,SAB,SBT,SCS,SHB,SIP,SJS,SSB,SSI,STB,SZC,TCB,TCH,TLG,TPB,VCB,VCG,VCI,VGC,VHC,VHM,VIB,VIC,VIX,VJC,VND,VNM,VPB,VPI,VRE,VSC,VTP",100,60,"[64, 32]",0.05,0.0005,volatility_20,True,lstm_signmag_ensemble,-0.0015933095666911257,0.001954836139695715,bds,mini_bat_ong_san_g01_return_w20_pruned_v2,lstm_signmag_best_by_val,lstm_ensemble,agree_only,0.0,6,"DIG,DXG,KOS,NLG,TCH,VHM",0.6276595744680851,1497,1725,0.0099363104077828,0.0146933739091181,0.0038539796304375,0.0316054719026795,-0.010325939316677,0.0123211567207958,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/reports/committee_experiments/overnight_shared_vn100_w60_u64_32_relscore_20260408_173407__committee__bds/best_committee_summary.json,-0.016912097993561397,0.0023722171883223,1
overnight_shared_vn100_w20_u64_32_relscore_20260408_173407,"ACB,ANV,BCM,BID,BMP,BSI,BVH,BWE,CII,CMG,CTD,CTG,CTR,CTS,DBC,DCM,DGC,DGW,DIG,DPM,DSE,DXG,DXS,EIB,EVF,FPT,FRT,FTS,GAS,GEE,GEX,GMD,GVR,HAG,HCM,HDB,HDC,HDG,HHV,HPG,HSG,HT1,IMP,KBC,KDC,KDH,KOS,LPB,MBB,MSB,MSN,MWG,NAB,NKG,NLG,NT2,OCB,PAN,PC1,PDR,PHR,PLX,PNJ,POW,PPC,PTB,PVD,PVT,REE,SAB,SBT,SCS,SHB,SIP,SJS,SSB,SSI,STB,SZC,TCB,TCH,TLG,TPB,VCB,VCG,VCI,VGC,VHC,VHM,VIB,VIC,VIX,VJC,VND,VNM,VPB,VPI,VRE,VSC,VTP",100,20,"[64, 32]",0.05,0.0005,volatility_20,True,lstm_signmag_seed_62,0.001525956606246437,0.002659591656941407,bds,mini_bat_ong_san_g01_return_w20_pruned_v2,lstm_best_by_val,lstm_signmag_best_by_val,agree_only,0.9,6,"DIG,DXG,KOS,NLG,TCH,VHM",0.6785051683010866,1497,1725,0.0054130861264723,0.0097922333976611,0.0038635971436931,0.0086325318964723,-0.0108437604449931,0.0296532227181461,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/reports/committee_experiments/overnight_shared_vn100_w20_u64_32_relscore_20260408_173407__committee__bds/best_committee_summary.json,0.0011597015011887996,-0.019860989320485002,1
overnight_shared_vn30_w20_u64_32_relscore_20260408_173407,"ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE",30,20,"[64, 32]",0.05,0.0005,volatility_20,True,lstm_signmag_ensemble,0.0070077787671193326,0.003349501867709659,bds,mini_bat_ong_san_g01_return_w20_pruned_v2,lstm_signmag_best_by_val,lstm_signmag_best_by_val,agree_only,0.15,1,VHM,0.6137413394919169,250,292,0.0499923848321094,0.0460006043647284,0.033769999540039,0.0771892544564716,0.024499260470805,0.0386661003259014,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/reports/committee_experiments/overnight_shared_vn30_w20_u64_32_relscore_20260408_173407__committee__bds/best_committee_summary.json,-0.031188650091743195,0.007334504038827003,0
overnight_shared_vn30_w60_u64_32_relscore_20260408_173407,"ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE",30,60,"[64, 32]",0.05,0.0005,volatility_20,True,lstm_signmag_top2_by_val,0.005990263750361269,0.00042220731564635017,bds,mini_bat_ong_san_g01_return_w20_pruned_v2,lstm_signmag_best_by_val,lstm_signmag_best_by_val,agree_only,0.6,1,VHM,0.758274231678487,250,292,0.0353710674688124,0.0863979574563377,0.033769999540039,0.0771892544564716,0.021281191814419,0.0712547058776063,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/reports/committee_experiments/overnight_shared_vn30_w60_u64_32_relscore_20260408_173407__committee__bds/best_committee_summary.json,0.009208702999866106,0.015143251578731406,0
