metric,value
market,VN
rows,277096
tickers,93
date_start,2012-03-19
date_end,2026-03-31
target_price_mean,24945.65307497142
target_growth_pct_mean,0.0781459984582902
target_return_mean,0.000781459984582902
target_return_std,0.023689809667294434
target_return_3d_mean,0.0024426268482741795
target_return_3d_std,0.04253491073570826
target_return_5d_mean,0.0040902257640825015
target_return_5d_std,0.055394514783127465
