candidate,split,n_obs,n_days,rel_score,q90_abs_error,daily_q90_abs_error_q90,daily_q90_abs_error_max,spike_days_ge_7pct,spike_days_ge_8pct,prediction_actual_abs_q90_ratio,directional_accuracy
base,train,129720,1970,0.024857359033679804,0.03612909581000001,0.04881449456400001,0.08127612180000002,18,2,0.15251930543994288,0.47605612087573235
weighted,train,129720,1970,0.021809534211236214,0.03601314077,0.04765289694484,0.08285148390000001,16,2,0.17339368204256458,0.47660345359235273
instance,train,129720,1970,0.019270640045479737,0.0364317562,0.049415116074000016,0.07519305476,15,0,0.12420837341715589,0.4656799259944496
tail_loss,train,129720,1970,0.03133394447368443,0.03563881489,0.04729303032600001,0.0877925231,13,1,0.17790909299545837,0.48213845205057043
tailstress,train,129720,1970,0.025513399807220893,0.035853732065000005,0.048306502918000004,0.08267447450000003,11,1,0.18061580631460947,0.4799799568300956
tailstress_past,train,129720,1970,0.005455322922331862,0.03672031121400002,0.04814046570700001,0.0757036156,15,0,0.10752134232362964,0.45295251310514956
simplex_rel,train,129720,1970,0.032415508686036376,0.03560340127400001,0.047538586776505645,0.08565949924,10,1,0.17192275631618897,0.48372648781991984
simplex_tail,train,129720,1970,0.03133394447368443,0.03563881489,0.04729303032600001,0.0877925231,13,1,0.17790909299545837,0.48213845205057043
gate_disagreement,train,129720,1970,0.02924740844097673,0.035711759284000014,0.04731920117400001,0.08267447450000003,14,1,0.1826419750319748,0.48161424606845515
conservative_disagreement,train,129720,1970,0.02957384901558835,0.03571072063,0.047406168131,0.0877925231,13,1,0.1741470185061035,0.4811285846438483
gate_tailstress_abs,train,129720,1970,0.03153182021472778,0.03559301079000001,0.047274052039,0.08267447450000003,13,1,0.18447195167423255,0.4826472402096824
conservative_tailstress_abs,train,129720,1970,0.02871951293877195,0.03576440184,0.047553282138000016,0.0877925231,12,1,0.16937857227521583,0.4805118717237126
gate_mean_positive_gap,train,129720,1970,0.03009396622941385,0.03568293367000001,0.04726308408499999,0.0877925231,15,1,0.17999718308490156,0.4815063213074314
conservative_mean_positive_gap,train,129720,1970,0.027695170069879538,0.03580528101000003,0.048306502918000004,0.08267447450000003,9,1,0.17828205628052193,0.48156028368794324
base,val,60468,659,0.017189077193335178,0.04917587808000003,0.06497015621200002,0.09361318569,39,14,0.1420580994341595,0.5046966990805054
weighted,val,60468,659,0.029684095295879565,0.048308059400000006,0.0645999102,0.105079948,40,10,0.1495315274379833,0.5092114837600052
instance,val,60468,659,0.00447697881640885,0.05010445294000001,0.06570958523960002,0.08183383,36,2,0.11649315532727784,0.4955844413574122
tail_loss,val,60468,659,0.025796529458296247,0.0483593494,0.06405257640800001,0.100071732,37,11,0.1682988339370787,0.5076073294965933
tailstress,val,60468,659,0.026518234389765305,0.04830481465,0.06264515912399998,0.10549410749999999,34,14,0.17896767110411432,0.5104021962029504
tailstress_past,val,60468,659,0.006916076595477771,0.04950318100000001,0.064800337168,0.0836141014,35,6,0.1049240297093898,0.4911688827148244
simplex_rel,val,60468,659,0.028180505694350155,0.048261595828,0.06377909053280001,0.10131271780000001,35,10,0.1575706988790126,0.5111298538069723
simplex_tail,val,60468,659,0.025796529458296247,0.0483593494,0.06405257640800001,0.100071732,37,11,0.1682988339370787,0.5076073294965933
gate_disagreement,val,60468,659,0.0258196593470581,0.048272077700000006,0.06345012678000002,0.10549410749999999,33,15,0.1811914913564432,0.5078884699345109
conservative_disagreement,val,60468,659,0.025689489082461048,0.04839375436000001,0.06438620572079999,0.100071732,37,11,0.167401754475851,0.5083019117549779
gate_tailstress_abs,val,60468,659,0.028305535883431765,0.04817349935000001,0.06369970206,0.10549410749999999,32,15,0.18866528115811684,0.508450750810346
conservative_tailstress_abs,val,60468,659,0.02526857459049736,0.04846991773,0.06383803924,0.100071732,39,11,0.15773517998699318,0.5062512403254614
gate_mean_positive_gap,val,60468,659,0.029368451580747412,0.04806305160000001,0.06357599388000003,0.10549410749999999,40,13,0.1826509822898239,0.5107494873321426
conservative_mean_positive_gap,val,60468,659,0.023386313991887175,0.04859661606000001,0.063784262628,0.100071732,32,10,0.16308845606383557,0.5057881854865384
