metric,value
market,JP
rows,103619
tickers,26
date_start,2010-01-04
date_end,2026-03-30
target_price_mean,4461.796370164233
target_growth_pct_mean,0.06745006362011367
target_return_mean,0.0006745006362011368
target_return_std,0.019799217692261943
