kind,policy,artifacts,mean_net_equity,min_net_equity,mean_net_sharpe,min_net_sharpe,worst_max_drawdown,max_avg_turnover,positive_artifacts,any_oracle,passes_all_artifacts,passes_risk_controls,stability_score
gate,vn_legacy_acc_all_else_transition_pressure_nonneg,4,1.4597818741355064,1.1864950032661794,0.9808580389196033,0.5511603878674934,-0.2172594505337014,0.1793343062392982,4,False,True,True,1.062192073139527
gate,conservative_prior_transition_pressure_nonneg,4,1.4058657166645645,1.0680334636373994,0.8695793091770381,0.2684191598583857,-0.2172594505337014,0.2100235507633008,4,False,True,False,0.8653729153774692
gate,vn_legacy_acc_markup_all_else_transition_pressure_nonneg,4,1.4058657166645645,1.0680334636373994,0.8695793091770381,0.2684191598583857,-0.2172594505337014,0.2100235507633008,4,False,True,False,0.8653729153774692
gate,vn_h1_distribution_transition,4,1.0803703593161433,1.0574899633746793,0.2816702737106526,0.2384419977155085,-0.3942739505480911,0.2172022093628594,4,False,True,False,0.6685259599147504
gate,baseline_all_committee_transition_mr20_pressure_nonneg,4,1.0941492896622473,1.0061215008305138,0.29886691704029444,0.1074182560269954,-0.2978545250312798,0.1662153884555254,4,False,True,False,0.6935676926921014
gate,baseline_all_committee_transition_pressure_nonneg,4,1.2441451847856664,1.0061181730455324,0.6047878513366235,0.1174645283766202,-0.2978545250312798,0.160739629311288,4,False,True,False,0.6974448727805855
gate,oracle_eval_phase_best_transition_pressure_nonneg,1,1.0938029204266646,1.0938029204266646,0.3365467854581188,0.3365467854581188,-0.2159605573242228,0.222304416027767,1,True,False,False,0.9064029554600298
gate,train_phase_best_transition_pressure_nonneg,2,1.3232361143519815,1.085380888190893,0.6788810989321029,0.3118420459930069,-0.227664096436996,0.2540744644320449,2,False,False,False,0.8721586871441376
gate,train_phase_robust_abstain_m10_dd20_t25_ts050_pf60_transition_pressure_nonneg,2,1.2376590547802273,1.0602957998801952,0.6451314879101705,0.3700742267924752,-0.2172594505337013,0.1675605988478012,2,False,False,False,0.8936647563326624
gate,train_phase_robust_abstain_m15_dd20_t25_ts050_pf60_transition_pressure_nonneg,2,1.195636207690052,1.0602957998801952,0.8134722637827452,0.3700742267924752,-0.1335625310409196,0.1357525631335155,2,False,False,False,0.9853136847540155
gate,train_phase_regularized_m10_dd20_t25_transition_pressure_nonneg,2,1.247496247722752,0.9938832407178348,0.5396420863170556,0.0798260340822651,-0.2172594505337012,0.2401177430505115,1,False,False,False,0.736550862942072
gate,train_phase_regularized_m15_dd20_t25_transition_pressure_nonneg,2,1.1007006848682386,0.9938832407178348,0.3097109692108916,0.0798260340822651,-0.2796492459583166,0.2255249401773158,1,False,False,False,0.6778092682357555
gate,vn_legacy_acc_all_else_transition_mr20_pressure_nonneg,4,1.2965755011096116,0.9817411775007407,0.6740889542306483,0.0380176541633675,-0.2613637000909201,0.1848100653835356,3,False,False,False,0.6836793746047787
