run_name,target_mode,stocks,feature_columns,window_size,lstm_units,best_lstm_model,best_lstm_val_rel_score,best_lstm_test_rel_score,lstm_test_rel_score,lstm_ensemble_test_rel_score,lstm_signmag_ensemble_test_rel_score,lstm_attention_ensemble_test_rel_score,run_dir
overnight_bds_return1d_stack48_24_w5_weighted,return,"VHM,KDH,NLG,DIG,DXG,PDR,NVL","alpha_sector,vwap_gap_20,volatility_20,gap_open,ma_200_gap,bb_width,effort_result_ratio,buying_pressure,selling_pressure,wyckoff_phase_60d,rsi_14,day_of_week,vingroup_momentum,vnindex_return,a_d_ratio",5,"[48, 24]",lstm,-0.01622310932601856,0.025334251123122042,0.025334251123122042,0.021535147550858613,0.015034763114050054,,data/processed/assets/data_info_vn/history/training_runs/overnight_bds_return1d_stack48_24_w5_weighted
overnight_bds_return1d_stack48_24_w5_attention,return,"VHM,KDH,NLG,DIG,DXG,PDR,NVL","alpha_sector,vwap_gap_20,volatility_20,gap_open,ma_200_gap,bb_width,effort_result_ratio,buying_pressure,selling_pressure,wyckoff_phase_60d,rsi_14,day_of_week,vingroup_momentum,vnindex_return,a_d_ratio",5,"[48, 24]",lstm_ensemble,-0.013281425301202798,0.024737428559377106,0.019040777539926945,0.024737428559377106,0.014222066719215887,0.0089743573587171,data/processed/assets/data_info_vn/history/training_runs/overnight_bds_return1d_stack48_24_w5_attention
overnight_bds_return1d_stack48_24_w5_core_fk,return,"VHM,KDH,NLG,DIG,DXG,PDR,NVL","alpha_sector,vwap_gap_20,volatility_20,gap_open,ma_200_gap,bb_width,effort_result_ratio,buying_pressure,selling_pressure,wyckoff_phase_60d,rsi_14,day_of_week,vingroup_momentum,vnindex_return,a_d_ratio",5,"[48, 24]",lstm_seed_52,-0.00603497353975202,0.023501788880632146,0.019040777539926945,0.018886967962426726,0.01331791268836402,,data/processed/assets/data_info_vn/history/training_runs/overnight_bds_return1d_stack48_24_w5_core_fk
overnight_bds_return1d_u32_w5_core,return,"VHM,KDH,NLG,DIG,DXG,PDR,NVL","alpha_sector,vwap_gap_20,volatility_20,gap_open,ma_200_gap,bb_width,effort_result_ratio,buying_pressure,selling_pressure,wyckoff_phase_60d,rsi_14,day_of_week,vingroup_momentum,vnindex_return,a_d_ratio",5,32,lstm_signmag_seed_52,-0.007776260899832188,0.013070392072656256,0.002778191966701593,0.006568479469112654,0.009569540495901308,,data/processed/assets/data_info_vn/history/training_runs/overnight_bds_return1d_u32_w5_core
