run_name,target_mode,stocks,feature_columns,window_size,lstm_units,dropout,lr,epochs,patience,best_lstm_model,best_lstm_val_rel_score,best_lstm_test_rel_score,best_lstm_test_directional_accuracy,best_lstm_backtest_final_equity,best_lstm_backtest_trade_count,best_lstm_backtest_threshold,lstm_train_rel_score,lstm_val_rel_score,lstm_test_rel_score,lstm_test_directional_accuracy,linear_test_rel_score,arima_test_rel_score,lstm_backtest_final_equity,lstm_backtest_trade_count,lstm_backtest_threshold,run_dir
overnight_bds_return1d_stack48_24_w5_weighted,return,"VHM,KDH,NLG,DIG,DXG,PDR,NVL","alpha_sector,vwap_gap_20,volatility_20,gap_open,ma_200_gap,bb_width,effort_result_ratio,buying_pressure,selling_pressure,wyckoff_phase_60d,rsi_14,day_of_week,vingroup_momentum,vnindex_return,a_d_ratio",5,"[48, 24]",0.05,0.0002,24,6,lstm,-0.01622310932601856,0.025334251123122042,0.4764254385964912,3.5794605834458015,1498,0.0,-0.0020027641233812954,-0.01622310932601856,0.025334251123122042,0.4764254385964912,-0.04497067233156882,-0.0034042679016248467,3.5794605834458015,1498,0.0,data/processed/assets/data_info_vn/history/training_runs/overnight_bds_return1d_stack48_24_w5_weighted
overnight_bds_return1d_stack48_24_w5_attention,return,"VHM,KDH,NLG,DIG,DXG,PDR,NVL","alpha_sector,vwap_gap_20,volatility_20,gap_open,ma_200_gap,bb_width,effort_result_ratio,buying_pressure,selling_pressure,wyckoff_phase_60d,rsi_14,day_of_week,vingroup_momentum,vnindex_return,a_d_ratio",5,"[48, 24]",0.05,0.0002,24,6,lstm_ensemble,-0.013281425301202798,0.024737428559377106,0.46381578947368424,2.5248717413493997,1528,0.0,-0.0009372207549778189,-0.010197532817861399,0.019040777539926945,0.47478070175438597,-0.04497067233156882,-0.0034042679016248467,5.558674712706476,1345,0.0,data/processed/assets/data_info_vn/history/training_runs/overnight_bds_return1d_stack48_24_w5_attention
overnight_bds_return1d_stack48_24_w5_core_fk,return,"VHM,KDH,NLG,DIG,DXG,PDR,NVL","alpha_sector,vwap_gap_20,volatility_20,gap_open,ma_200_gap,bb_width,effort_result_ratio,buying_pressure,selling_pressure,wyckoff_phase_60d,rsi_14,day_of_week,vingroup_momentum,vnindex_return,a_d_ratio",5,"[48, 24]",0.05,0.0002,24,6,lstm_seed_52,-0.00603497353975202,0.023501788880632146,0.47368421052631576,1.7449511340783772,291,0.0025,-0.0009372207549778189,-0.010197532817861399,0.019040777539926945,0.47478070175438597,-0.04497067233156882,-0.0034042679016248467,5.558674712706476,1345,0.0,data/processed/assets/data_info_vn/history/training_runs/overnight_bds_return1d_stack48_24_w5_core_fk
overnight_bds_return1d_u32_w5_core,return,"VHM,KDH,NLG,DIG,DXG,PDR,NVL","alpha_sector,vwap_gap_20,volatility_20,gap_open,ma_200_gap,bb_width,effort_result_ratio,buying_pressure,selling_pressure,wyckoff_phase_60d,rsi_14,day_of_week,vingroup_momentum,vnindex_return,a_d_ratio",5,32,0.05,0.0002,24,6,lstm_signmag_seed_52,-0.007776260899832188,0.013070392072656256,0.46600877192982454,2.520214903169575,282,0.0025,-0.0018336807708774217,-0.031280230416270705,0.002778191966701593,0.46765350877192985,-0.04497067233156882,-0.0034042679016248467,3.1199711690929637,1252,0.0,data/processed/assets/data_info_vn/history/training_runs/overnight_bds_return1d_u32_w5_core
