run_name,target_mode,best_lstm_model,best_lstm_val_rel_score,best_lstm_test_rel_score,lstm_test_rel_score,lstm_test_directional_accuracy,linear_test_rel_score,arima_test_rel_score,lstm_backtest_final_equity,lstm_backtest_trade_count,lstm_backtest_threshold
overnight_bds_return1d_stack48_24_w5_weighted,return,lstm,-0.01622310932601856,0.025334251123122042,0.025334251123122042,0.4764254385964912,-0.04497067233156882,-0.0034042679016248467,3.5794605834458015,1498,0.0
overnight_bds_return1d_stack48_24_w5_core_fk,return,lstm_seed_52,-0.00603497353975202,0.023501788880632146,0.019040777539926945,0.47478070175438597,-0.04497067233156882,-0.0034042679016248467,5.558674712706476,1345,0.0
overnight_bds_return1d_stack48_24_w5_attention,return,lstm_ensemble,-0.013281425301202798,0.024737428559377106,0.019040777539926945,0.47478070175438597,-0.04497067233156882,-0.0034042679016248467,5.558674712706476,1345,0.0
overnight_bds_return1d_u32_w5_core,return,lstm_signmag_seed_52,-0.007776260899832188,0.013070392072656256,0.002778191966701593,0.46765350877192985,-0.04497067233156882,-0.0034042679016248467,3.1199711690929637,1252,0.0
