candidate,candidate_title,split,row_count,aligned_rows,code_count,rel_score,base_score,abs_score,directional_accuracy,error_min,error_q20,error_q25,error_median,error_q75,error_q80,error_max,error_mean,error_std
base_lstm,Base LSTM,train,128605,128421,92,-0.0045424359133621195,0.0282159866765141,0.028344155987724447,0.4270796832293784,-0.2354022017680109,-0.013257504906505301,-0.009625157195841866,0.0001995052734855,0.0103624006733297,0.0136171142803506,0.4100265789311379,8.597213904623196e-05,0.02198463197886462
base_lstm,Base LSTM,in_sample,59445,59259,93,0.004854156790824793,0.03737664427608249,0.0371952121844515,0.471033935773469,-0.1788135200040415,-0.01732857164461154,-0.01293626213737285,-1.0609449418552686e-05,0.0122244371450505,0.016197360202204303,0.3938618479296564,0.00017422624835537528,0.027379334541796373
base_lstm,Base LSTM,train_in_sample,188050,187680,93,-0.0011185379317213417,0.030908631347119762,0.030943203823699108,0.4490568095014237,-0.2354022017680109,-0.01450507323024786,-0.010584180068690326,0.00015599920880045,0.010928305942797974,0.014327995956409607,0.4100265789311379,0.00011383792263292487,0.02382036577270631
lstm_filter_move_top_train_ic,Base LSTM + LSTM filter expected-move selector,train,128605,128421,92,-0.002755973962167868,0.0282159866765141,0.02829374920111145,0.28038249196003767,-0.2354022017680109,-0.0132450023666024,-0.0095467572100461,0.0,0.0104167014360427,0.013663135003298401,0.4087136685848236,0.00013176661258848478,0.02196156272416794
lstm_filter_move_top_train_ic,Base LSTM + LSTM filter expected-move selector,in_sample,59445,59259,93,0.007668297623359077,0.03737664427608249,0.03709002904361107,0.24370981623044602,-0.1788135200040415,-0.017447723168879797,-0.01301261014305045,0.0,0.012138590216636599,0.01599995568394654,0.3938618479296564,3.3713741162681535e-05,0.027339160648454007
lstm_filter_move_top_train_ic,Base LSTM + LSTM filter expected-move selector,train_in_sample,188050,187680,93,-0.0004919136137204738,0.030908631347119762,0.030923835723660878,0.26204615409524185,-0.2354022017680109,-0.0144927538931369,-0.010550335573498125,-0.0,0.010948909213766424,0.014312685281038233,0.4087136685848236,0.00010080691998500187,0.02379122590956888
