variant,n_seeds,rel_score_mean,rel_score_std,rel_score_min,rel_score_max,median_abs_error_mean,median_abs_error_std,median_abs_error_min,median_abs_error_max,q90_abs_error_mean,q90_abs_error_std,q90_abs_error_min,q90_abs_error_max,daily_q90_abs_error_q90_mean,daily_q90_abs_error_q90_std,daily_q90_abs_error_q90_min,daily_q90_abs_error_q90_max,daily_q90_abs_error_max_mean,daily_q90_abs_error_max_std,daily_q90_abs_error_max_min,daily_q90_abs_error_max_max,prediction_actual_abs_q90_ratio_mean,prediction_actual_abs_q90_ratio_std,prediction_actual_abs_q90_ratio_min,prediction_actual_abs_q90_ratio_max,directional_accuracy_mean,directional_accuracy_std,directional_accuracy_min,directional_accuracy_max,spike_days_ge_5pct_mean,spike_days_ge_5pct_std,spike_days_ge_5pct_min,spike_days_ge_5pct_max,spike_days_ge_7pct_mean,spike_days_ge_7pct_std,spike_days_ge_7pct_min,spike_days_ge_7pct_max,spike_days_ge_8pct_mean,spike_days_ge_8pct_std,spike_days_ge_8pct_min,spike_days_ge_8pct_max
raw_baseline,3,0.028370009878500062,0.005315286864596087,0.022373458218442166,0.03250111428962166,0.012498204479925334,4.023316723809471e-05,0.0124528082087636,0.01252945198211819,0.04824659667598704,0.0004750328065705454,0.0479068899527192,0.048789418768137686,0.06317017873128256,0.0014033686713187598,0.06190754115581513,0.06468113005161286,0.11124244530995686,0.004924641249155557,0.10637927353382111,0.11622633635997773,0.18407881398524673,0.01648326354561602,0.16841040154888595,0.2012710977788325,0.5094052444370916,0.0019491712420006853,0.5073372487385226,0.5112085366862437,159.0,4.0,155.0,163.0,36.0,5.5677643628300215,30.0,41.0,11.666666666666666,3.511884584284246,8.0,15.0
residual_lagged_ar1,3,0.024364687076028863,0.0037409758698908804,0.02105299456227261,0.028422495026992456,0.012544662070771059,7.31835105987902e-05,0.012464465107768774,0.012607829179614782,0.048455609062997,0.0004215643580706532,0.04802339086309075,0.04886564360931515,0.06391685217618943,0.00042389223293769093,0.06358929008245469,0.06439561247825623,0.10677424296736716,0.011714602103839114,0.09396747872233391,0.11694883108139037,0.1642878776287575,0.025349812219647456,0.1422382901978681,0.1919852461353693,0.505517412523782,0.0023890425768666626,0.5033832409628588,0.508098271155596,160.33333333333334,3.2145502536643185,158.0,164.0,33.333333333333336,4.041451884327381,29.0,37.0,10.0,1.0,9.0,11.0
residual_oracle,3,0.21577609823874935,0.0023496134643113437,0.21359590688833774,0.21826467798192517,0.011342794168740511,0.00012836659166940852,0.011237005703151226,0.011485602706670761,0.03643044990797837,0.00011123529896826227,0.03630917910486459,0.036527736857533445,0.04674771005908649,0.00024054602975042406,0.04654848158359529,0.0470149351656437,0.07913726444045703,0.0037312864788610262,0.07601659446954728,0.0832702562212944,0.5123862880737718,0.0038447754476377723,0.5087789795101466,0.5164311009706439,0.6431356329445501,0.0008638316155160883,0.6425179915625775,0.6441227562246671,44.0,2.6457513110645907,42.0,47.0,1.0,0.0,1.0,1.0,0.3333333333333333,0.5773502691896258,0.0,1.0
