label,median_q90_actual,median_q90_pred,median_pred_actual_q90_ratio,median_sign_mismatch_rate,n_unique_stocks,n_days
2018-05-11 → 2018-06-05,0.04287977955,0.01027719375,0.2528245316760632,0.412037037037037,74,18
2018-01-24 → 2018-02-13,0.056338042,0.009623208700000004,0.16782858125724742,0.4477611940298507,69,15
2013-05-10 → 2013-05-30,0.04201685,0.00680499225,0.17252244278188394,0.5576923076923077,53,15
2014-04-29 → 2014-05-16,0.06334949200000002,0.019700532800000017,0.31695072664971824,0.4733333333333334,57,11
2020-03-18 → 2020-03-31,0.0672833317,0.0236237188,0.38694771318943255,0.4563670411985019,91,10
2018-04-16 → 2018-05-02,0.05192354554999999,0.012603803875,0.23193212689239978,0.4976190476190476,70,10
2016-01-13 → 2016-01-26,0.044580169,0.0089582066,0.19347249512558012,0.4828728661275832,59,10
2014-01-14 → 2014-01-27,0.046953999999999996,0.0068005046800000005,0.13443096474620014,0.5233519683205218,56,10
