year,start_date,end_date,n_days,max_error,median_error,index_change
2012,2012-08-20,2012-09-24,25,0.0635557508576312,0.0464706850470975,-0.15035643080639327
2018,2018-05-11,2018-06-05,18,0.0768390847370028,0.04621964314719655,-0.015050900737010542
2012,2012-12-25,2013-01-21,18,0.0682953235518653,0.046995888114906806,0.11991132153918316
2018,2018-01-24,2018-02-13,15,0.0717890387400983,0.0504508833182625,-0.018034921607088417
2013,2013-05-10,2013-05-30,15,0.0568073300411925,0.044324448565021,0.08780842645871911
2014,2014-04-29,2014-05-16,11,0.0820104121230541,0.0521890185773371,-0.09705545575224728
2020,2020-03-18,2020-03-31,10,0.0840923271141945,0.06790019671898326,-0.13958514688776102
2018,2018-04-16,2018-05-02,10,0.0731664704624563,0.048773287795484,-0.0853802453606739
2016,2016-01-13,2016-01-26,10,0.0655326426029204,0.041331701746094004,-0.02274941742415093
2014,2014-01-14,2014-01-27,10,0.0596249537309632,0.04672788359457615,0.06841722160790908
2017,2017-12-29,2018-01-12,10,0.0574658961268142,0.0424385810256353,0.06687304930781601
2014,2014-02-07,2014-02-19,9,0.0625379444798453,0.0545002680737524,0.08331363400527869
2012,2012-12-11,2012-12-21,9,0.046225282299565,0.0405656662187538,0.03441935398928586
2020,2020-03-05,2020-03-16,8,0.0744554891251026,0.06824586604489005,-0.1681079433454704
2013,2013-03-08,2013-03-19,8,0.0500556305873032,0.04104585992172355,0.03127388936733033
2015,2015-08-19,2015-08-27,7,0.073213060479611,0.043979353760369,-0.0448699037946898
2014,2014-09-12,2014-09-22,7,0.0629204952041618,0.045450071489904,-0.008186834949205135
2012,2012-06-28,2012-07-06,7,0.0532469525933264,0.0453840538975783,-0.01602683765153634
2018,2018-06-29,2018-07-06,6,0.0713003781391306,0.0636416120454669,-0.06106561311112724
2013,2013-02-20,2013-02-27,6,0.0697956989257362,0.045054075238294855,-0.0561644934031178
2013,2013-01-23,2013-01-30,6,0.0632871681707911,0.05488078634079995,0.08836887868320908
2015,2015-05-14,2015-05-21,6,0.0629459666088223,0.0421800371375865,0.020420946078145708
2014,2014-02-21,2014-02-28,6,0.0601914379047229,0.0581042777746916,0.031872091116403656
2013,2013-02-01,2013-02-08,6,0.0599494152702392,0.04756973178009495,0.04786254676279933
2015,2015-07-01,2015-07-08,6,0.0483596496051177,0.037137612001060846,0.03948464939416674
2018,2018-01-16,2018-01-22,5,0.068289392418228,0.0525041328277438,0.02046396708126541
2018,2018-06-15,2018-06-21,5,0.0666403647977857,0.0429399661719798,-0.0497985025514438
2014,2014-12-15,2014-12-19,5,0.0658647821983322,0.0507712295715463,-0.05139183283411686
2018,2018-07-16,2018-07-20,5,0.0645853376481682,0.0417763880919665,0.04039561997304708
2014,2014-03-31,2014-04-04,5,0.0643321469658984,0.038821390265366,-0.009929845168979878
2016,2016-07-08,2016-07-14,5,0.0613568893168121,0.0481408781663048,-0.008277134117237184
2013,2013-04-08,2013-04-12,5,0.0598219973500817,0.0528558490332215,-0.0269270392135591
2017,2017-05-18,2017-05-24,5,0.0524470772594213,0.0424710674560628,0.02807438236755777
