year,n_days,median_q90,p90_q90,max_q90,index_year_change,days_above_30bp,share_above_30bp,days_above_35bp,share_above_35bp
2012,154,0.0363994951476342,0.04737767411454107,0.0635557508576312,-0.09893101047640684,120,0.7792207792207793,91,0.5909090909090909
2013,250,0.03511569967959065,0.05069254137051757,0.0697956989257362,0.32607519237097704,170,0.68,126,0.504
2014,247,0.032936939690262,0.0581590831512585,0.0820104121230541,0.3739934634774167,163,0.659919028340081,112,0.4534412955465587
2015,248,0.02867109377984885,0.041961772312060816,0.073213060479611,0.10970620975704648,115,0.4637096774193548,68,0.27419354838709675
2016,251,0.0306122191250323,0.0447375961695797,0.0655326426029204,0.2173007542909431,135,0.5378486055776892,82,0.32669322709163345
2017,250,0.028558258986959052,0.03952927330043164,0.0528097429545596,0.5588369677496989,114,0.456,59,0.236
2018,250,0.0363267070235451,0.05850325683364631,0.0768390847370028,-0.03278788399363253,174,0.696,132,0.528
2019,250,0.0252683988102944,0.03444646451942382,0.0488419043191242,0.08495190099959249,51,0.204,23,0.092
2020,59,0.0355582378339021,0.07018891929183138,0.0840923271141945,-0.2891883194347322,42,0.711864406779661,31,0.5254237288135594
